cited_name	n_articles	n_total_mentions	is_key_scholar
Foucault	14	42	1
Benjamin	8	10	1
Williams	4	7	1
Mao	3	10	1
Derrida	3	9	1
Said	2	6	1
Adorno	2	4	1
Butler	2	3	1
Eliot	2	3	1
Pound	2	3	1
James	2	2	0
Sciences Po	2	2	0
Gilbert	2	2	1
Lacan	2	2	1
Jameson	1	2	1
British Culture	1	1	0
ThePromiseofInfrastructure	1	1	0
ScientistsonGaia	1	1	0
China	1	1	0
alsoThomasMullaney	1	1	0
Kazakhstani Childhood	1	1	0
Funun	1	1	0
PioneerstothePast	1	1	0
Chinese studies	1	1	0
Contemporary China	1	1	0
RepresentingMusicalStructure	1	1	0
Réflexionssurcequel'ona	1	1	0
Bernstein	1	1	0
Iustitia	1	1	0
Justice	1	1	0
ittheinstruction	1	1	0
Bode	1	1	0
History	1	1	0
UncertainArchives	1	1	0
Ste	1	1	0
Victorian Realism	1	1	0
GeoffreyBennington	1	1	0
MogensHermanHansen	1	1	0
specifyingphuseiandphusin	1	1	0
JohnPhillips	1	1	0
Minutiae	1	1	0
Naked Punch	1	1	0
NicholasThomas	1	1	0
Satellite	1	1	0
Shrine	1	1	0
WilliamJ	1	1	0
Pandemic Perhaps	1	1	0
Comic	1	1	0
JustineKarst	1	1	0
alsoThompson	1	1	0
Chakrabarty	1	1	0
Critical Theory	1	1	0
Racial Capitalism	1	1	0
Frontispiece	1	1	0
Frontmatter	1	1	0
Against Nature	1	1	0
MatthewL	1	1	0
CommemoratingLuHsun	1	1	0
Critical Inquiry	1	1	0
SuzanneWeigelin-Schwiedzrik	1	1	0
Violence	1	1	0
whichtherelation	1	1	0
MigratingHistoriesofArt	1	1	0
TheCulturesofGlobalization	1	1	0
Italian	1	1	0
ArielColonomos	1	1	0
KantnerandPachovsky	1	1	0
Sacrificium	1	1	0
context	1	1	0
fs th	1	1	0
CompleteWritings	1	1	0
English until	1	1	0
HansMagnusEnzensberger	1	1	0
Hybrid Culture	1	1	0
PenelopeGardner-Chloros	1	1	0
Self- Translation	1	1	0
alsoJoséEstebanMu	1	1	0
alsop	1	1	0
AlexandraParsons	1	1	0
Literary Mind	1	1	0
Queer	1	1	0
development	1	1	0
journals including	1	1	0
t'i	1	1	0
Black	1	1	0
Constitution	1	1	0
Narrative Theory	1	1	0
Akira Mizuta	1	1	0
Alpers	1	1	0
Bernard Dionysius	1	1	0
Cavell	1	1	0
Chapter	1	1	0
Chester	1	1	0
Computer Games	1	1	0
Cybertext Yearbook	1	1	0
David Landau	1	1	0
Denson	1	1	0
Dutch guilds	1	1	0
Duty Free	1	1	0
England	1	1	0
Espen Aarseth	1	1	0
Essays and	1	1	0
Europe	1	1	0
Forensis	1	1	0
French Theory	1	1	0
Geoghegan	1	1	0
Iris Hennigfeld	1	1	0
John Durham	1	1	0
Jonathan Crary	1	1	0
Latour	1	1	0
Martin Jay	1	1	0
Navi gation	1	1	0
Parikka	1	1	0
Paul Virilio	1	1	0
PixelMagic	1	1	0
Repre sentation	1	1	0
Samuel Weber	1	1	0
Scientific Practice	1	1	0
Siegert	1	1	0
Sobchack	1	1	0
Stanley Cavell	1	1	0
Steyerl	1	1	0
Thomas Parke	1	1	0
Tung-Hui Hu	1	1	0
Vision and	1	1	0
William Thomson	1	1	0
Zeitkritische Medien	1	1	0
also Ben	1	1	0
also Jussi	1	1	0
also Siegert	1	1	0
an atomic	1	1	0
computer games	1	1	0
global technical	1	1	0
light of	1	1	0
media studies	1	1	0
possibilities for	1	1	0
turn	1	1	0
volumetric	1	1	0
writers such	1	1	0
Ecstasies	1	1	0
MorphologieundModerne	1	1	0
PhilosophicalOccasions	1	1	0
Terror	1	1	0
Worms	1	1	0
alsoFran	1	1	0
Du Bois	1	1	0
Moholy-Nagy	1	1	0
Acts of	1	1	0
Aspects of	1	1	0
Collection complete	1	1	0
Commons Debates	1	1	0
Dissolution of	1	1	0
Eric Williams	1	1	0
Gardiner	1	1	0
His Three	1	1	0
Hobbes	1	1	0
Leo Strauss	1	1	0
Malcolm	1	1	0
National Literature	1	1	0
Nikole Hannah-	1	1	0
Noel	1	1	0
Noel Malcolm	1	1	0
Privy Council	1	1	0
Publics	1	1	0
Quentin Skinner	1	1	0
Samuel Rawson	1	1	0
Scott	1	1	0
Substance All	1	1	0
Tuck	1	1	0
Wesley	1	1	0
Western Legal	1	1	0
Wilkinson	1	1	0
abbreviated	1	1	0
also	1	1	0
also Brenner	1	1	0
also Hannah	1	1	0
also Jean	1	1	0
also Malcolm	1	1	0
also Theodor	1	1	0
also VC	1	1	0
also Wilkinson	1	1	0
also ibid	1	1	0
these documents	1	1	0
this group	1	1	0
this last	1	1	0
Darwin	1	1	0
Darwins	1	1	0
Deanna Kreisel	1	1	0
HelenCousins	1	1	0
RacialEcologies	1	1	0
Modernity	1	1	0
PeterBrod	1	1	0
Ethics	1	1	0
Ericksonetal	1	1	0
sociology and	1	1	0
MartinHeidegger	1	1	0
Kelleher	1	1	0
Evolution	1	1	0
HumbertR	1	1	0
Armadale	1	1	0
GeoffMann	1	1	0
Edge	1	1	0
fortune-telling	1	1	0
physiognomy in	1	1	0
TransparentMinds	1	1	0
an afterword	1	1	0
his narratorial	1	1	0
whichhewritestoLovelock	1	1	0
DanielBalderston	1	1	0
American Century	1	1	0
English at	1	1	0
TheLastoftheUnjust	1	1	0
After Modernism	1	1	0
Modernism	1	1	0
alsoSeanKeller	1	1	0
Economy	1	1	0
Literary Heritage	1	1	0
SharedTraumas	1	1	0
David Nee	1	1	0
Early Modern	1	1	0
MakingMeaning	1	1	0
Modern England	1	1	0
Ice	1	1	0
InOurTerribleness	1	1	0
One	1	1	0
TheodorN	1	1	0
Earth	1	1	0
Peter Weibel	1	1	0
PapersonPsychoanalysis	1	1	0
Distress	1	1	0
Geometrical Order	1	1	0
Image	1	1	0
Kathleen Lubey	1	1	0
Lee	1	1	0
Lisa Miller	1	1	0
Novel	1	1	0
Polite Society	1	1	0
Prejudice	1	1	0
Pride and	1	1	0
Soft ware	1	1	0
Spinoza	1	1	0
Teaching	1	1	0
Toni Bowers	1	1	0
Wendy Anne	1	1	0
Winnicott	1	1	0
an experimental	1	1	0
her article	1	1	0
machine learning	1	1	0
other words	1	1	0
which Wickham	1	1	0
Théâtredecuisine	1	1	0
Sansour	1	1	0
also Yizhar	1	1	0
Human Culture	1	1	0
AndrewT	1	1	0
Language	1	1	0
Modern World	1	1	0
Translated Modernity	1	1	0
World Making	1	1	0
DianeProudfoot	1	1	0
MarvinMinsky	1	1	0
Digital Age	1	1	0
Wattpad	1	1	0
MortalsandImmortals	1	1	0
Austin	1	1	0
Post- Kantian	1	1	0
Israel	1	1	0
alsoTamirSorek	1	1	0
American Culture	1	1	0
Contemporary American	1	1	0
Martin	1	1	0
Smith	1	1	0
Modern University	1	1	0
ReinholdMartin	1	1	0
StephenMeardon	1	1	0
StevenVogel	1	1	0
Romantic Provocation	1	1	0
Image-Music-Text	1	1	0
Poems	1	1	0
Abounaddara	1	1	0
Yo Ja	1	1	0
HumanistandScholar	1	1	0
Peirce	1	1	0
ELH and	1	1	0
Mitchell	1	1	0
theMoment	1	1	0
AlisaClapp-Itnyre	1	1	0
KofiAgawu	1	1	0
Moving Camera	1	1	0
Nevsky	1	1	0
Self	1	1	0
alsoJuliusLobo	1	1	0
EphraimShoham-Steiner	1	1	0
Kollektivit	1	1	0
SeeBabylonianTalmud	1	1	0
Woolf	1	1	1
FrankA	1	1	0
Immediation	1	1	0
Uncertainty	1	1	0
mycomparativeinterpretation	1	1	0
Haru	1	1	0
Mizoguchi	1	1	0
Ugetsu	1	1	0
New Literary	1	1	0
Theodicy	1	1	0
ZhaoNg	1	1	0
Ecology	1	1	0
AyaHirataKimura	1	1	0
Foucaultetal	1	1	0
Literature and	1	1	0
Alice Hutton	1	1	0
Andrew Balmford	1	1	0
Angie Abdilla	1	1	0
Audio	1	1	0
Coastal Ecosystems	1	1	0
Dan Stowell	1	1	0
Deep Learning	1	1	0
Dreamscapes of	1	1	0
Ecology and	1	1	0
Emily	1	1	0
Feminism and	1	1	0
Forests	1	1	0
Germany	1	1	0
Haraway	1	1	0
Harold Innis	1	1	0
Harun Faroki	1	1	0
Ivan Kiskin	1	1	0
Kruger National	1	1	0
Mark Andrejevic	1	1	0
