filename	cited_name
Abu-Lughod 2020.pdf	Tatour
Al-Bahloly 2020.pdf	Icharacterizethisperiodintermsofaproblemofrepresentation
Alff 2021.pdf	British Culture
Alff 2021.pdf	ThePromiseofInfrastructure
Alff 2021.pdf	the English
Arnaud 2021.pdf	Muets
Aronowsky 2021.pdf	ScientistsonGaia
Aronowsky 2021.pdf	the twentieth-centuryUnitedStates
Bao 2023.pdf	China
Bao 2023.pdf	ProgressiveEducationacrosstheContinents
Bao 2023.pdf	Xiaoxuexiaojiaocaijiaofazhiyanjiunos
Bao 2023.pdf	alsoThomasMullaney
Barker 2024.pdf	Kazakhstani Childhood
Barker 2024.pdf	the Department
Bashkin 2021.pdf	Funun
Bashkin 2021.pdf	PioneerstothePast
Bashkin 2021.pdf	the Depart-
Batsaki 2024.pdf	PatrickWilliamsandLauraChrisman
Benney 2020.pdf	Chinese studies
Benney 2020.pdf	Contemporary China
Benoist 2019.pdf	RepresentingMusicalStructure
Benoist 2019.pdf	Réflexionssurcequel'ona
Bernstein 2024.pdf	Bernstein
Biagioli 2019.pdf	Iustitia
Biagioli 2019.pdf	Justice
Blom 2019.pdf	ittheinstruction
Bode 2023.pdf	Bode
Bode 2023.pdf	History
Bode 2023.pdf	UncertainArchives
Brilmyer 2024.pdf	Ste
Brilmyer 2024.pdf	Victorian Realism
Brown 2019.pdf	GeoffreyBennington
Brown 2019.pdf	MogensHermanHansen
Brown 2019.pdf	TheCambridgeCompaniontoEarlyModernPhilosophy
Brown 2019.pdf	specifyingphuseiandphusin
Brown 2020.pdf	JohnPhillips
Brown 2020.pdf	Minutiae
Brown 2020.pdf	Naked Punch
Brown 2020.pdf	NicholasThomas
Brown 2020.pdf	Satellite
Brown 2020.pdf	Shrine
Brown 2020.pdf	WilliamJ
Caduff 2019.pdf	Pandemic Perhaps
Carson 2021.pdf	Comic
Cecire Solomon 2024.pdf	JustineKarst
Cecire Solomon 2024.pdf	alsoThompson
Chakrabarty 2019.pdf	Chakrabarty
Chun et al 2024.pdf	themajorityofChineseandIndiandescent
Clover 2021.pdf	Critical Theory
Clover 2021.pdf	Racial Capitalism
Clover 2021.pdf	the French
Clover 2021.pdf	the Mellon
Clune 2019.pdf	the support
Cohen 2019.pdf	Frontispiece
Cohen 2019.pdf	Frontmatter
Crawford 2021.pdf	the Visual
Daston 2019.pdf	Against Nature
Daston 2019.pdf	MatthewL
Daston 2019.pdf	the Committee
Davies 2020.pdf	CommemoratingLuHsun
Davies 2020.pdf	Critical Inquiry
Davies 2020.pdf	SuzanneWeigelin-Schwiedzrik
Davies 2020.pdf	Violence
Davies 2020.pdf	the World
Davies 2020.pdf	whichtherelation
Diebold Drimmer 2023.pdf	MigratingHistoriesofArt
Domínguez 2020.pdf	TheCulturesofGlobalization
Domínguez 2020.pdf	the Department
Donatelli 2019.pdf	Italian
Downie 2025.pdf	the Arts
Downie 2025.pdf	the Depart-
Engberg-Pedersen 2025.pdf	ArielColonomos
Feldman 2025.pdf	KantnerandPachovsky
Feldman 2025.pdf	Sacrificium
Ferguson 2019.pdf	Action
Ferguson 2019.pdf	the Department
Ferguson 2023.pdf	Action
Ferguson 2023.pdf	the Department
Foucault 2020.pdf	context
Franta Silver 2024.pdf	fs th
Galison 2019.pdf	CompleteWritings
Gallagher 2024.pdf	English until
Galloway 2022.pdf	HansMagnusEnzensberger
Galloway 2022.pdf	ibid
Galvin 2022.pdf	Hybrid Culture
Galvin 2022.pdf	Illuminations
Galvin 2022.pdf	PenelopeGardner-Chloros
Galvin 2022.pdf	Self- Translation
Galvin 2022.pdf	TheOxfordHandbookofLatinoStudies
Galvin 2022.pdf	alsoJoséEstebanMu
Galvin 2022.pdf	alsop
Gang 2022.pdf	AlexandraParsons
Gang 2022.pdf	Literary Mind
Gang 2022.pdf	Queer
Gang 2022.pdf	development
Gang 2022.pdf	journals including
Gang 2022.pdf	t'i
Garrett 2022.pdf	Black
Garrett 2022.pdf	Constitution
Garrett 2022.pdf	Narrative Theory
Garrett 2022.pdf	the Constitution
Geoghegan 2025.pdf	Akira Mizuta
Geoghegan 2025.pdf	Alpers
Geoghegan 2025.pdf	Bernard Dionysius
Geoghegan 2025.pdf	Cavell
Geoghegan 2025.pdf	Chapter
Geoghegan 2025.pdf	Chester
Geoghegan 2025.pdf	Computer Games
Geoghegan 2025.pdf	Cybertext Yearbook
Geoghegan 2025.pdf	David Landau
Geoghegan 2025.pdf	Denson
Geoghegan 2025.pdf	Dutch guilds
Geoghegan 2025.pdf	Duty Free
Geoghegan 2025.pdf	England
Geoghegan 2025.pdf	Espen Aarseth
Geoghegan 2025.pdf	Essays and
Geoghegan 2025.pdf	Europe
Geoghegan 2025.pdf	Forensis
Geoghegan 2025.pdf	French Theory
Geoghegan 2025.pdf	Geoghegan
Geoghegan 2025.pdf	Iris Hennigfeld
Geoghegan 2025.pdf	James
Geoghegan 2025.pdf	John Durham
Geoghegan 2025.pdf	Jonathan Crary
Geoghegan 2025.pdf	Latour
Geoghegan 2025.pdf	Martin Jay
Geoghegan 2025.pdf	Navi gation
Geoghegan 2025.pdf	Parikka
Geoghegan 2025.pdf	Paul Virilio
Geoghegan 2025.pdf	PixelMagic
Geoghegan 2025.pdf	Repre sentation
Geoghegan 2025.pdf	Samuel Weber
Geoghegan 2025.pdf	Scientific Practice
Geoghegan 2025.pdf	Siegert
Geoghegan 2025.pdf	Sobchack
Geoghegan 2025.pdf	Stanley Cavell
Geoghegan 2025.pdf	Steyerl
Geoghegan 2025.pdf	Thomas Parke
Geoghegan 2025.pdf	Tung-Hui Hu
Geoghegan 2025.pdf	Vision and
Geoghegan 2025.pdf	William Thomson
Geoghegan 2025.pdf	Zeitkritische Medien
Geoghegan 2025.pdf	also Ben
Geoghegan 2025.pdf	also Jussi
Geoghegan 2025.pdf	also Siegert
Geoghegan 2025.pdf	an atomic
Geoghegan 2025.pdf	computer games
Geoghegan 2025.pdf	global technical
Geoghegan 2025.pdf	light of
Geoghegan 2025.pdf	media studies
Geoghegan 2025.pdf	possibilities for
Geoghegan 2025.pdf	the Age
Geoghegan 2025.pdf	the Nine
Geoghegan 2025.pdf	the Sea
Geoghegan 2025.pdf	the Sky
Geoghegan 2025.pdf	the Solar
Geoghegan 2025.pdf	the West
Geoghegan 2025.pdf	the Wild
Geoghegan 2025.pdf	the techniques
Geoghegan 2025.pdf	turn
Geoghegan 2025.pdf	volumetric
Geoghegan 2025.pdf	writers such
Ginzburg 2019.pdf	Ecstasies
Ginzburg 2019.pdf	MorphologieundModerne
Ginzburg 2019.pdf	PhilosophicalOccasions
Ginzburg 2019.pdf	Terror
Ginzburg 2019.pdf	Worms
Ginzburg 2019.pdf	alsoFran
Gooding-Williams 2021.pdf	Du Bois
Gooding-Williams 2021.pdf	the Shadow
Graham 2025.pdf	Moholy-Nagy
Greeson 2025.pdf	Acts of
Greeson 2025.pdf	Aspects of
Greeson 2025.pdf	Collection complete
Greeson 2025.pdf	Commons Debates
Greeson 2025.pdf	Dissolution of
Greeson 2025.pdf	Eric Williams
Greeson 2025.pdf	Gardiner
Greeson 2025.pdf	His Three
Greeson 2025.pdf	Hobbes
Greeson 2025.pdf	Leo Strauss
Greeson 2025.pdf	Malcolm
Greeson 2025.pdf	National Literature
Greeson 2025.pdf	Nikole Hannah-
Greeson 2025.pdf	Noel
Greeson 2025.pdf	Noel Malcolm
Greeson 2025.pdf	Privy Council
Greeson 2025.pdf	Publics
Greeson 2025.pdf	Quentin Skinner
Greeson 2025.pdf	Samuel Rawson
Greeson 2025.pdf	Scott
Greeson 2025.pdf	Substance All
Greeson 2025.pdf	The Materiality
Greeson 2025.pdf	Tuck
Greeson 2025.pdf	Wesley
Greeson 2025.pdf	Western Legal
Greeson 2025.pdf	Wilkinson
Greeson 2025.pdf	abbreviated
Greeson 2025.pdf	also
Greeson 2025.pdf	also Brenner
Greeson 2025.pdf	also Hannah
Greeson 2025.pdf	also Jean
Greeson 2025.pdf	also Malcolm
Greeson 2025.pdf	also Theodor
Greeson 2025.pdf	also VC
Greeson 2025.pdf	also Wilkinson
Greeson 2025.pdf	also ibid
Greeson 2025.pdf	ibid
Greeson 2025.pdf	the Earlier
Greeson 2025.pdf	the Virginia
Greeson 2025.pdf	the context
Greeson 2025.pdf	the frontispiece
Greeson 2025.pdf	the scribe's
Greeson 2025.pdf	these documents
Greeson 2025.pdf	this group
Greeson 2025.pdf	this last
Griffiths 2021.pdf	Darwin
Griffiths 2021.pdf	Darwins
Griffiths 2021.pdf	Deanna Kreisel
Griffiths 2021.pdf	HelenCousins
Griffiths 2021.pdf	RacialEcologies
Griffiths 2021.pdf	the Twenty-First
Gunning 2022.pdf	Modernity
Haines 2025.pdf	PeterBrod
Halperin 2019.pdf	Ethics
Halpern 2022.pdf	Ericksonetal
Halpern 2022.pdf	sociology and
Halpern et al 2022.pdf	MartinHeidegger
Handelman 2022.pdf	Kelleher
Hayles 2019.pdf	Evolution
Hayles 2019.pdf	HumbertR
Henderson 2024.pdf	Armadale
Henderson 2024.pdf	GeoffMann
Henderson 2024.pdf	aPreliminaryandElementaryEssayonAlgebraastheScienceofPureTime
Heyes 2023.pdf	Edge
Hillenbrand 2025.pdf	fortune-telling
Hillenbrand 2025.pdf	physiognomy in
Hillenbrand 2025.pdf	the art
Houghton 2025.pdf	TransparentMinds
Houghton 2025.pdf	an afterword
Houghton 2025.pdf	his narratorial
Houghton 2025.pdf	the Course
Howles 2022.pdf	whichhewritestoLovelock
Hui 2022.pdf	DanielBalderston
Jeon 2023.pdf	American Century
Jones 2021.pdf	English at
Jones 2021.pdf	the nineteenth
Kasper Levine 2020.pdf	TheLastoftheUnjust
Keller 2024.pdf	After Modernism
Keller 2024.pdf	Modernism
Keller 2024.pdf	alsoSeanKeller
Kirkwood 2022.pdf	Economy
Kirschenbaum 2023.pdf	Literary Heritage
Kirschenbaum 2023.pdf	SharedTraumas
Kiséry 2024.pdf	David Nee
Kiséry 2024.pdf	Early Modern
Kiséry 2024.pdf	MakingMeaning
Kiséry 2024.pdf	Modern England
Kiséry 2024.pdf	RethinkingTheatricalDocumentsinShakespeare'sEngland
Kotin 2021.pdf	Ice
Kotin 2021.pdf	InOurTerribleness
Kotin 2021.pdf	One
Kotin 2021.pdf	adistinctsetofpeopleIknewandtalkedto
Kurtz 2021.pdf	TheodorN
Latour 2021.pdf	Sciences Po
Latour 2021b.pdf	Earth
Latour 2021b.pdf	Peter Weibel
Latour 2021b.pdf	Sciences Po
Lear 2019.pdf	PapersonPsychoanalysis
Lear 2019.pdf	the Department
Lee 2025.pdf	Distress
Lee 2025.pdf	Geometrical Order
Lee 2025.pdf	Image
Lee 2025.pdf	Kathleen Lubey
Lee 2025.pdf	Lee
Lee 2025.pdf	Lisa Miller
Lee 2025.pdf	Novel
Lee 2025.pdf	Polite Society
Lee 2025.pdf	Prejudice
Lee 2025.pdf	Pride and
Lee 2025.pdf	Soft ware
Lee 2025.pdf	Spinoza
Lee 2025.pdf	Teaching
Lee 2025.pdf	Toni Bowers
Lee 2025.pdf	Wendy Anne
Lee 2025.pdf	Winnicott
Lee 2025.pdf	an experimental
Lee 2025.pdf	her article
Lee 2025.pdf	machine learning
Lee 2025.pdf	other words
Lee 2025.pdf	the Counter-Transference
Lee 2025.pdf	the English
Lee 2025.pdf	the Novel
Lee 2025.pdf	which Wickham
Levine 2025.pdf	Théâtredecuisine
Levy 2021.pdf	Sansour
Levy 2021.pdf	also Yizhar
Lindquist 2024.pdf	Human Culture
Lindquist 2024.pdf	the Department
Lindquist 2024.pdf	whomhehadcoauthoredPreliminariestoSpeechAnalysis
Liu 2021.pdf	AndrewT
Liu 2021b.pdf	BritishPhilosophyintheMid-Century
Liu 2021b.pdf	Language
Liu 2021b.pdf	Modern World
Liu 2021b.pdf	Translated Modernity
Liu 2021b.pdf	World Making
Liu 2021b.pdf	the Humanities
Liu 2023.pdf	DianeProudfoot
Liu 2023.pdf	MarvinMinsky
Liu 2025.pdf	Digital Age
Liu 2025.pdf	the Digital
Long et al 2023.pdf	Wattpad
Lorenzini 2019.pdf	MortalsandImmortals
Lorenzini 2021.pdf	Austin
Lorenzini 2021.pdf	Post- Kantian
Makhoul 2022.pdf	Israel
Makhoul 2022.pdf	alsoTamirSorek
Malewitz 2019.pdf	American Culture
Malewitz 2019.pdf	Contemporary American
Marcus 2022.pdf	Martin
Marcus 2022.pdf	Smith
Martin 2023.pdf	Modern University
Martin 2023.pdf	ReinholdMartin
Martin 2023.pdf	StephenMeardon
Martin 2023.pdf	StevenVogel
Martin 2023.pdf	ibid
Martin 2023.pdf	the Graduate
Mathes 2025.pdf	Romantic Provocation
Mathes 2025.pdf	the simultaneity
McGann 2019.pdf	IndianTreatiesPrintedbyBenjaminFranklin
McLane 2024.pdf	Image-Music-Text
McLane 2024.pdf	Poems
McLane 2024.pdf	the multiple
McManus 2021.pdf	Abounaddara
McManus 2021.pdf	Yo Ja
Mikhail 2022.pdf	HumanistandScholar
Mikhail 2022.pdf	Peirce
Miller 2025.pdf	ELH and
