filename	year	concept_group	count
Abu-Lughod 2020.pdf	2020	postcolonial	4
Al-Bahloly 2020.pdf	2020	form	1
Arnaud 2021.pdf	2021	pedagogy	1
Ayers 2021.pdf	2020	class	2
Ayers 2021.pdf	2020	pedagogy	2
Bao 2023.pdf	2023	modernism	1
Bao 2023.pdf	2023	postcolonial	1
Bao et al 2023.pdf	2023	class	1
Barker 2024.pdf	2019	form	1
Bashkin 2021.pdf	2020	postcolonial	1
Belisle 2025.pdf	2022	archive	1
Benoist 2019.pdf	2019	form	1
Bering-Porter 2022.pdf	2022	race	1
Bering-Porter 2022.pdf	2022	class	1
Bering-Porter 2022.pdf	2022	form	2
Bernstein 2021.pdf	2020	world_lit	1
Bernstein 2024.pdf	2022	form	1
Blom Fuller 2025.pdf	2025	form	1
Bode 2023.pdf	2023	field_formation	3
Bode 2023.pdf	2023	distant_reading	3
Brady 2021.pdf	2020	pedagogy	2
Brenkman 2021.pdf	2021	field_formation	3
Brilmyer 2024.pdf	2024	gender_sexuality	3
Caduff 2019.pdf	2019	field_formation	1
Cahill 2023.pdf	2023	race	1
Cappelletto 2021.pdf	2020	form	2
Catoni Giuliani 2019.pdf	2019	field_formation	1
Cecire Solomon 2024.pdf	2019	form	1
Chakrabarty 2019.pdf	2019	class	1
Chandler 2020.pdf	2020	field_formation	1
Chun et al 2024.pdf	2020	gender_sexuality	1
Clover 2021.pdf	2020	form	3
Cohen 2019.pdf	2019	form	1
Crawford 2021.pdf	2020	race	3
Crawford 2021.pdf	2020	class	1
Creswell 2019.pdf	2019	form	3
Da 2019.pdf	2019	field_formation	6
Da 2019.pdf	2019	distant_reading	10
Da 2019.pdf	2019	close_reading	1
Da 2019.pdf	2019	form	3
Da 2019JSTOR.pdf	2019	field_formation	4
Da 2019JSTOR.pdf	2019	distant_reading	10
Da 2019JSTOR.pdf	2019	close_reading	1
Da 2019JSTOR.pdf	2019	form	1
Da 2019JSTOR.pdf	2019	archive	2
Daston 2019.pdf	2019	form	2
Davies et al 2020.pdf	2020	form	1
Dhaliwal 2022.pdf	2019	distant_reading	1
Domínguez 2020.pdf	2020	world_lit	3
Donatelli 2019.pdf	2019	gender_sexuality	1
Donatelli 2019.pdf	2019	pedagogy	1
Dumitrescu Smith 2021.pdf	2020	field_formation	1
Evans Foster 2024.pdf	2024	race	1
Evans Foster 2024.pdf	2024	distant_reading	1
Farmer 2019.pdf	2019	form	1
Ferguson 2019.pdf	2019	form	1
Ferguson 2023.pdf	2023	publishing	1
