filename	year	n_pages	n_footnotes	dominant_pattern	position_to_overcome_count	position_to_overcome_example	positive_alignment_count	positive_alignment_example	claim_assertion_count	claim_assertion_example	gap_identification_count	gap_identification_example	intervention_marker_count	intervention_marker_example
Ablow 2025.pdf	2025	20	29	position_to_overcome	6	"516 Rachel Ablow / Revenge Tragedy didit];andIneverwill'""Papaliertellsherwhenshedemandsthetruth:""'But you may lay the blame on me, my dear; for, as I told you, I permitted the deed.Itwasnecessary.Ourl"	4	"Revenge Tragedy: Harriet Martineau, the Haitian Revolution, and Reparations Rachel Ablow EarlyoninHarrietMartineau's""HistoricalRomance""oftheHaitianRev- olution,TheHourandtheMan(1841),ababyiskilled.1 T"	0		0		0	
Abu-Lughod 2020.pdf	2020	27	55	positive_alignment	0		1	The productive power of the paradigm wasmarkedbythe2011launchofSettlerColonialStudies.Thecentralityof thequestionofPalestinefromthestartisevidentinthemanyforumsand articlesthathavesince appeared inthi	0		0		0	
Adams 2021.pdf	2020	3	4	positive_alignment	0		1	Personal caregiving such as Lustig describes (Advil in a plastic dish, doing laundry, tryingtogetherhusbandtoeatsomething,wipingdowntheshower,switches, faucets,well...everywhere)islearnedintheworkofit	0		0		0	
Al-Bahloly 2020.pdf	2020	39	69	none	0		0		0		0		0	
Alff 2021.pdf	2021	19	62	positive_alignment	0		3	"Make Way for Infrastructure David Alff In1694,theYorkshirelawyerGeorgeMeritonpenneda""littlemethodical Pocket-Book""toacquaintroadsurveyorswiththeirduties.1Thisguideopens bydefininghighwaysin""ourLaw-Lan"	0		0		0	
Alloa 2021.pdf	2020	4	2	positive_alignment	0		4	What is remarkable in this range of reactions is the tone of certainty that comes with their verdict.	0		0		0	
Arnaud 2021.pdf	2021	34	61	position_to_overcome	1	Sign language, he argued, should not translate spoken French literally but stand in direct relation to thought.Withthissalvo,hetookapowerfulpositionagainstthepositions thatabbotsCharles-Micheldel'Épée	1	""" "" Garments of Thought : Writing Signs and the Critique of Logocentrism Sabine Arnaud If,whilestayinginaforeigncountry,inConstantinopleforexampleorinPersia,you wantedtodressinthenationalcostume,would"	0		0		0	
Aronowsky 2021.pdf	2021	22	45	position_to_overcome	3	Comparing ExxonMobil's public messaging with its private reports, Geof- freySupranandNaomiOreskeshaveshownthatadslikethesewerepartof a public relations campaign meant to downplay the risks of climate 	3	Gas Guzzling Gaia, or: A Prehistory of Climate Change Denialism Leah Aronowsky Introduction Considerthefollowingexcerptfroma1995advertorialpublishedbythe oil and gas conglomerate known today as ExxonM	0		0		0	
Ayers 2021.pdf	2020	4	1	position_to_overcome	2	When I saw Arne jogging while on my walk the other S86 Bill Ayers / OK, Zoomer!	2	"I soldier on, necessarilybutnothappily,allthewhilewithanirritatingchorusofcheer- leadersinthebackgroundpushingmeforward:""onlinelearningisanexcel- lent way to increase student engagement and differenti"	0		0		0	
Bao 2023.pdf	2023	34	54	position_to_overcome	1		1	Tweaking intellectual history with aesthetic theoryandpractice,Itaketheconceptualhistoryofenvironment—abroader categorythannature—asbothmaterialandmedialhistorybeyondtheWest inordertoprovideanalternat	0		0		0	
