group	journal	issn	source_id	source_name	work_id	doi	year	type	title	has_abstract	has_dh_signal	has_review_only_signal	dh_terms	review_only_terms	dh_term_occurrences	review_only_occurrences
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2035947985	https://doi.org/10.1632/pmla.2008.123.2.452	2008	article	Comics as Literature? Reading Graphic Narrative	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2162993383	https://doi.org/10.1632/pmla.2006.121.3.819	2006	article	The Antisocial Thesis in Queer Theory	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2104781748	https://doi.org/10.1632/pmla.2007.122.2.558	2007	article	What Is New Formalism?	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2051678521	https://doi.org/10.1632/pmla.2008.123.3.737	2008	article	The New Modernist Studies	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2090276112	https://doi.org/10.1632/pmla.2001.116.1.111	2001	article	Is the Post- in Postcolonial the Post- in Post-Soviet? Toward a Global Postcolonial Critique	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2018215725	https://doi.org/10.1632/pmla.2009.124.2.564	2009	article	Human, All Too Human: “Animal Studies” and the Humanities	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2056140546	https://doi.org/10.1632/003081206x129693	2006	article	The Rise of Periodical Studies	1	0	1		digital archive	0	1
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1993332764	https://doi.org/10.1632/pmla.2010.125.2.273	2010	article	Guest Column: Queer Ecology	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2048577651	https://doi.org/10.1632/003081204x22828	2004	article	Global Literature and the Technologies of Recognition	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2008201885	https://doi.org/10.1632/pmla.2013.128.1.21	2013	article	The New Unhistoricism in Queer Studies	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2048456315	https://doi.org/10.1632/pmla.2010.125.3.670	2010	article	The Prospect of Oceanic Studies	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W4291475385	https://doi.org/10.1632/s0030812900105073	2001	article	Is the Post- in Postcolonial the Post- in Post-Soviet? Toward a Global Postcolonial Critique	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2053331335	https://doi.org/10.1632/pmla.2014.129.1.87	2014	article	Metamodernism: Narratives of Continuity and Revolution	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2057961130	https://doi.org/10.1632/pmla.2014.129.3.478	2014	article	The Lure of Translingual Writing	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2021240965	https://doi.org/10.1632/pmla.2007.122.5.1377	2007	article	Introduction: Genres as Fields of Knowledge	1	0	1		digitization	0	1
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2147343690	https://doi.org/10.1632/pmla.2011.126.2.305	2011	article	Editor's Column: Literature in the Ages of Wood, Tallow, Coal, Whale Oil, Gasoline, Atomic Power, and Other Energy Sources	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W4252710511	https://doi.org/10.2307/463453	2000	article	Premodern Sexualities	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2002095929	https://doi.org/10.1632/pmla.2011.126.4.1061	2011	article	The Unwatched Life Is Not Worth Living: The Elevation of the Ordinary in Celebrity Culture	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2048497566	https://doi.org/10.1632/003081206x129684	2006	article	The Hitchhiker's Guide to Ecocriticism	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2000847891	https://doi.org/10.1632/pmla.2009.124.2.526	2009	article	Animals, Anomalies, and Inorganic Others	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2277176732	https://doi.org/10.1632/pmla.2015.130.3.737	2015	article	Latour and Literary Studies	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1989046105	https://doi.org/10.1632/003081202x63519	2002	article	World Borders, Political Borders	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2011623978	https://doi.org/10.1632/pmla.2009.124.2.616	2009	article	Of Pigs and Parchment: Medieval Studies and the Coming of the Animal	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W3096411705	https://doi.org/10.1632/s0030812900167914	2005	article	Disability and Narrative	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2050277153	https://doi.org/10.1632/pmla.2012.127.3.558	2012	article	Sustainable This, Sustainable That: New Materialisms, Posthumanism, and Unknown Futures	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2038213188	https://doi.org/10.1632/pmla.2011.126.3.753	2011	article	Why Not Compare?	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2118251573	https://doi.org/10.1632/pmla.2011.126.3.709	2011	article	The Concept of the Sinophone	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2137002059	https://doi.org/10.1632/pmla.2013.128.2.409	2013	article	The Meaning of the Digital Humanities	1	1	0	digital humanities		11	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1994667952	https://doi.org/10.1632/pmla.2010.125.3.721	2010	article	Universalizing the Indian Ocean	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2165225237	https://doi.org/10.1632/pmla.2011.126.4.1022	2011	article	Shine: On Race, Glamour, and the Modern	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1984540946	https://doi.org/10.1632/pmla.2010.125.4.948	2010	article	Our Aesthetic Categories	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W4235437783	https://doi.org/10.1632/pmla.2009.124.2.556	2009	article	Postcolonial Critique in a Multispecies World	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1981647836	https://doi.org/10.1632/003081205x63886	2005	article	Photography, War, Outrage	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W4254036817	https://doi.org/10.1632/pmla.2008.123.5.1380	2008	article	Racial Liberalism	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2098355296	https://doi.org/10.1632/pmla.2007.122.2.537	2007	article	The Entangled Self: Genre Bondage in the Age of the Memoir	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2053360725	https://doi.org/10.1632/pmla.2009.124.5.1515	2009	article	Harm's Way: Language and the Contemporary Arts of War	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2035131262	https://doi.org/10.1632/pmla.2007.122.1.9	2007	article	Introduction: Dreaming of Infrastructure	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1973497300	https://doi.org/10.1632/003081205x52383	2005	article	Law, Literature, and the Vanishing Real: On the Future of an Interdisciplinary Illusion	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W1971200039	https://doi.org/10.1632/003081206x142887	2006	article	Global Turns and Cautions in Rhetoric and Composition Studies	1	0	0			0	0
Literary / critical	PMLA	0030-8129	https://openalex.org/S4210171065	PMLA/Publications of the Modern Language Association of America	https://openalex.org/W2008511229	https://doi.org/10.1632/pmla.2010.125.3.703	2010	article	Heavy Waters: Waste and Atlantic Modernity	1	0	0			0	0
