group	journal	total_articles	dh_articles	review_only_articles	dh_term_occurrences	review_only_occurrences	abstract_available	dh_article_pct
Comparanda	American Historical Review	31031	19	56	24	71	21714	0.06
Comparanda	Cultural Analytics	211	57	13	98	16	206	27.01
Comparanda	Digital Scholarship in the Humanities	1134	329	121	685	203	1068	29.01
Comparanda	History and Theory	1266	0	3	0	3	972	0.0
Literary / critical	Critical Inquiry	2151	7	5	10	5	300	0.33
Literary / critical	ELH	1092	6	2	15	3	1051	0.55
Literary / critical	Journal of Modern Literature	1668	2	2	4	3	1370	0.12
Literary / critical	Modern Philology	2646	12	18	14	32	1120	0.45
Literary / critical	Modernism/modernity	2300	2	7	2	8	1956	0.09
Literary / critical	New Literary History	1264	18	3	28	6	1054	1.42
Literary / critical	Novel	1092	11	6	31	19	1034	1.01
Literary / critical	PMLA	4964	39	20	86	21	4799	0.79
Specialist	English Literature in Transition 1880-1920	445	0	0	0	0	136	0.0
Specialist	James Joyce Quarterly	1467	11	11	15	14	1156	0.75
Specialist	Shakespeare Quarterly	1530	2	3	3	3	1365	0.13
Specialist	Victorian Studies	5174	29	34	55	62	3402	0.56
