journal	issn	position	period	total_works	dedup_keyword_hits	pct	slide_format	raw_digital_humanities	raw_distant_reading	raw_computational_literary	raw_text_mining	raw_stylometry	raw_topic_model
PMLA	0030-8129	英文学・MLA	2016-2025	1203	100	8.3	100/1203 = 8.3%	58	39	12	10	0	27
ELH	0013-8304	英文学	2016-2025	424	42	9.9	42/424 = 9.9%	4	18	4	4	0	23
Novel	0029-5132	小説研究	2016-2025	413	47	11.4	47/413 = 11.4%	7	23	9	2	1	18
Critical Inquiry	0093-1896	批評理論	2016-2025	945	27	2.9	27/945 = 2.9%	9	11	6	1	1	9
Modernism/modernity	1071-6068	モダニズム	2016-2025	723	36	5.0	36/723 = 5.0%	6	15	3	5	0	15
Journal of Modern Literature	0022-281X	20世紀文学	2016-2025	618	9	1.5	9/618 = 1.5%	2	1	1	0	0	5
Shakespeare Quarterly	0037-3222	近世	2016-2025	427	5	1.2	5/427 = 1.2%	1	4	1	2	0	2
Victorian Studies	0042-5222	ヴィクトリア朝	2016-2025	1707	62	3.6	62/1707 = 3.6%	13	28	2	6	0	24
English Literature in Transition 1880–1920	0013-8339	後期ヴィクトリア朝〜20世紀初頭	2016-2025	50	0	0.0	0/50 = 0.0%	0	0	0	0	0	0
Cultural Analytics	2371-4549	比較：計量・DH系	2016-2025	211	143	67.8	143/211 = 67.8%	108	65	100	43	9	82
Digital Scholarship in the Humanities	2055-7671	比較：DH専門誌	2016-2025	954	430	45.1	430/954 = 45.1%	339	61	118	79	53	127
American Historical Review	0002-8762	比較：歴史学	2016-2025	8125	56	0.7	56/8125 = 0.7%	21	9	3	6	0	25
