review_priority	group	journal	year	title	dh_terms	dh_term_occurrences	review_candidate_reason	duplicate_count	work_id	doi	type	has_abstract	manual_class	manual_note
duplicate	Literary / critical	Critical Inquiry	2009	Postdisciplinary Liaisons: Science Studies and the Humanities	digital humanities	2		2	https://openalex.org/W2079964902	https://doi.org/10.1086/599586	article	1		
duplicate	Literary / critical	Critical Inquiry	2009	Postdisciplinary Liaisons: Science Studies and the Humanities	digital humanities	2		2	https://openalex.org/W3149740081	https://doi.org/10.2307/25599401	article	1		
duplicate	Comparanda	Cultural Analytics	2017	Topic Modeling the Hàn diăn Ancient Classics	topic modeling	4		2	https://openalex.org/W2593276484	https://doi.org/10.22148/16.016	article	1		
duplicate	Comparanda	Cultural Analytics	2017	Topic Modeling the Hàn diăn Ancient Classics (汉典古籍)	topic modeling	4		2	https://openalex.org/W3004478131	https://doi.org/10.22148/001c.11882	article	1		
duplicate	Comparanda	Cultural Analytics	2020	Annotation Guideline No. 8: Annotation Guidelines for Narrative Levels	digital humanities	2		2	https://openalex.org/W3001536763	https://doi.org/10.22148/001c.11773	article	1		
duplicate	Comparanda	Cultural Analytics	2020	Annotation Guideline No. 8: Annotation Guidelines for Narrative Levels	digital humanities	2		2	https://openalex.org/W4247893893	https://doi.org/10.22148/16.061	article	1		
duplicate	Comparanda	Digital Scholarship in the Humanities	2023	Introduction to Digital Humanities: Enhancing Scholarship with the Use of Technology. Kathryn C. Wymer	digital humanities	3		2	https://openalex.org/W4379932104	https://doi.org/10.1093/llc/fqad043	article	1		
duplicate	Comparanda	Digital Scholarship in the Humanities	2023	Introduction to Digital Humanities: Enhancing Scholarship with the Use of Technology. Kathryn C. Wymer	digital humanities	3		2	https://openalex.org/W4387358361	https://doi.org/10.1093/llc/fqad053	article	1		
duplicate	Literary / critical	PMLA	2016	Data versus Literature? The Digital Humanities and Literary Studies - Reply	digital humanities	1		2	https://openalex.org/W4233253947	https://doi.org/10.1632/pmla.2016.131.5.1557	article	1		
duplicate	Literary / critical	PMLA	2016	Data versus Literature? The Digital Humanities and Literary Studies - Reply	digital humanities	1		2	https://openalex.org/W3093650657	https://doi.org/10.1632/s0030812900172268	article	1		
duplicate	Specialist	Victorian Studies	2022	A Mid-Range Team of Rivals: Women Novelists in the Collective Biographies of Women Database	distant reading	1		2	https://openalex.org/W4386778459	https://doi.org/10.2979/vic.2022.a901281	article	1		
duplicate	Specialist	Victorian Studies	2022	A Mid-Range Team of Rivals: Women Novelists in the Collective Biographies of Women Database	distant reading	1		2	https://openalex.org/W4387626000	https://doi.org/10.2979/victorianstudies.65.1.03	article	1		
duplicate	Specialist	Victorian Studies	2022	Introduction	digital humanities	1		2	https://openalex.org/W4386778506	https://doi.org/10.2979/vic.2022.a901279	article	1		
duplicate	Specialist	Victorian Studies	2022	Introduction	digital humanities	1		2	https://openalex.org/W4387626012	https://doi.org/10.2979/victorianstudies.65.1.01	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2016		digital humanities	1	missing_title	2	https://openalex.org/W4230856919	https://doi.org/10.2979/victorianstudies.59.1.17	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2016		digital humanities; distant reading	2	missing_title	2	https://openalex.org/W4251901310	https://doi.org/10.2979/victorianstudies.58.4.33	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2018		digital humanities	8	missing_title	2	https://openalex.org/W4230869116	https://doi.org/10.2979/victorianstudies.60.4.14	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2018		distant reading	1	missing_title	2	https://openalex.org/W4233164720	https://doi.org/10.2979/victorianstudies.60.2.30	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2022	Victorian Hands: The Manual Turn in Nineteenth-Century Body Studies ed. by Peter J. Capuano and Sue Zemka (review)	distant reading	2	review_marker;edited_by	2	https://openalex.org/W4386778591	https://doi.org/10.2979/vic.2022.a901313	article	1		
high_duplicate_and_review	Specialist	Victorian Studies	2022	Victorian Hands: The Manual Turn in Nineteenth-Century Body Studies ed. by Peter J. Capuano and Sue Zemka (review)	distant reading	2	review_marker;edited_by	2	https://openalex.org/W4387547548	https://doi.org/10.2979/victorianstudies.65.1.35	article	1		
ordinary_hit	Comparanda	American Historical Review	2014	Jack Dougherty and Kristen Nawrotzki, editors. Writing History in the Digital Age	digital humanities	1		1	https://openalex.org/W4250695939	https://doi.org/10.1093/ahr/119.1.290	article	1		
ordinary_hit	Comparanda	American Historical Review	2014	Mark Salber Phillips. On Historical Distance.	distant reading	1		1	https://openalex.org/W2317857848	https://doi.org/10.1093/ahr/119.3.843	article	1		
ordinary_hit	Comparanda	American Historical Review	2016	Reading the Rebels and Mining the Maps: Digital Humanities and Cartographic Narratives	digital humanities	1		1	https://openalex.org/W2321095486	https://doi.org/10.1093/ahr/121.1.167	article	1		
ordinary_hit	Comparanda	American Historical Review	2016	The Transnational and the Text-Searchable: Digitized Sources and the Shadows They Cast	distant reading	1		1	https://openalex.org/W28080241	https://doi.org/10.1093/ahr/121.2.377	article	1		
ordinary_hit	Comparanda	American Historical Review	2017	Thematic Digital History Archives and Their Wicked Problems: China, America and the Pacific	digital humanities	1		1	https://openalex.org/W2587187695	https://doi.org/10.1093/ahr/122.1.115	article	1		
ordinary_hit	Comparanda	American Historical Review	2019	Mark Curran. The French Book Trade in Enlightenment Europe I: Selling Enlightenment.Simon Burrows. The French Book Trade in Enlightenment Europe II: Enlightenment Bestsellers.	digital humanities	1		1	https://openalex.org/W3016388506	https://doi.org/10.1093/ahr/rhz784	article	1		
ordinary_hit	Comparanda	American Historical Review	2019	Networks and Opportunities: A Digital History of Ireland’s Great Famine Refugees in New York	digital humanities	1		1	https://openalex.org/W2995222531	https://doi.org/10.1093/ahr/rhz1023	article	1		
ordinary_hit	Comparanda	American Historical Review	2020	The Georgetown Slavery Archive. http://slaveryarchive.georgetown.edu/.	digital humanities	4		1	https://openalex.org/W4249399733	https://doi.org/10.1093/ahr/rhaa186	article	1		
ordinary_hit	Comparanda	American Historical Review	2021	Cuban Racial Politics in Nineteenth-Century New York: A Critical Digital Approach	digital humanities	1		1	https://openalex.org/W3159313545	https://doi.org/10.1093/ahr/rhab007	article	1		
ordinary_hit	Comparanda	American Historical Review	2022	Inside the History Lab	digital humanities	1		1	https://openalex.org/W4226377230	https://doi.org/10.1093/ahr/rhac141	article	1		
ordinary_hit	Comparanda	American Historical Review	2023	Relating to Historical Sources	digital humanities	1		1	https://openalex.org/W4387081923	https://doi.org/10.1093/ahr/rhad365	article	1		
ordinary_hit	Comparanda	American Historical Review	2024	Love, Joy, and Hope	digital humanities	1		1	https://openalex.org/W4405226297	https://doi.org/10.1093/ahr/rhae468	article	1		
ordinary_hit	Comparanda	American Historical Review	2024	The Revolution in Text Mining for Historical Analysis is Here	text mining	2		1	https://openalex.org/W4399657012	https://doi.org/10.1093/ahr/rhae163	article	1		
ordinary_hit	Comparanda	American Historical Review	2024	Word Embedding Models and the Hybridity of Newspaper Genres	word embedding	2		1	https://openalex.org/W4392739172	https://doi.org/10.1093/ahr/rhad493	article	1		
ordinary_hit	Literary / critical	Critical Inquiry	2019	The Computational Case against Computational Literary Studies	computational literary studies	1		1	https://openalex.org/W2921304755	https://doi.org/10.1086/702594	article	0		
ordinary_hit	Literary / critical	Critical Inquiry	2020	Romantic Disciplinarity and the Rise of the Algorithm	digital humanities	1		1	https://openalex.org/W3037443619	https://doi.org/10.1086/709225	article	1		
ordinary_hit	Literary / critical	Critical Inquiry	2023	#COVID, Crisis, and the Search for Story in the Platform Age	distant reading	1		1	https://openalex.org/W4380079432	https://doi.org/10.1086/725059	article	1		
ordinary_hit	Literary / critical	Critical Inquiry	2023	What’s the Matter with Computational Literary Studies?	computational literary studies	2		1	https://openalex.org/W4380084764	https://doi.org/10.1086/724943	article	1		
ordinary_hit	Literary / critical	Critical Inquiry	2025	The Four-Color Theorem and the Aesthetics of Computational Proof	digital humanities	1		1	https://openalex.org/W4407895836	https://doi.org/10.1086/734121	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2016	Other people's data: humanities edition	digital humanities	1		1	https://openalex.org/W3004383240	https://doi.org/10.22148/001c.11822	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2016	The Science of Culture? Social Computing, Digital Humanities and Cultural Analytics	digital humanities; cultural analytics	3		1	https://openalex.org/W2401667852	https://doi.org/10.22148/16.004	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2017	The Migrant Letter Digitised: Visualising Metadata	digital humanities	1		1	https://openalex.org/W2601984134	https://doi.org/10.22148/16.013	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2017	Topic Modeling, Epistemology, and the English and German Novel	topic modeling	1		1	https://openalex.org/W4242882238	https://doi.org/10.22148/16.014	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	A Shared Task for the Digital Humanities Chapter 1: Introduction to Annotation, Narrative Levels and Shared Tasks	digital humanities	2		1	https://openalex.org/W2985141934	https://doi.org/10.22148/16.048	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	A Shared Task for the Digital Humanities Chapter 2: Evaluating Annotation Guidelines	digital humanities	1		1	https://openalex.org/W2988314392	https://doi.org/10.22148/16.049	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	A Shared Task for the Digital Humanities Chapter 3: Description of Submitted Guidelines and Final Evaluation Results	digital humanities	1		1	https://openalex.org/W2985974955	https://doi.org/10.22148/16.050	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	Annotation Guideline No. 4: Annotating Narrative Levels in Literature	digital humanities	1		1	https://openalex.org/W2992775586	https://doi.org/10.22148/16.055	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	Data Cultures, Culture as Data – Special Issue of Cultural Analytics	cultural analytics	1		1	https://openalex.org/W2993740281	https://doi.org/10.22148/16.035	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	Foreword to the Special Issue “A Shared Task for the Digital Humanities: Annotating Narrative Levels”	digital humanities	2		1	https://openalex.org/W2986349701	https://doi.org/10.22148/16.047	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2019	Race, Writing, and Computation: Racial Difference and the US Novel, 1880-2000	cultural analytics	2		1	https://openalex.org/W2909609490	https://doi.org/10.22148/16.031	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2020	A Computational Approach to Urban Space in Science Fiction	topic modeling	1		1	https://openalex.org/W3106923209	https://doi.org/10.22148/001c.18120	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2020	Response by the Special Interest Group on Digital Literary Stylistics to Nan Z. Da's Study	digital humanities; computational literary studies	2		1	https://openalex.org/W3004150426	https://doi.org/10.22148/001c.11827	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Abolitionist Networks: Modeling Language Change in Nineteenth-Century Activist Newspapers	word embedding	1		1	https://openalex.org/W3123995752	https://doi.org/10.22148/001c.18841	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Celebrating 5 Years of Cultural Analytics	cultural analytics	2		1	https://openalex.org/W3200612959	https://doi.org/10.22148/001c.28215	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Collaborative Annotation as a Teaching Tool	distant reading	1		1	https://openalex.org/W4200340511	https://doi.org/10.22148/001c.30702	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Content-Era Ethics	digital humanities	1		1	https://openalex.org/W3153509735	https://doi.org/10.22148/001c.22220	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Introduction: Contemporary Culture After Data Science	cultural analytics	1		1	https://openalex.org/W3153523203	https://doi.org/10.22148/001c.22335	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	Modeling Conflict: Representations of Social Groups in Present-Day Dutch Literature	cultural analytics	1		1	https://openalex.org/W3166272135	https://doi.org/10.22148/001c.24722	article	1		
