journal	term	term_article_count	term_occurrence_count
American Historical Review	database	46	58
American Historical Review	digital archive	7	9
American Historical Review	digitization	4	4
Critical Inquiry	database	3	3
Critical Inquiry	digital archive	1	1
Critical Inquiry	digitization	1	1
Cultural Analytics	database	7	7
Cultural Analytics	digital archive	2	3
Cultural Analytics	digitization	3	5
Cultural Analytics	digitized books	1	1
Digital Scholarship in the Humanities	database	77	126
Digital Scholarship in the Humanities	digital archive	15	25
Digital Scholarship in the Humanities	digitization	27	45
Digital Scholarship in the Humanities	digitized books	4	4
Digital Scholarship in the Humanities	electronic text	3	3
ELH	database	2	3
History and Theory	digital archive	2	2
History and Theory	digitization	1	1
James Joyce Quarterly	database	7	7
James Joyce Quarterly	digital archive	1	4
James Joyce Quarterly	digitization	3	3
Journal of Modern Literature	database	2	3
Modern Philology	database	12	20
Modern Philology	digital archive	3	4
Modern Philology	digitization	3	6
Modern Philology	electronic text	1	2
Modernism/modernity	database	3	4
Modernism/modernity	digital archive	3	3
Modernism/modernity	electronic text	1	1
New Literary History	database	3	4
New Literary History	digital archive	1	2
Novel	database	4	12
Novel	digital archive	2	2
Novel	digitization	2	3
Novel	electronic text	2	2
PMLA	database	10	11
PMLA	digital archive	2	2
PMLA	digitization	8	8
Shakespeare Quarterly	database	2	2
Shakespeare Quarterly	electronic text	1	1
Victorian Studies	database	24	45
Victorian Studies	digital archive	8	8
Victorian Studies	digitization	7	9
