group	journal	dh_articles_raw	dh_term_occurrences_raw	review_candidates	duplicate_candidates	dh_articles_provisional_clean	dh_term_occurrences_provisional_clean
Comparanda	American Historical Review	19	24	5	0	14	19
Comparanda	Cultural Analytics	57	98	1	4	52	85
Comparanda	Digital Scholarship in the Humanities	329	685	41	2	286	586
Literary / critical	Critical Inquiry	7	10	0	2	5	6
Literary / critical	ELH	6	15	0	0	6	15
Literary / critical	Journal of Modern Literature	2	4	0	0	2	4
Literary / critical	Modern Philology	12	14	11	0	1	2
Literary / critical	Modernism/modernity	2	2	1	0	1	1
Literary / critical	New Literary History	18	28	0	0	18	28
Literary / critical	Novel	11	31	1	0	10	26
Literary / critical	PMLA	39	86	5	2	32	70
Specialist	James Joyce Quarterly	11	15	3	0	8	10
Specialist	Shakespeare Quarterly	2	3	0	0	2	3
Specialist	Victorian Studies	29	55	11	10	14	29
