group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	PMLA	2006	https://openalex.org/W2056140546	The Rise of Periodical Studies	review_only	digital archive	1
Literary / critical	PMLA	2007	https://openalex.org/W2021240965	Introduction: Genres as Fields of Knowledge	review_only	digitization	1
Literary / critical	PMLA	2013	https://openalex.org/W2137002059	The Meaning of the Digital Humanities	strong	digital humanities	11
Literary / critical	PMLA	2013	https://openalex.org/W2077040928	“Words with Friends”: Socially Networked Reading on<i>Goodreads</i>	review_only	digitization	1
Literary / critical	PMLA	2017	https://openalex.org/W2766736723	Why Distant Reading Isn't	strong	distant reading	2
Literary / critical	PMLA	2020	https://openalex.org/W4229761838	Categorically Provisional	strong	digital humanities	1
Literary / critical	PMLA	2016	https://openalex.org/W3120931414	Introduction: Assembling the Ecological Digital Humanities	strong	digital humanities	5
Literary / critical	PMLA	2017	https://openalex.org/W2759867731	Mid-Range Reading: Not a Manifesto	strong	digital humanities	2
Literary / critical	PMLA	2017	https://openalex.org/W2759867731	Mid-Range Reading: Not a Manifesto	strong	distant reading	1
Literary / critical	PMLA	2010	https://openalex.org/W2087530684	Rewriting<i>Moby-Dick</i>: Politics, Textual Identity, and the Revision Narrative	strong	digital humanities	1
Literary / critical	PMLA	2020	https://openalex.org/W3021141535	Aural Speed-Reading: Some Historical Bookmarks	review_only	database	1
Literary / critical	PMLA	2007	https://openalex.org/W3095627790	Narrative and Database: Natural Symbionts	review_only	database	1
Literary / critical	PMLA	2007	https://openalex.org/W2124645731	Database as Genre: The Epic Transformation of Archives	review_only	database	1
Literary / critical	PMLA	2009	https://openalex.org/W1994980611	Medieval Mediterranean Literature	review_only	database	1
Literary / critical	PMLA	2007	https://openalex.org/W3097448209	Database, Interface, and Archival Fever	review_only	database	1
Literary / critical	PMLA	2017	https://openalex.org/W2766214655	Algorithm and Analogy: Distant Reading in 1598	strong	distant reading	1
Literary / critical	PMLA	2019	https://openalex.org/W2920762041	An Image in Lava: Annotation, Sentiment, and the Traces of Nineteenth-Century Reading	review_only	digitization	1
Literary / critical	PMLA	2020	https://openalex.org/W3117134318	Situating the Method Debates	strong	distant reading	1
