journal	term	term_article_count	term_occurrence_count
American Historical Review	digital humanities	15	18
American Historical Review	distant reading	2	2
American Historical Review	text mining	1	2
American Historical Review	word embedding	1	2
Critical Inquiry	computational literary studies	2	3
Critical Inquiry	digital humanities	4	6
Critical Inquiry	distant reading	1	1
Cultural Analytics	computational literary studies	3	5
Cultural Analytics	cultural analytics	10	14
Cultural Analytics	digital humanities	31	49
Cultural Analytics	distant reading	3	3
Cultural Analytics	stylometry	3	3
Cultural Analytics	text mining	2	2
Cultural Analytics	topic modeling	12	21
Cultural Analytics	word embedding	1	1
Digital Scholarship in the Humanities	computational literary studies	4	5
Digital Scholarship in the Humanities	cultural analytics	2	3
Digital Scholarship in the Humanities	digital humanities	198	392
Digital Scholarship in the Humanities	distant reading	21	28
Digital Scholarship in the Humanities	stylometry	69	132
Digital Scholarship in the Humanities	text mining	29	40
Digital Scholarship in the Humanities	topic modeling	35	67
Digital Scholarship in the Humanities	word embedding	10	18
ELH	digital humanities	2	7
ELH	distant reading	4	7
ELH	topic modeling	1	1
James Joyce Quarterly	digital humanities	9	11
James Joyce Quarterly	distant reading	4	4
Journal of Modern Literature	digital humanities	2	4
Modern Philology	digital humanities	8	8
Modern Philology	distant reading	3	3
Modern Philology	stylometry	2	3
Modernism/modernity	digital humanities	1	1
Modernism/modernity	distant reading	1	1
New Literary History	computational literary criticism	1	1
New Literary History	computational literary studies	2	2
New Literary History	cultural analytics	1	1
New Literary History	digital humanities	11	12
New Literary History	distant reading	7	11
New Literary History	text mining	1	1
Novel	digital humanities	5	15
Novel	distant reading	8	14
Novel	macroanalysis	1	1
Novel	stylometry	1	1
PMLA	digital humanities	24	50
PMLA	distant reading	16	34
PMLA	macroanalysis	1	1
PMLA	topic modeling	1	1
Shakespeare Quarterly	digital humanities	2	3
Victorian Studies	digital humanities	14	31
Victorian Studies	distant reading	17	22
Victorian Studies	text mining	1	2
