journal	year	total_articles	dh_articles	review_only_articles	dh_term_occurrences	review_only_occurrences
American Historical Review	2000	2020	0	0	0	0
American Historical Review	2001	2143	0	2	0	4
American Historical Review	2002	1941	0	0	0	0
American Historical Review	2003	1884	0	1	0	1
American Historical Review	2004	1969	0	0	0	0
American Historical Review	2005	1652	0	3	0	3
American Historical Review	2006	1297	0	1	0	1
American Historical Review	2007	1190	0	0	0	0
American Historical Review	2008	1280	0	1	0	1
American Historical Review	2009	1080	0	3	0	5
American Historical Review	2010	1013	0	2	0	2
American Historical Review	2011	1042	0	3	0	5
American Historical Review	2012	1106	0	2	0	2
American Historical Review	2013	998	0	1	0	1
American Historical Review	2014	1149	2	1	2	1
American Historical Review	2015	1142	0	1	0	1
American Historical Review	2016	1038	5	5	5	5
American Historical Review	2017	992	2	6	2	7
American Historical Review	2018	1088	0	5	0	5
American Historical Review	2019	1277	2	7	2	14
American Historical Review	2020	636	1	4	4	4
American Historical Review	2021	641	1	3	1	4
American Historical Review	2022	446	1	2	1	2
American Historical Review	2023	492	1	0	1	0
American Historical Review	2024	589	3	2	5	2
American Historical Review	2025	926	1	1	1	1
Critical Inquiry	2000	55	0	0	0	0
Critical Inquiry	2001	54	0	0	0	0
Critical Inquiry	2002	41	0	0	0	0
Critical Inquiry	2003	62	0	0	0	0
Critical Inquiry	2004	142	0	0	0	0
Critical Inquiry	2005	130	0	0	0	0
Critical Inquiry	2006	96	0	0	0	0
Critical Inquiry	2007	89	0	0	0	0
Critical Inquiry	2008	86	0	0	0	0
Critical Inquiry	2009	97	2	0	4	0
Critical Inquiry	2010	48	0	0	0	0
Critical Inquiry	2011	61	0	0	0	0
Critical Inquiry	2012	48	0	0	0	0
Critical Inquiry	2013	37	0	0	0	0
Critical Inquiry	2014	100	0	0	0	0
Critical Inquiry	2015	60	0	0	0	0
Critical Inquiry	2016	96	0	0	0	0
Critical Inquiry	2017	96	0	0	0	0
Critical Inquiry	2018	98	0	0	0	0
Critical Inquiry	2019	101	1	1	1	1
Critical Inquiry	2020	132	1	1	1	1
Critical Inquiry	2021	88	0	0	0	0
