work_id	min_year_from_editions	n_entries_in_file	n_years_found	missing_publish_date	nonmatch_publish_date	size_top
OL100237W	1912	50	50	0	0	352
OL100278W	1944	50	47	3	0	72
OL101949W	1950	24	23	1	0	24
OL10340782W	1900	20	19	1	0	20
OL10416779W	1933	16	14	2	0	16
OL1064284W	2013	50	50	0	0	154
OL108735W	1902	50	48	2	0	159
OL108761W	1913	21	19	2	0	21
OL1090082W	1892	20	19	1	0	20
OL1098440W	1925	14	12	2	0	14
OL1140133W	1930	34	31	2	1	34
OL1140168W	1939	28	24	4	0	28
OL1164756W	1933	48	47	0	1	48
OL1174832W	1933	20	20	0	0	20
OL118407W	2015	50	50	0	0	80
OL1184845W	1933	8	8	0	0	8
OL1188951W	1928	16	15	1	0	16
OL118959W	1897	15	15	0	0	15
OL120601W	1943	25	25	0	0	25
OL1249816W	1922	25	25	0	0	25
OL1256792W	1923	13	13	0	0	13
OL12799W	1940	50	49	1	0	86
OL12831W	1915	50	50	0	0	409
OL1337110W	1930	22	22	0	0	22
OL1418064W	1914	19	19	0	0	19
OL1434640W	1929	50	47	3	0	68
OL14848613W	1938	5	5	0	0	5
OL14857651W	1939	16	15	1	0	16
OL15127501W	1924	12	11	1	0	12
OL15176339W	1896	19	19	0	0	19
OL15309606W	1907	10	10	0	0	10
OL1794630W	1898	26	24	2	0	26
OL1797271W	1902	43	43	0	0	43
OL181945W	1918	18	18	0	0	18
OL181949W	1909	50	47	2	1	66
OL1937467W	1930	8	8	0	0	8
OL1937666W	1920	46	42	4	0	46
OL1937779W	1943	11	10	1	0	11
OL1937789W	1950	50	50	0	0	61
OL1948704W	1942	50	48	2	0	85
OL1972829W	1940	15	15	0	0	15
OL2040928W	1949	20	20	0	0	20
OL209180W	1921	29	29	0	0	29
OL21077191W	1949	50	50	0	0	75
OL2227893W	1913	50	47	3	0	72
OL2239396W	1884	50	41	9	0	336
OL2288671W	1932	19	19	0	0	19
OL23200W	1942	50	49	1	0	87
OL259581W	1902	50	49	1	0	91
OL260308W	1897	40	40	0	0	40
OL262490W	1929	46	44	2	0	46
OL262562W	1906	34	34	0	0	34
OL265984W	1935	50	50	0	0	53
OL267110W	1890	50	49	1	0	141
OL273555W	1897	1	1	0	0	1
OL276321W	1885	50	49	1	0	130
OL2883791W	1948	21	20	1	0	21
OL289009W	1925	32	31	1	0	32
OL3020881W	1939	15	14	0	1	15
OL3020931W	1946	12	12	0	0	12
OL309136W	1883	18	17	0	1	18
OL3520392W	1942	3	3	0	0	3
OL38827W	1917	50	50	0	0	147
OL3901369W	1928	30	30	0	0	30
OL39042W	1903	23	23	0	0	23
OL3926760W	1946	35	34	1	0	35
OL39575W	1937	50	50	0	0	131
OL4080129W	1950	7	7	0	0	7
OL4092661W	1940	30	28	2	0	30
OL45423W	1922	47	45	1	1	47
OL4592774W	1897	12	11	1	0	12
OL4636873W	1922	16	16	0	0	16
OL4638367W	1941	50	48	2	0	65
OL468564W	1962	50	50	0	0	78
OL472073W	1950	50	50	0	0	272
OL4770567W	1936	12	11	1	0	12
OL47899W	1928	26	24	2	0	26
OL482890W	1934	18	17	1	0	18
OL500584W	1923	25	25	0	0	25
OL505792W	1939	7	6	1	0	7
OL5537695W	1939	27	27	0	0	27
OL55409W	1948	40	40	0	0	40
OL55637W	1947	15	14	1	0	15
OL5591827W	1936	9	9	0	0	9
OL56800W	1905	34	34	0	0	34
OL575625W	1920	50	48	2	0	147
OL631009W	1920	50	49	1	0	107
OL672332W	1898	26	22	4	0	26
OL69063W	1881	40	39	1	0	40
OL69207W	1920	28	27	1	0	28
OL6943209W	1930	12	11	1	0	12
OL7013714W	1918	29	29	0	0	29
OL76578W	1927	50	50	0	0	219
OL78359W	1943	50	49	1	0	87
OL8070950W	1922	36	36	0	0	36
OL8445008W	1933	16	12	4	0	16
OL8608152W	1917	34	34	0	0	34
OL873092W	1910	30	27	3	0	30
OL878922W	1921	39	37	2	0	39
OL98563W	1925	23	20	3	0	23
