work_key	title	author	edition_count	source
/works/OL7055428W	We Two	Lyall	11	OL_API_2026-04
/works/OL1798545W	Jan Vedder's Wife	Barr	6	OL_API_2026-04
/works/OL7675136W	Anthony Fairfax	Hollis	2	OL_API_2026-04
/works/OL4451245W	A Strong Minded Woman	Hammond	2	OL_API_2026-04
/works/OL1491830W	He Fell in Love with His Wife	Roe	38	OL_API_2026-04
/works/OL4606427W	That Unfortunate Marriage	Trollope	1	OL_API_2026-04
/works/OL262578W	The Doings of Raffles Haw	Doyle	59	OL_API_2026-04
/works/OL1797214W	A Question of Time	Atherton	3	OL_API_2026-04
/works/OL1489101W	Ships That Pass in the Night	Harraden	19	OL_API_2026-04
/works/OL32747456W	Renunciations	Wedmore	1	OL_API_2026-04
/works/OL6016716W	A Prodigal in Love	Wolf	2	OL_API_2026-04
/works/OL18110400W	The Comedy of Sentiment	Nordau	1	OL_API_2026-04
/works/OL2339028W	The Lady of the Hundred Dresses	Crockett	1	OL_API_2026-04
/works/OL16078090W	Topham's Folly	Stevenson	1	OL_API_2026-04
/works/OL7483534W	Big Wallace	Williams	1	OL_API_2026-04
/works/OL36868341W	The Valley of Silent Men	Curwood	6	OL_API_2026-04
/works/OL4103590W	Drag Harlan	Seltzer	3	OL_API_2026-04
/works/OL4772826W	Admirals of the Caribbean	Hart	6	OL_API_2026-04
/works/OL879241W	A Crystal Age	Hudson	27	OL_API_2026-04
/works/OL4975431W	Red Sand	Stribling	2	OL_API_2026-04
/works/OL788147W	The Aloe	Mansfield	11	OL_API_2026-04
/works/OL31415789W	The Outlaw Years	Coates	2	OL_API_2026-04
/works/OL7282228W	The Indigo Necklace	Crane	9	OL_API_2026-04
/works/OL37513138W	The Adventures of Huckleberry Finn	Twain	161	OL_API_2026-04
/works/OL8776079W	The Little Lady of Lagunitas	Savage	4	OL_API_2026-04
/works/OL17467W	Jess	Haggard	96	OL_API_2026-04
/works/OL24485925W	The Maid of Maiden Lane	Barr	8	OL_API_2026-04
/works/OL24661382W	The Simian World	Day	4	OL_API_2026-04
/works/OL24797604W	The Heart of Unaga	Cullum	4	OL_API_2026-04
/works/OL3121021W	The New Dawn	Agnes Laut	7	OL_API_2026-04
