ol_work_key	ol_title	ol_author_name	goodreads_work_id	gr_primary_contributors	ol_author_key	combined_identity_status	cross_source_corroborated	newly_resolved_by_wikidata	resolved_person_qid	resolved_gr_name	resolved_ol_name	identity_status	matched_gr_name	matched_ol_name_raw	ol_evidence_type	wikidata_identity_status	gr_wikidata_candidate_qid_count	corroborated_qid_count	corroborated_qids	matched_qid	matched_gr_target_names	matched_ol_name	matched_ol_name_source	matched_wikidata_name	matched_wikidata_name_source	wikidata_label	wikidata_description	wikidata_occupation_qids	wikidata_birth	wikidata_death	enwiki_title
/works/OL1002110W	The Besieged City	Lispector, Clarice.	581819	Qian Zhong Shu | Qian Zhongshu	/authors/OL93118A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	1	0													
/works/OL101509W	Dolly Madison	Mary Elizabeth Springer	1636683	Maud Wilder Goodwin	/authors/OL1209296A	UNRESOLVED	False	False				UNRESOLVED				NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10310635W	Guilty men	Cato.	17913433	Frances Weaver | Peter Oborne	/authors/OL4267537A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	5	0													
/works/OL103386W	In the sixties	Harold Frederic	2354384	Barry  Miles	/authors/OL24181A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	2	0													
/works/OL10365583W	The land of gold	George G. Spurr	216480	Gillian Bradshaw	/authors/OL4291228A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	1	0													
/works/OL10421473W	The Shadow Market	Netta Muskett	11955566	Eric J. Weiner	/authors/OL4325736A	UNRESOLVED	False	False				UNRESOLVED				NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10421479W	Candle in the Sun	Netta Muskett	10652215	Elisabeth Hamilton Friermood	/authors/OL4325736A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	1	0													
/works/OL10421493W	Tamarisk	Netta Muskett	1531275	Claire Lorrimer	/authors/OL4325736A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	1	0													
/works/OL10421500W	Living with Adam	Netta Muskett	1737062	Anne Mather	/authors/OL4325736A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	2	0													
/works/OL10424304W	Among the Turks	Verney Lovett Cameron	1156623	Cyrus Hamlin	/authors/OL1181669A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	6	0													
/works/OL10497432W	The Claverton Mystery	Cecil John Charles Street	4522990	John Rhode	/authors/OL6001513A	SAME_PERSON_OL_ALIAS	False	False		John Rhode	John Rhode | John RHODE | john rhode	OL_ALIAS_MATCH	John Rhode	John Rhode | John RHODE | john rhode	OL_ALTERNATE_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10510063W	The travel tales of Mr. Joseph Jorkens	Edward Plunkett	18963020	Lord Dunsany	/authors/OL39937A	SAME_PERSON_OL_DIRECT	False	False		Lord Dunsany	Lord Dunsany	DIRECT_NAME_MATCH	Lord Dunsany	Lord Dunsany	OL_NAME_OR_PERSONAL_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10536361W	Cat-in-the-manger	Phyllis Eleanor Bentley	1327309	Michael Foreman	/authors/OL1803283A	UNRESOLVED	False	False				UNRESOLVED				NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10563336W	The Secret of High Eldersham	Cecil John Charles Street	7862860	Miles Burton	/authors/OL6001513A	SAME_PERSON_OL_ALIAS	False	False		Miles Burton	Miles Burton | miles burton	OL_ALIAS_MATCH	Miles Burton	Miles Burton | miles burton	OL_ALTERNATE_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10591257W	Death at Swaythling Court	Alfred W Stewart	23748924	J.J. Connington	/authors/OL5634689A	SAME_PERSON_OL_ALIAS	False	False		J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALIAS_MATCH	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALTERNATE_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10591258W	The Eye in the Museum	Alfred W Stewart	23542398	J.J. Connington	/authors/OL5634689A	SAME_PERSON_OL_ALIAS	False	False		J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALIAS_MATCH	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALTERNATE_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10591262W	The Two Tickets Puzzle	Alfred W Stewart	23542399	J.J. Connington	/authors/OL5634689A	SAME_PERSON_OL_ALIAS	False	False		J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALIAS_MATCH	J.J. Connington	J. J. Connington | J.J. Connington | J. J Connington | J.J Connington | J J. Connington | J. J. CONNINGTON | J J Connington	OL_ALTERNATE_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL106043W	The little fire engine	Greene, Graham	41900	Lois Lenski	/authors/OL20243A	UNRESOLVED	False	False				UNRESOLVED				NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10608554W	Genji monogatari	Murasaki Shikibu	10939671	Mark Young	/authors/OL365212A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	20	0													
/works/OL1064049W	Notre-Dame	Victor Hugo	46055768	Jean Bastide | Robin Recht | Robin Recht, Jean Bastide	/authors/OL107571A	UNRESOLVED	False	False				UNRESOLVED				WD_CANDIDATES_NO_CORROBORATION	8	0													
/works/OL10641391W	Devil take the blue-tail fly	Gregory Tree	599685	John Franklin Bardin	/authors/OL2248940A	SAME_PERSON_OL_DIRECT	False	False		John Franklin Bardin	John Franklin Bardin	DIRECT_NAME_MATCH	John Franklin Bardin	John Franklin Bardin	OL_NAME_OR_PERSONAL_NAME	NO_WIKIDATA_CANDIDATE	0	0													
/works/OL10649669W	The major	Ralph Connor	42014768	Cliff Happy	/authors/OL457425A	UNRESOLVED	False	False				UNRESOLVED				NO_WIKIDATA_CANDIDATE	0	0													
