ol_work_key	ol_title	ol_author_name	ol_first_publish_year	canonical	goodreads_work_id	gr_original_title	gr_original_publication_year	title_match_type	title_match_types	matched_book_ids	matched_book_titles	ratings_count	text_reviews_count	match_status	author_match_quality	matched_goodreads_author
/works/OL101017W	An alley of flashing spears	Byrne, Donn	1933	0	4847956	An alley of flashing spears,: And other stories (Short story index reprint series)	1969	WORK_BASE	WORK_BASE	[]	[]	1	1	REVIEW_BASE	EXACT_NAME	Donn Byrne
/works/OL103391W	The deserter, and other stories	Harold Frederic	1898	0	26139928		2007	BOOK_BASE	BOOK_BASE	"[""26935538""]"	"[""The Deserter and Other Stories: A Book of Two Wars""]"	1	1	REVIEW_BASE	EXACT_NAME	Harold Frederic
/works/OL10463812W	Jeremy Poldark	Graham, Winston.	1950	0	2683128	Venture Once More	1950	BOOK_BASE	BOOK_BASE	"[""5912439""]"	"[""Jeremy Poldark: A Novel of Cornwall, 1790-1791 (Poldark, #3)""]"	5954	405	REVIEW_BASE	EXACT_NAME	Winston Graham
/works/OL10539931W	Hugger-mugger in the Louvre	Elliot Paul	1940	0	74073	Hugger-Mugger in the Louvre: A Homer Evans Murder Mystery (Dover Mystery Classics Series)	1940	WORK_BASE	WORK_BASE	[]	[]	13	5	REVIEW_BASE	EXACT_NAME	Elliot Paul
/works/OL1057160W	Mr. Sampath	Rasipuram Krishnaswamy Narayan	1949	0	11222633		1948	BOOK_BASE	BOOK_BASE	"[""1795226""]"	"[""Mr. Sampath: The Printer Of Malgudi""]"	579	33	REVIEW_BASE	GIVEN_NAME_COMPATIBLE	R.K. Narayan
/works/OL106051W	A sense of reality	Greene, Graham	1950	0	2464940	A Sense of Reality and Other Stories	1950	BOOK_BASE	BOOK_BASE	"[""1872425""]"	"[""A Sense of Reality: And Other Stories""]"	147	21	REVIEW_BASE	EXACT_NAME	Graham Greene
/works/OL106063W	Doctor Fischer of Geneva	Greene, Graham	1908	0	1371802	Doctor Fischer of Geneva or the Bomb Party	1980	BOOK_BASE	BOOK_BASE	"[""767186""]"	"[""Doctor Fischer Of Geneva; Or, The Bomb Party""]"	1937	141	REVIEW_BASE	EXACT_NAME	Graham Greene
/works/OL10613868W	Ganton & Co	Arthur Jerome Eddy	1908	0	14434314		1908	BOOK_BASE	BOOK_BASE	"[""9547886""]"	"[""Ganton & Co.: A Story of Chicago Commercial and Social Life""]"	1	1	REVIEW_BASE	EXACT_NAME	Arthur Jerome Eddy
/works/OL106161W	The new Swiss family Robinson	Owen Wister	1922	0	3025018	The New Swiss Family Robinson: A Tale For Children Of All Ages (1922)	2007	WORK_BASE	WORK_BASE|BOOK_BASE	"[""2994545""]"	"[""The New Swiss Family Robinson: A Tale for Children of All Ages (1922)""]"	6	2	REVIEW_BASE	EXACT_NAME	Owen Wister
/works/OL1064160W	A sister of the Red Cross	L. T. Meade	1901	0	12908290		1901	BOOK_BASE	BOOK_BASE	"[""8113095""]"	"[""A Sister of the Red Cross: A Tale of the South African War""]"	2	1	REVIEW_BASE	EXACT_NAME	L.T. Meade
/works/OL1064256W	The return of Arsène Lupin	Leblanc, Maurice	1933	0	49868970		1920	BOOK_BASE	BOOK_BASE	"[""17734632""]"	"[""The Return of Arsene Lupin: Misteri Segitiga Emas (Arsène Lupin, #9)""]"	22	9	REVIEW_BASE	EXACT_NAME	Maurice Leblanc
/works/OL10688376W	The Yemassee	Simms, William Gilmore	1882	0	1060013	The Yemassee: A Romance of Carolina (Selected Fiction of William Gilmore Simms Arkansas Edition)	1964	WORK_BASE	WORK_BASE|BOOK_BASE	"[""353115""]"	"[""The Yemassee: A Romance of Carolina""]"	23	2	REVIEW_BASE	EXACT_NAME	William Gilmore Simms
/works/OL10688485W	The grandmothers	Glenway Wescott	1927	0	780666	The Grandmothers: A Family Portrait	1927	WORK_BASE	WORK_BASE|BOOK_BASE	"[""794687""]"	"[""The Grandmothers: A Family Portrait""]"	28	11	REVIEW_BASE	EXACT_NAME	Glenway Wescott
/works/OL10710305W	The Aztec treasure house	Thomas A. Janvier	1890	0	22237324		2012	BOOK_BASE	BOOK_BASE	"[""16235346""]"	"[""The Aztec Treasure-House: A Lost Race Novel""]"	3	1	REVIEW_BASE	GIVEN_NAME_COMPATIBLE	Thomas Allibone Janvier
/works/OL10800088W	Silver chief	Jack O'Brien	1933	0	731077	Silver Chief: Dog of the North	1933	WORK_BASE	WORK_BASE|BOOK_BASE	"[""744928""]"	"[""Silver Chief: Dog of the North""]"	168	20	REVIEW_BASE	EXACT_NAME	Jack O'Brien
/works/OL10856378W	The captain of the Janizaries	James Meeks Ludlow	1890	0	49061241		2008	BOOK_BASE	BOOK_BASE	"[""26966775""]"	"[""The Captain of the Janizaries: A Story of Times of Scanderberg and the Fall of Constantinople""]"	2	1	REVIEW_BASE	GIVEN_NAME_COMPATIBLE	James M. Ludlow
/works/OL109169W	Fame and fiction	Bennett, Arnold	1901	0	40197542		1901	BOOK_BASE	BOOK_BASE	"[""20857495""]"	"[""Fame and fiction: An Enquiry into Certain Popularities""]"	2	1	REVIEW_BASE	EXACT_NAME	Arnold Bennett
/works/OL1092170W	A full and true account of the wonderful mission of Earl Lavender, which lasted one night and one day	Davidson, John	1895	0	5985256	A Full and True Account of the Wonderful Mission of Earl Lavender, which Lasted One Night and One Day; with a History of the Pursuit of Earl Lavender and Lord Brumm by Mrs. Scamler and Maud Emblem	1895	WORK_BASE	WORK_BASE|BOOK_BASE	"[""5813248""]"	"[""A Full and True Account of the Wonderful Mission of Earl Lavender, which Lasted One Night and One Day; with a History of the Pursuit of Earl Lavender and Lord Brumm by Mrs. Scamler and Maud Emblem""]"	11	2	REVIEW_BASE	EXACT_NAME	John     Davidson
