ol_work_key	ol_title	ol_author_name	ol_first_publish_year	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	goodreads_contributors	review_decision	review_confidence	review_reason
/works/OL8075002W	Outlaw's Code	Frederick Schiller Faust	1932	21130899	BOOK_FULL		1980	"[""Outlaw's Code""]"	Max Brand [<EMPTY>]			
/works/OL2907852W	Will you love me in September	Eleanor Alice Burford Hibbert	1892	1317045	WORK_FULL	Will You Love Me in September?	1981	[]	Philippa Carr [<EMPTY>]			
/works/OL2339023W	The gray man	S. R. Crockett	1896	6740331	WORK_FULL	The Gray Man	2009	[]	Jay Snyder [Narrator] | Mark Greaney [<EMPTY>]			
/works/OL1526742W	The Common Law	Chambers, Robert W.	1911	816001	WORK_FULL	The Common Law	1963	"[""The Common Law""]"	Oliver Wendell Holmes Jr. [<EMPTY>] | Robert Morris [Contributor] | Sheldon M. Novick [Introduction]			
/works/OL32097705W	Sinbad, the sailor	Dalziel Brothers	1889	1311583	BOOK_FULL	lsndbd lbHry	1949	"[""Sinbad the Sailor""]"	Agustin Sanchez Aguilar [Retold by] | Alessandro Zir [Tradutor] | Andrew Brown [Illustrator] | Anonymous [<EMPTY>] | Bet Ayer [Designed by] | D.K. Swan [<EMPTY>] | Gillian Doherty [<EMPTY>] | John Yeoman [<EMPTY>] | Marcia Williams [<EMPTY>] | N.J. Dawood [Translator] | Quentin Blake [Illustrator] | Richard Francis Burton [Translator] | Salim Bachi [<EMPTY>] | Sue Rose [Translation]			
/works/OL1551142W	Felicitas	Felix Dahn	1883	42420001	BOOK_FULL		2014	"[""Felicitas""]"	Janusz A. Zajdel [<EMPTY>]			
/works/OL44241075W	The starling	Macleod, Norman	1890	42101037	BOOK_FULL		2012	"[""The Starling""]"	Kathy Lauren Miller [<EMPTY>]			
/works/OL7679395W	Men like gods	Robert Sturgis	1944	793637	WORK_FULL	Men Like Gods	1923	"[""Men Like Gods""]"	H.G. Wells [<EMPTY>] | rw'wf wSfy [mtrjm]			
/works/OL37149828W	Fission	Rand Le Page	1950	18022089	BOOK_FULL		2011	"[""Fission""]"	Tom Weston [<EMPTY>]			
/works/OL7655549W	Spunky	Burnaby Wright	1941	1546799	WORK_FULL	Spunky	1980	"[""Spunky""]"	Dori Brink [<EMPTY>]			
/works/OL7682905W	My lady	Marguerite Bouvet	1894	57790529	WORK_FULL	My Lady	2017	"[""My Lady""]"	Elya Handayani [<EMPTY>]			
/works/OL5208215W	Derelicts	McFee, William	1938	12709513	BOOK_FULL		1911	"[""Derelicts""]"	William J. Locke [<EMPTY>]			
/works/OL1940827W	No son of mine	Stern, G. B.	1948	40073786	WORK_FULL	No Son of Mine	2014	"[""No Son of Mine""]"	Leslie Georgeson [<EMPTY>]			
/works/OL7791493W	True riches	Adrian R. Apple	1931	25400007	WORK_FULL	True Riches	2006	"[""True Riches""]"	Gail Gaymer Martin [<EMPTY>]			
/works/OL22291715W	The happy island	Darwin L. Teilhet	1950	210164	WORK_FULL	The Happy Island	1998	"[""The Happy Island""]"	Dawn Powell [<EMPTY>] | Tim Page [Introduction]			
/works/OL24978071W	The pursued	W. J. Gordon	1887	18045615	WORK_FULL	The Pursued	2011	"[""The Pursued""]"	C.S. Forester [<EMPTY>]			
/works/OL36769716W	The joy of life	Emile Zola	1915	26574593	BOOK_FULL		2013	"[""The Joy of Life""]"	Mary Beth Smith [<EMPTY>]			
/works/OL137351W	The truce of God	Mary Roberts Rinehart	1920	293690	WORK_FULL	The Truce Of God	1982	"[""The Truce of God"", ""The Truce of God: Peacemaking in Troubled Times""]"	Robert Cantuar [<EMPTY>] | Rowan Williams [<EMPTY>]			
/works/OL243995W	Wheels within wheels	Alec Waugh	1933	1409750	WORK_FULL	Wheels Within Wheels	1979	"[""Wheels Within Wheels"", ""Wheels Within Wheels: Autobiography""]"	Dervla Murphy [<EMPTY>]			
/works/OL5408075W	Barry Blake of the flying fortress	Gaylord Du Bois	1943	1378815	WORK_FULL	Barry Blake of the Flying Fortress	1943	"[""Barry Blake of the Flying Fortress""]"	Gaylord DuBois [<EMPTY>] | J.R.   White [Illustrator]			
/works/OL17978981W	West of the West	Alexander Ritchie Robson	1910	6508796	BOOK_FULL	West of the West: Dreamers, Believers, Builders, and Killers in the Golden State	2009	"[""West Of The West"", ""West of the West: Dreamers, Believers, Builders, and Killers in the Golden State""]"	Mark Arax [<EMPTY>]			
/works/OL33323886W	The greatest adventure	John Taine	1929	6002828	WORK_FULL	The Greatest Adventure	1928	"[""The Greatest Adventure""]"	Eric Temple Bell [<EMPTY>]			
/works/OL15549635W	Black ivory	Polan Banks	1926	3838978	BOOK_FULL	Black Ivory: A Tale of Adventure Among the Slavers of East Africa	1873	"[""Black Ivory"", ""Black Ivory: A Tale Of Adventure Among The Slavers Of East Africa""]"	R.M. Ballantyne [<EMPTY>]			
/works/OL1294478W	Young hearts	David Malets	1950	41255752	BOOK_FULL			"[""Young Hearts""]"	Nick  Sweet [<EMPTY>]			
/works/OL37139955W	The eighth wonder	William Wallace Cook	1925	19927501	BOOK_FULL		2012	"[""The Eighth Wonder""]"	Kimberly S. Young [<EMPTY>]			
/works/OL1797245W	Transplanted	Atherton, Gertrude Franklin Horn	1919	15198740	WORK_FULL	Transplanted	2002	"[""Transplanted""]"	Sarah Myles [<EMPTY>]			
/works/OL12313613W	On wings of destiny	Victoria Lopez de Araneta	1940	1092580	WORK_FULL	On Wings of Destiny	1992	"[""On Wings of Destiny""]"	Ching Yun Bezine [<EMPTY>]			
