ol_work_key	ol_title	ol_author_name	ol_first_publish_year	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	goodreads_contributors	review_decision	review_confidence	review_reason
/works/OL8075002W	Outlaw's Code	Frederick Schiller Faust	1932	21130899	BOOK_FULL		1980	"[""Outlaw's Code""]"	Max Brand [<EMPTY>]	AMBIGUOUS	MEDIUM	The titles match, but the Open Library author is Frederick Schiller Faust while Goodreads lists Max Brand; the case provides no explicit evidence linking these names, so identity cannot be established.
/works/OL2907852W	Will you love me in September	Eleanor Alice Burford Hibbert	1892	1317045	WORK_FULL	Will You Love Me in September?	1981	[]	Philippa Carr [<EMPTY>]	AMBIGUOUS	MEDIUM	The titles match, but the Open Library author is Eleanor Alice Burford Hibbert while Goodreads lists Philippa Carr, and the case provides no evidence linking these names. The identical title alone is insufficient to establish the same work.
/works/OL2339023W	The gray man	S. R. Crockett	1896	6740331	WORK_FULL	The Gray Man	2009	[]	Jay Snyder [Narrator] | Mark Greaney [<EMPTY>]	NO_MATCH	HIGH	The Open Library record credits S. R. Crockett, while the Goodreads record credits Mark Greaney as the primary author; the case provides no evidence linking these author identities.
/works/OL1526742W	The Common Law	Chambers, Robert W.	1911	816001	WORK_FULL	The Common Law	1963	"[""The Common Law""]"	Oliver Wendell Holmes Jr. [<EMPTY>] | Robert Morris [Contributor] | Sheldon M. Novick [Introduction]	NO_MATCH	HIGH	The Open Library record attributes the work to Robert W. Chambers, while the Goodreads record lists Oliver Wendell Holmes Jr. as the primary author; the case provides no evidence linking these authors.
/works/OL32097705W	Sinbad, the sailor	Dalziel Brothers	1889	1311583	BOOK_FULL	lsndbd lbHry	1949	"[""Sinbad the Sailor""]"	Agustin Sanchez Aguilar [Retold by] | Alessandro Zir [Tradutor] | Andrew Brown [Illustrator] | Anonymous [<EMPTY>] | Bet Ayer [Designed by] | D.K. Swan [<EMPTY>] | Gillian Doherty [<EMPTY>] | John Yeoman [<EMPTY>] | Marcia Williams [<EMPTY>] | N.J. Dawood [Translator] | Quentin Blake [Illustrator] | Richard Francis Burton [Translator] | Salim Bachi [<EMPTY>] | Sue Rose [Translation]	AMBIGUOUS	LOW	The titles are similar, but the Open Library author is Dalziel Brothers and the Goodreads record lists multiple contributors without explicit evidence linking them. The supplied data does not establish identity of the conceptual work.
/works/OL1551142W	Felicitas	Felix Dahn	1883	42420001	BOOK_FULL		2014	"[""Felicitas""]"	Janusz A. Zajdel [<EMPTY>]	NO_MATCH	HIGH	The Open Library record names Felix Dahn as author, while the Goodreads record lists Janusz A. Zajdel as contributor/author. The CASE provides no evidence linking these names, so they represent different works.
/works/OL44241075W	The starling	Macleod, Norman	1890	42101037	BOOK_FULL		2012	"[""The Starling""]"	Kathy Lauren Miller [<EMPTY>]	NO_MATCH	HIGH	The Open Library record credits Norman Macleod, while the Goodreads record lists Kathy Lauren Miller; the CASE provides no evidence linking these authors, so the identically titled records are not supported as the same work.
/works/OL7679395W	Men like gods	Robert Sturgis	1944	793637	WORK_FULL	Men Like Gods	1923	"[""Men Like Gods""]"	H.G. Wells [<EMPTY>] | rw'wf wSfy [mtrjm]	NO_MATCH	HIGH	The Open Library record credits Robert Sturgis, while the Goodreads record lists H.G. Wells; the CASE provides no evidence linking these names, and the identical title alone is insufficient.
/works/OL37149828W	Fission	Rand Le Page	1950	18022089	BOOK_FULL		2011	"[""Fission""]"	Tom Weston [<EMPTY>]	NO_MATCH	HIGH	"Both records have the title ""Fission,"" but the Open Library author is Rand Le Page while the Goodreads contributor is Tom Weston. The case provides no evidence linking these names, so the records are not supported as the same work."
/works/OL7655549W	Spunky	Burnaby Wright	1941	1546799	WORK_FULL	Spunky	1980	"[""Spunky""]"	Dori Brink [<EMPTY>]	NO_MATCH	HIGH	The Open Library record credits Burnaby Wright, while the Goodreads record lists Dori Brink; the case provides no evidence linking these names, and the identical title alone is insufficient.
