ol_work_key	ol_title	ol_author_name	ol_first_publish_year	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	gr_primary_contributors	gr_pseudonym_contributors	gr_editors	gr_translators	gr_adapters_retellers	gr_other_contributors	review_decision	review_confidence	review_reason
/works/OL8075002W	Outlaw's Code	Frederick Schiller Faust	1932	21130899	BOOK_FULL		1980	"[""Outlaw's Code""]"	Max Brand								
/works/OL2907852W	Will you love me in September	Eleanor Alice Burford Hibbert	1892	1317045	WORK_FULL	Will You Love Me in September?	1981	[]	Philippa Carr								
/works/OL2339023W	The gray man	S. R. Crockett	1896	6740331	WORK_FULL	The Gray Man	2009	[]	Mark Greaney					Jay Snyder			
/works/OL1526742W	The Common Law	Chambers, Robert W.	1911	816001	WORK_FULL	The Common Law	1963	"[""The Common Law""]"	Oliver Wendell Holmes Jr.					Robert Morris | Sheldon M. Novick			
/works/OL32097705W	Sinbad, the sailor	Dalziel Brothers	1889	1311583	BOOK_FULL	lsndbd lbHry	1949	"[""Sinbad the Sailor""]"	Anonymous | D.K. Swan | Gillian Doherty | John Yeoman | Marcia Williams | Salim Bachi			N.J. Dawood | Richard Francis Burton | Sue Rose		Agustin Sanchez Aguilar | Alessandro Zir | Andrew Brown | Bet Ayer | Quentin Blake			
/works/OL1551142W	Felicitas	Felix Dahn	1883	42420001	BOOK_FULL		2014	"[""Felicitas""]"	Janusz A. Zajdel								
/works/OL44241075W	The starling	Macleod, Norman	1890	42101037	BOOK_FULL		2012	"[""The Starling""]"	Kathy Lauren Miller								
/works/OL7679395W	Men like gods	Robert Sturgis	1944	793637	WORK_FULL	Men Like Gods	1923	"[""Men Like Gods""]"	H.G. Wells					rw'wf wSfy			
/works/OL37149828W	Fission	Rand Le Page	1950	18022089	BOOK_FULL		2011	"[""Fission""]"	Tom Weston								
/works/OL7655549W	Spunky	Burnaby Wright	1941	1546799	WORK_FULL	Spunky	1980	"[""Spunky""]"	Dori Brink								
/works/OL7682905W	My lady	Marguerite Bouvet	1894	57790529	WORK_FULL	My Lady	2017	"[""My Lady""]"	Elya Handayani								
/works/OL5208215W	Derelicts	McFee, William	1938	12709513	BOOK_FULL		1911	"[""Derelicts""]"	William J. Locke								
/works/OL1940827W	No son of mine	Stern, G. B.	1948	40073786	WORK_FULL	No Son of Mine	2014	"[""No Son of Mine""]"	Leslie Georgeson								
/works/OL7791493W	True riches	Adrian R. Apple	1931	25400007	WORK_FULL	True Riches	2006	"[""True Riches""]"	Gail Gaymer Martin								
/works/OL22291715W	The happy island	Darwin L. Teilhet	1950	210164	WORK_FULL	The Happy Island	1998	"[""The Happy Island""]"	Dawn Powell					Tim Page			
/works/OL24978071W	The pursued	W. J. Gordon	1887	18045615	WORK_FULL	The Pursued	2011	"[""The Pursued""]"	C.S. Forester								
/works/OL36769716W	The joy of life	Emile Zola	1915	26574593	BOOK_FULL		2013	"[""The Joy of Life""]"	Mary Beth Smith								
/works/OL137351W	The truce of God	Mary Roberts Rinehart	1920	293690	WORK_FULL	The Truce Of God	1982	"[""The Truce of God"", ""The Truce of God: Peacemaking in Troubled Times""]"	Robert Cantuar | Rowan Williams								
/works/OL243995W	Wheels within wheels	Alec Waugh	1933	1409750	WORK_FULL	Wheels Within Wheels	1979	"[""Wheels Within Wheels"", ""Wheels Within Wheels: Autobiography""]"	Dervla Murphy								
/works/OL5408075W	Barry Blake of the flying fortress	Gaylord Du Bois	1943	1378815	WORK_FULL	Barry Blake of the Flying Fortress	1943	"[""Barry Blake of the Flying Fortress""]"	Gaylord DuBois					J.R.   White			
/works/OL17978981W	West of the West	Alexander Ritchie Robson	1910	6508796	BOOK_FULL	West of the West: Dreamers, Believers, Builders, and Killers in the Golden State	2009	"[""West Of The West"", ""West of the West: Dreamers, Believers, Builders, and Killers in the Golden State""]"	Mark Arax								
/works/OL33323886W	The greatest adventure	John Taine	1929	6002828	WORK_FULL	The Greatest Adventure	1928	"[""The Greatest Adventure""]"	Eric Temple Bell								
/works/OL15549635W	Black ivory	Polan Banks	1926	3838978	BOOK_FULL	Black Ivory: A Tale of Adventure Among the Slavers of East Africa	1873	"[""Black Ivory"", ""Black Ivory: A Tale Of Adventure Among The Slavers Of East Africa""]"	R.M. Ballantyne								
/works/OL1294478W	Young hearts	David Malets	1950	41255752	BOOK_FULL			"[""Young Hearts""]"	Nick  Sweet								
/works/OL37139955W	The eighth wonder	William Wallace Cook	1925	19927501	BOOK_FULL		2012	"[""The Eighth Wonder""]"	Kimberly S. Young								
/works/OL1797245W	Transplanted	Atherton, Gertrude Franklin Horn	1919	15198740	WORK_FULL	Transplanted	2002	"[""Transplanted""]"	Sarah Myles								
/works/OL12313613W	On wings of destiny	Victoria Lopez de Araneta	1940	1092580	WORK_FULL	On Wings of Destiny	1992	"[""On Wings of Destiny""]"	Ching Yun Bezine								
/works/OL121228W	Autobiography of Benjamin Franklin	Thornton W. Burgess	1916	598905	BOOK_FULL	an introduction and notes	1791	"[""AUTOBIOGRAPHY OF BENJAMIN FRANKLIN"", ""Autobiography Of Benjamin Franklin"", ""Autobiography of Benjamin Franklin"", ""Autobiography of Benjamin Franklin.""]"	Benjamin Franklin | John Bigelow | Mark Skousen		Charles William Eliot | Frank Woodworth Pine | Helen C. Boatfield | Helene H. Fineman | Jared Sparks | Leonard W. Labaree | Mark Skousen | Peter Conn | Ralph L. Ketcham | W. MacDonald	Taller del Exito		Andrew Trees | Carl Van Doren | E. Boyd Smith | Edmund S. Morgan | Gary Gilberd | Grover Gardner | Lewis Leary | Michael      Edwards | Walter Costello			
/works/OL15854250W	The four friends	Eleanor Hoffmann	1946	6823233	BOOK_FULL	The Four Friends (Beginning to Read Book)	1958	"[""The Four Friends""]"	Carol Hoff								
/works/OL3863979W	Noughts and crosses	Quiller-Couch, Arthur Thomas	1891	43762322	BOOK_FULL			"[""Noughts and Crosses""]"	Malorie Blackman				Dominic Cooke				
/works/OL22126243W	Rising wind	Moore, Virginia.	1928	1776616	WORK_FULL	Rising Wind	2007	[]	Cindy Holby								
/works/OL6316094W	Crumbling walls	Joan Conquest	1929	23747879	BOOK_FULL		2013	"[""Crumbling Walls""]"	Laura Strandt								
/works/OL8306199W	The leopard's spots	Dixon, Thomas	1902	13710292	BOOK_FULL		1979	"[""The Leopard's Spots"", ""The Leopard's Spots: A Romance of the White Man's Burden--1865-1900""]"	Thomas Dixon Jr.								
/works/OL2459822W	Bohemia in London	John Arthur Ransome Marriott	1907	1795370	BOOK_FULL	Bohemia in London (Oxford Paperbacks)	1907	"[""Bohemia In London""]"	Arthur Ransome								
