ol_work_key	ol_title	ol_author_name	ol_first_publish_year	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	gr_primary_contributors	gr_pseudonym_contributors	gr_editors	gr_translators	gr_adapters_retellers	gr_other_contributors	review_decision	review_confidence	review_reason
/works/OL8075002W	Outlaw's Code	Frederick Schiller Faust	1932	21130899	BOOK_FULL		1980	"[""Outlaw's Code""]"	Max Brand						AMBIGUOUS	LOW	The titles match, but the Open Library author is Frederick Schiller Faust while Goodreads lists Max Brand, with no supplied evidence linking these names or establishing that they represent different works.
/works/OL2907852W	Will you love me in September	Eleanor Alice Burford Hibbert	1892	1317045	WORK_FULL	Will You Love Me in September?	1981	[]	Philippa Carr						AMBIGUOUS	LOW	The titles closely match, but the Open Library author is Eleanor Alice Burford Hibbert while Goodreads lists Philippa Carr, with no supplied identity or pseudonym link between them. The differing publication years do not resolve the identity.
/works/OL2339023W	The gray man	S. R. Crockett	1896	6740331	WORK_FULL	The Gray Man	2009	[]	Mark Greaney					Jay Snyder	NO_MATCH	HIGH	The Open Library record attributes the work to S. R. Crockett and dates it to 1896, while Goodreads attributes it to Mark Greaney and gives an original publication year of 2009. The supplied evidence supports distinct works sharing the title.
/works/OL1526742W	The Common Law	Chambers, Robert W.	1911	816001	WORK_FULL	The Common Law	1963	"[""The Common Law""]"	Oliver Wendell Holmes Jr.					Robert Morris | Sheldon M. Novick	AMBIGUOUS	MEDIUM	The titles match, but the Open Library record attributes the work to Robert W. Chambers while Goodreads lists Oliver Wendell Holmes Jr. as a primary contributor. No supplied evidence links these identities or establishes that the records are definitively different works.
/works/OL32097705W	Sinbad, the sailor	Dalziel Brothers	1889	1311583	BOOK_FULL	lsndbd lbHry	1949	"[""Sinbad the Sailor""]"	Anonymous | D.K. Swan | Gillian Doherty | John Yeoman | Marcia Williams | Salim Bachi			N.J. Dawood | Richard Francis Burton | Sue Rose		Agustin Sanchez Aguilar | Alessandro Zir | Andrew Brown | Bet Ayer | Quentin Blake	AMBIGUOUS	LOW	The titles are similar, but the Open Library record attributes the work to Dalziel Brothers while Goodreads lists multiple different primary contributors and provides no explicit identity link. The evidence does not reliably establish whether this is the same conceptual work or a distinct retelling or realization.
/works/OL1551142W	Felicitas	Felix Dahn	1883	42420001	BOOK_FULL		2014	"[""Felicitas""]"	Janusz A. Zajdel						AMBIGUOUS	MEDIUM	The titles match, but the Open Library author is Felix Dahn while the Goodreads primary contributor is Janusz A. Zajdel, with no supplied identity or pseudonym link. The evidence is insufficient to establish either that they are the same work or definitively different works.
/works/OL44241075W	The starling	Macleod, Norman	1890	42101037	BOOK_FULL		2012	"[""The Starling""]"	Kathy Lauren Miller						NO_MATCH	MEDIUM	The records have the same title but identify different contributors—Norman Macleod versus Kathy Lauren Miller—and substantially different publication years (1890 versus 2012), with no supplied evidence linking the authors or works.
/works/OL7679395W	Men like gods	Robert Sturgis	1944	793637	WORK_FULL	Men Like Gods	1923	"[""Men Like Gods""]"	H.G. Wells					rw'wf wSfy	AMBIGUOUS	MEDIUM	The titles match, but the records name different authors—Robert Sturgis and H.G. Wells—with no supplied identity or pseudonym link. The differing publication years do not establish whether they are the same work or different works.
/works/OL37149828W	Fission	Rand Le Page	1950	18022089	BOOK_FULL		2011	"[""Fission""]"	Tom Weston						AMBIGUOUS	LOW	The titles match, but the supplied author names differ: Open Library lists Rand Le Page, while Goodreads lists Tom Weston. No explicit identity or pseudonym link is provided, and matching titles alone are insufficient to establish the same work.
/works/OL7655549W	Spunky	Burnaby Wright	1941	1546799	WORK_FULL	Spunky	1980	"[""Spunky""]"	Dori Brink						AMBIGUOUS	MEDIUM	"Both records have the title ""Spunky,"" but the supplied author names differ—Burnaby Wright versus Dori Brink—with no explicit identity or pseudonym link. The differing publication years provide supporting discrepancy but do not establish different conceptual works."
