ol_work_key	ol_title	ol_author_name	goodreads_work_id	gr_primary_contributors	ol_author_key	ol_author_source_keys	redirect_applied	identity_status	matched_gr_name	matched_ol_name_raw	ol_evidence_type
/works/OL1002110W	The Besieged City	Lispector, Clarice.	581819	Qian Zhong Shu | Qian Zhongshu	/authors/OL93118A	/authors/OL93118A	0	UNRESOLVED			
/works/OL101509W	Dolly Madison	Mary Elizabeth Springer	1636683	Maud Wilder Goodwin	/authors/OL1209296A	/authors/OL1209296A	0	UNRESOLVED			
/works/OL10310635W	Guilty men	Cato.	17913433	Frances Weaver | Peter Oborne	/authors/OL4267537A	/authors/OL4267537A	0	UNRESOLVED			
/works/OL103386W	In the sixties	Harold Frederic	2354384	Barry  Miles	/authors/OL24181A	/authors/OL24181A	0	UNRESOLVED			
/works/OL10365583W	The land of gold	George G. Spurr	216480	Gillian Bradshaw	/authors/OL4291228A	/authors/OL4291228A	0	UNRESOLVED			
/works/OL10421473W	The Shadow Market	Netta Muskett	11955566	Eric J. Weiner	/authors/OL4325736A	/authors/OL4325736A	0	UNRESOLVED			
/works/OL10421479W	Candle in the Sun	Netta Muskett	10652215	Elisabeth Hamilton Friermood	/authors/OL4325736A	/authors/OL4325736A	0	UNRESOLVED			
/works/OL10421493W	Tamarisk	Netta Muskett	1531275	Claire Lorrimer	/authors/OL4325736A	/authors/OL4325736A	0	UNRESOLVED			
/works/OL10421500W	Living with Adam	Netta Muskett	1737062	Anne Mather	/authors/OL4325736A	/authors/OL4325736A	0	UNRESOLVED			
/works/OL10424304W	Among the Turks	Verney Lovett Cameron	1156623	Cyrus Hamlin	/authors/OL1181669A	/authors/OL1181669A	0	UNRESOLVED			
/works/OL10497432W	The Claverton Mystery	Cecil John Charles Street	4522990	John Rhode	/authors/OL6001513A	/authors/OL6001513A	0	OL_ALIAS_MATCH	John Rhode	John RHODE | John Rhode | john rhode	OL_ALTERNATE_NAME
/works/OL10510063W	The travel tales of Mr. Joseph Jorkens	Edward Plunkett	18963020	Lord Dunsany	/authors/OL39937A	/authors/OL39937A	0	DIRECT_NAME_MATCH	Lord Dunsany	Lord Dunsany	OL_NAME_OR_PERSONAL_NAME
/works/OL10536361W	Cat-in-the-manger	Phyllis Eleanor Bentley	1327309	Michael Foreman	/authors/OL1803283A	/authors/OL1803283A	0	UNRESOLVED			
/works/OL10563336W	The Secret of High Eldersham	Cecil John Charles Street	7862860	Miles Burton	/authors/OL6001513A	/authors/OL6001513A	0	OL_ALIAS_MATCH	Miles Burton	Miles Burton | miles burton	OL_ALTERNATE_NAME
/works/OL10591257W	Death at Swaythling Court	Alfred W Stewart	23748924	J.J. Connington	/authors/OL5634689A	/authors/OL5634689A	0	OL_ALIAS_MATCH	J.J. Connington	J J Connington | J J. Connington | J. J Connington | J. J. CONNINGTON | J. J. Connington | J.J Connington | J.J. Connington	OL_ALTERNATE_NAME
/works/OL10591258W	The Eye in the Museum	Alfred W Stewart	23542398	J.J. Connington	/authors/OL5634689A	/authors/OL5634689A	0	OL_ALIAS_MATCH	J.J. Connington	J J Connington | J J. Connington | J. J Connington | J. J. CONNINGTON | J. J. Connington | J.J Connington | J.J. Connington	OL_ALTERNATE_NAME
