ol_work_key	ol_title	ol_author_name	goodreads_work_id	gr_primary_contributors	ol_author_key	identity_status	matched_gr_name	matched_ol_name_raw	ol_evidence_type
/works/OL240030W	La bodega	Vicente Blasco Ibáñez	2408088	Noah Gordon	/authors/OL7123339A	UNRESOLVED			
/works/OL18538699W	Le morte Arthur	J. Douglas Bruce	56016273	E. Brock | P.F. Hissiger | Simon Armitage | Unknown	/authors/OL2430088A	UNRESOLVED			
/works/OL848885W	Le journal d'une femme de chambre	Luis Buñuel	1359084	Douglas Jarman | John Baxter | Maria Zenowicz | Noel Arnaud | Octave Mirbeau | Richard Ings	/authors/OL73351A	UNRESOLVED			
/works/OL637777W	Los Pazos de Ulloa	Pardo Bazán, Emilia	67611	Emilia Pardo Baxan | Emilia Pardo Bazan | Lucia Graves | Marina Mayoral | Pardo Bazan | Paul O'Prey	/authors/OL49026A	DIRECT_NAME_MATCH	Emilia Pardo Bazan	Emilia Pardo Bazán	OL_NAME_OR_PERSONAL_NAME
/works/OL15725177W	Le roman	François Mauriac	45037212	Bernard Valette | smy@ ljrH	/authors/OL4280625A	UNRESOLVED			
/works/OL905626W	الروض العاطر في نزهة الخاطر	ʻUmar ibn Muḥammad Nafzāwī	1447401	Mohamed Lasly | Mohammed El Nefzaoui | Philip Dunn | Richard Francis Burton | Umar Ibn Muhammed Al-Nefzawi | Xeque Nefzaui | jml jm`@ | lnfzwy	/authors/OL79624A	OL_ALIAS_MATCH	Mohammed El Nefzaoui	Mohammed El Nefzaoui	OL_ALTERNATE_NAME
/works/OL637721W	La Tribuna	Pardo Bazán, Emilia	154655	Benito Varela Jacome | Emilia Pardo Bazan	/authors/OL49026A	DIRECT_NAME_MATCH	Emilia Pardo Bazan	Emilia Pardo Bazán	OL_NAME_OR_PERSONAL_NAME
/works/OL1546079W	La corde au cou	Emile Gaboriau	1593753	Achde | Laurent Gerra	/authors/OL164418A	UNRESOLVED			
/works/OL165645W	Крылья	Mikhail Alekseevich Kuzmin	46887647	Kristina Stark	/authors/OL4614048A	UNRESOLVED			
/works/OL44192544W	Münchhausen	Karl Rössing	44570539	Manfred Mai	/authors/OL6558289A	UNRESOLVED			
/works/OL637767W	Insolación	Pardo Bazán, Emilia	154661	Emilia Pardo Bazan	/authors/OL49026A	DIRECT_NAME_MATCH	Emilia Pardo Bazan	Emilia Pardo Bazán	OL_NAME_OR_PERSONAL_NAME
/works/OL41290W	La Regenta	Alas, Leopoldo	67266	John Rutherford | Josep Lluis Sirera | Juan Llimona | Juan Oleza | Leopoldo Alas ''Clarin'' | Leopoldo Alas <<Clarin>> | Manuel Diago | Mariano Baquero Goyanes	/authors/OL28169A	OL_ALIAS_MATCH	Leopoldo Alas ''Clarin''	"Leopoldo Alas ""Clarín"" | Leopoldo Alas Clarín | Leopoldo Alas - Clarin | Leopoldo Alas Clarin | Leopoldo alas clarin | Leopoldo Alas «Clarín» | Leopoldo Alas ""ClarIn"" | Leopoldo Alas -Clarín- | Leopoldo Alas Clarìn | Leopoldo Alas ""Clarin"" | Leopoldo Alas «CLARIN» | Leopoldo Alas «Clarin» | Leopoldo Alas ""clarin"""	OL_ALTERNATE_NAME
/works/OL42483038W	Olympe de Clèves	Dumas, Alexandre	6433024	lkhsndr dwm | nSr yrndwst	/authors/OL18236A	UNRESOLVED			
/works/OL1599689W	الحب تحت المطر	Maḥfūẓ, Najīb	6253651	Naguib Mahfouz | njyb mHfwZ	/authors/OL173760A	OL_ALIAS_MATCH	Naguib Mahfouz	Naguib Mahfouz | NAGUIB MAHFOUZ | naguib mahfouz	OL_ALTERNATE_NAME
/works/OL22965068W	Le Roman de Renard	Jeanroy, Alfred	14116379	Maurice Genevoix	/authors/OL148558A	UNRESOLVED			
/works/OL25520W	Fyrtøjet	Hans Christian Andersen	25440424	David Roberts | Giordano Aterini | Sally Gardner	/authors/OL25931A	UNRESOLVED			
/works/OL9120843W	Моя жизнь	Chekhov, Anton Pavlovich	43712234	Zinayida Tulub	/authors/OL19677A	UNRESOLVED			
/works/OL1198313W	Le silence de la mer	Jean Bruller	374911	Adele Vaudagna Marchisio | Frans de Haan | Gabriella Bosco | Ginetta Varisco | Hsn shhyd nwry'y | Natalia Ginzburg | Vercors | bkr lHlw | fyrkwr | jrj pTrsy	/authors/OL120957A	DIRECT_NAME_MATCH	Vercors	Vercors	OL_NAME_OR_PERSONAL_NAME
/works/OL1599685W	القاهرة الجديدة	Maḥfūẓ, Najīb	4640892	Badr Hassanein | Hulya Aslanova | Marcelino Villegas Gonzalez | Naguib Mahfouz | njyb mHfwZ	/authors/OL173760A	OL_ALIAS_MATCH	Naguib Mahfouz	Naguib Mahfouz | NAGUIB MAHFOUZ | naguib mahfouz	OL_ALTERNATE_NAME
/works/OL39456847W	Olympe de Clèves	Dumas, Alexandre	6433024	lkhsndr dwm | nSr yrndwst	/authors/OL18236A	UNRESOLVED			
/works/OL827243W	L' Êve future	Villiers de L'Isle-Adam, Auguste	2641863	Isabel Soto | Nadine Satiat | Robert M. Adams | Villiers de L'Isle-Adam | Xavier Senin	/authors/OL70343A	OL_ALIAS_MATCH	Villiers de L'Isle-Adam	Villiers de l'Isle-Adam | Villiers De L'Isle-Adam | Villiers de L'Isle-Adam | Villiers de l'Isle Adam | Villiers De L'Isle Adam | Villiers de L'Isle-adam | Villiers de L'isle Adam | Villiers de L'Isle Adam	OL_ALTERNATE_NAME
/works/OL1118216W	Под игото	Иван Минчов Вазов	882310	Edmund Gosse | Ivan Vazov | Marguerite Alexieva | Theodora Atanassova | mHmd qDy	/authors/OL6809750A	GIVEN_NAME_COMPATIBLE	Ivan Vazov	Ivan Minchov Vazov	OL_ALTERNATE_NAME
/works/OL238799W	Dziennik Franciszki Krasińskiej	Klementyna Hoffmanowa-Tańska	19148958	Klementyna Tanska Hoffmanowa	/authors/OL1842387A	OL_ALIAS_MATCH	Klementyna Tanska Hoffmanowa	Klementyna Tańska-Hoffmanowa | Klementyna Tanska-Hoffmanowa	OL_ALTERNATE_NAME
/works/OL7631555W	The young Brontës	Mary Louise Jarden	21957930	Phyllis Eleanor Bentley	/authors/OL2340640A	UNRESOLVED			
/works/OL248265W	Madame Sans-Gêne	Edmond Lepelletier	2923711	A. Curtis Bond | Emilio Moreau | VIttoriano Sardou | Victorien Sardou	/authors/OL164748A	UNRESOLVED			
/works/OL22139353W	La mort le roi Artu	Jean Frappier	89932	Brian Stone | James Cable | Simon Armitage | Unknown	/authors/OL140697A	UNRESOLVED			
/works/OL1430009W	Weisse Nächte	Ricarda Octavia Huch	4111509	Andre Gide | Andre Markowicz | Anna Ozola-Sakse | Basiles Ntinopoulos | Bengt Samuelson | Carlos Loures | Caterina Valoti | Cerna Rubin | Constance Garnett | Damian Todorov | Doan Tu Huyen | Elena Corsino | Erica Klein | Erri De Luca | Eva Amendola Kuhn | Filipe Guerra | Fyodor Dostoyevsky | Giovanna Spendel | Giovanni Faccioli | Giulia Gigante | Joseph Frank | Luisa De Nardis | Maddalena Giovannelli | Marta Sanchez | Marta Sanchez-Nieves | Mehmet Ozgul | Natalia Nunes | Nicolai Troshinski | Nieves Fernandez | Nihal Yalaza Taluy | Nikolai Troshinsky | Nina Guerra | Nivaldo dos Santos | Sabri Gurses | drys lmlyny | fywdwr dwstwyfsky | hnyh chwpny | mnSwr Hkhym jwdy | mrtDy mqdm | smy ldrwby | srwsh Hbyby	/authors/OL148996A	UNRESOLVED			
/works/OL26693W	Cligès	Chrétien	1148600	Burton Raffel | Chretien de Troyes | Joseph J. Duggan | Ruth Harwood Cline	/authors/OL26183A	DIRECT_NAME_MATCH	Chretien de Troyes	Chrétien de Troyes	OL_NAME_OR_PERSONAL_NAME
