work_key	title	author_name	first_publish_year	scope_flag	goodreads_strongest_title_evidence	ol_work_key	goodreads_work_id	title_match_type	gr_original_title	gr_original_publication_year	matched_book_titles	goodreads_contributors
/works/OL240030W	La bodega	Vicente Blasco Ibáñez	1905	out_lang	BOOK_FULL	/works/OL240030W	2408088	BOOK_FULL	The Winemaker	2001	"[""La Bodega"", ""La bodega""]"	Noah Gordon [<EMPTY>]
/works/OL18538699W	Le morte Arthur	J. Douglas Bruce	1903	out_lang	BOOK_FULL	/works/OL18538699W	56016273	BOOK_FULL		1400	"[""Le Morte Arthur""]"	E. Brock [<EMPTY>] | P.F. Hissiger [<EMPTY>] | Simon Armitage [<EMPTY>] | Unknown [<EMPTY>]
/works/OL848885W	Le journal d'une femme de chambre	Luis Buñuel	1900	out_lang	WORK_FULL	/works/OL848885W	1359084	WORK_FULL	Le journal d'une femme de chambre	1900	"[""Le Journal D'Une Femme de Chambre"", ""Le Journal d'une femme de chambre"", ""Le journal d'une femme de chambre""]"	Douglas Jarman [<EMPTY>] | John Baxter [<EMPTY>] | Maria Zenowicz [<EMPTY>] | Noel Arnaud [<EMPTY>] | Octave Mirbeau [<EMPTY>] | Richard Ings [<EMPTY>]
/works/OL637777W	Los Pazos de Ulloa	Pardo Bazán, Emilia	1886	out_lang	WORK_FULL	/works/OL637777W	67611	WORK_FULL	Los pazos de Ulloa	1886	"[""Los Pazos De Ulloa"", ""Los Pazos de Ulloa"", ""Los pazos de Ulloa""]"	Emilia Pardo Baxan [<EMPTY>] | Emilia Pardo Bazan [<EMPTY>] | Lucia Graves [<EMPTY>] | Marina Mayoral [<EMPTY>] | Pardo Bazan [<EMPTY>] | Paul O'Prey [<EMPTY>]
/works/OL15725177W	Le roman	François Mauriac	1928	out_lang	BOOK_FULL	/works/OL15725177W	45037212	BOOK_FULL	roman: initiation aux methodes et aux techniques modernes d'analyse litteraire, le	1992	"[""Le roman""]"	Bernard Valette [<EMPTY>] | smy@ ljrH [<EMPTY>]
/works/OL905626W	الروض العاطر في نزهة الخاطر	ʻUmar ibn Muḥammad Nafzāwī	1886	out_lang	BOOK_FULL	/works/OL905626W	1447401	BOOK_FULL	lrwD l`Tr fy nzh@ lkhTr	1499	"[""الروض العاطر في نزهة الخاطر""]"	Mohamed Lasly [<EMPTY>] | Mohammed El Nefzaoui [<EMPTY>] | Philip Dunn [<EMPTY>] | Richard Francis Burton [<EMPTY>] | Umar Ibn Muhammed Al-Nefzawi [<EMPTY>] | Xeque Nefzaui [<EMPTY>] | jml jm`@ [<EMPTY>] | lnfzwy [<EMPTY>]
/works/OL637721W	La Tribuna	Pardo Bazán, Emilia	1892	out_lang	WORK_FULL	/works/OL637721W	154655	WORK_FULL	La tribuna	1883	"[""La tribuna""]"	Benito Varela Jacome [<EMPTY>] | Emilia Pardo Bazan [<EMPTY>]
/works/OL1546079W	La corde au cou	Emile Gaboriau	1883	out_lang	WORK_FULL	/works/OL1546079W	1593753	WORK_FULL	La Corde au Cou	2006	[]	Achde [<EMPTY>] | Laurent Gerra [<EMPTY>]
/works/OL165645W	Крылья	Mikhail Alekseevich Kuzmin	1906	out_lang	BOOK_FULL	/works/OL165645W	46887647	BOOK_FULL		2015	"[""Крылья""]"	Kristina Stark [<EMPTY>]
/works/OL44192544W	Münchhausen	Karl Rössing	1920	out_lang	BOOK_FULL	/works/OL44192544W	44570539	BOOK_FULL		2009	"[""Münchhausen""]"	Manfred Mai [<EMPTY>]
/works/OL637767W	Insolación	Pardo Bazán, Emilia	1889	out_lang	WORK_FULL	/works/OL637767W	154661	WORK_FULL	Insolacion	1889	"[""Insolación""]"	Emilia Pardo Bazan [<EMPTY>]
/works/OL41290W	La Regenta	Alas, Leopoldo	1884	out_lang	BOOK_FULL	/works/OL41290W	67266	BOOK_FULL	La Regenta, II	1885	"[""La Regenta""]"	John Rutherford [<EMPTY>] | Josep Lluis Sirera [<EMPTY>] | Juan Llimona [<EMPTY>] | Juan Oleza [<EMPTY>] | Leopoldo Alas ''Clarin'' [<EMPTY>] | Leopoldo Alas <<Clarin>> [<EMPTY>] | Manuel Diago [<EMPTY>] | Mariano Baquero Goyanes [<EMPTY>]
/works/OL42483038W	Olympe de Clèves	Dumas, Alexandre	1893	out_lang	WORK_FULL	/works/OL42483038W	6433024	WORK_FULL	Olympe de Cleves	1852	[]	lkhsndr dwm [<EMPTY>] | nSr yrndwst [<EMPTY>]
/works/OL1599689W	الحب تحت المطر	Maḥfūẓ, Najīb	1902	out_lang	BOOK_FULL	/works/OL1599689W	6253651	BOOK_FULL	lHb tHt lmTr	1973	"[""الحب تحت المطر""]"	Naguib Mahfouz [<EMPTY>] | njyb mHfwZ [<EMPTY>]
/works/OL22965068W	Le Roman de Renard	Jeanroy, Alfred	1926	out_lang	WORK_FULL	/works/OL22965068W	14116379	WORK_FULL	Le roman de Renard	1958	"[""Le roman de Renard""]"	Maurice Genevoix [<EMPTY>]
/works/OL25520W	Fyrtøjet	Hans Christian Andersen	1928	out_lang	BOOK_FULL	/works/OL25520W	25440424	BOOK_FULL	Tinder	2013	"[""Fyrtøjet""]"	David Roberts [<EMPTY>] | Giordano Aterini [<EMPTY>] | Sally Gardner [<EMPTY>]
/works/OL9120843W	Моя жизнь	Chekhov, Anton Pavlovich	1920	out_lang	BOOK_FULL	/works/OL9120843W	43712234	BOOK_FULL		2012	"[""Моя жизнь""]"	Zinayida Tulub [<EMPTY>]
/works/OL1198313W	Le silence de la mer	Jean Bruller	1941	out_lang	WORK_FULL	/works/OL1198313W	374911	WORK_FULL	Le Silence de la mer	1941	"[""Le Silence de la mer""]"	Adele Vaudagna Marchisio [<EMPTY>] | Frans de Haan [<EMPTY>] | Gabriella Bosco [<EMPTY>] | Ginetta Varisco [<EMPTY>] | Hsn shhyd nwry'y [<EMPTY>] | Natalia Ginzburg [<EMPTY>] | Vercors [<EMPTY>] | bkr lHlw [<EMPTY>] | fyrkwr [<EMPTY>] | jrj pTrsy [<EMPTY>]
/works/OL1599685W	القاهرة الجديدة	Maḥfūẓ, Najīb	1946	out_lang	BOOK_FULL	/works/OL1599685W	4640892	BOOK_FULL	lqhr@ ljdyd@	1945	"[""القاهرة الجديدة""]"	Badr Hassanein [<EMPTY>] | Hulya Aslanova [<EMPTY>] | Marcelino Villegas Gonzalez [<EMPTY>] | Naguib Mahfouz [<EMPTY>] | njyb mHfwZ [<EMPTY>]
/works/OL39456847W	Olympe de Clèves	Dumas, Alexandre	1899	out_lang	WORK_FULL	/works/OL39456847W	6433024	WORK_FULL	Olympe de Cleves	1852	[]	lkhsndr dwm [<EMPTY>] | nSr yrndwst [<EMPTY>]
/works/OL827243W	L' Êve future	Villiers de L'Isle-Adam, Auguste	1909	out_lang	WORK_FULL	/works/OL827243W	2641863	WORK_FULL	L'Eve future	1886	"[""L'Ève Future""]"	Isabel Soto [<EMPTY>] | Nadine Satiat [<EMPTY>] | Robert M. Adams [<EMPTY>] | Villiers de L'Isle-Adam [<EMPTY>] | Xavier Senin [<EMPTY>]
/works/OL1118216W	Под игото	Иван Минчов Вазов	1912	out_lang	BOOK_FULL	/works/OL1118216W	882310	BOOK_FULL	Pod igoto	1893	"[""Под игото""]"	Edmund Gosse [<EMPTY>] | Ivan Vazov [<EMPTY>] | Marguerite Alexieva [<EMPTY>] | Theodora Atanassova [<EMPTY>] | mHmd qDy [<EMPTY>]
/works/OL238799W	Dziennik Franciszki Krasińskiej	Klementyna Hoffmanowa-Tańska	1895	out_lang	BOOK_FULL	/works/OL238799W	19148958	BOOK_FULL	Dziennik Franciszki Krasinskiej w ostatnich latach panowania Augusta III pisany	1825	"[""Dziennik Franciszki Krasińskiej""]"	Klementyna Tanska Hoffmanowa [<EMPTY>]
/works/OL7631555W	The young Brontës	Mary Louise Jarden	1938	out_lang	BOOK_FULL	/works/OL7631555W	21957930	BOOK_FULL			"[""The Young Brontes""]"	Phyllis Eleanor Bentley [<EMPTY>]
/works/OL248265W	Madame Sans-Gêne	Edmond Lepelletier	1894	out_lang	BOOK_FULL	/works/OL248265W	2923711	BOOK_FULL	Madame Sans Gene: Historical Romance of the Revolution, The Consulate and The Empire	2005	"[""Madame Sans Gene: Historical Romance of the Revolution, the Consulate and the Empire"", ""Madame Sans-Gêne""]"	A. Curtis Bond [<EMPTY>] | Emilio Moreau [<EMPTY>] | VIttoriano Sardou [<EMPTY>] | Victorien Sardou [<EMPTY>]
/works/OL22139353W	La mort le roi Artu	Jean Frappier	1936	out_lang	WORK_FULL	/works/OL22139353W	89932	WORK_FULL	La Mort le Roi Artu	1237	[]	Brian Stone [<EMPTY>] | James Cable [<EMPTY>] | Simon Armitage [<EMPTY>] | Unknown [<EMPTY>]
/works/OL1430009W	Weisse Nächte	Ricarda Octavia Huch	1943	out_lang	BOOK_FULL	/works/OL1430009W	4111509	BOOK_FULL	Belye nochi	1848	"[""Weiße Nächte""]"	Andre Gide [<EMPTY>] | Andre Markowicz [<EMPTY>] | Anna Ozola-Sakse [<EMPTY>] | Basiles Ntinopoulos [<EMPTY>] | Bengt Samuelson [<EMPTY>] | Carlos Loures [<EMPTY>] | Caterina Valoti [<EMPTY>] | Cerna Rubin [<EMPTY>] | Constance Garnett [<EMPTY>] | Damian Todorov [<EMPTY>] | Doan Tu Huyen [<EMPTY>] | Elena Corsino [<EMPTY>] | Erica Klein [<EMPTY>] | Erri De Luca [<EMPTY>] | Eva Amendola Kuhn [<EMPTY>] | Filipe Guerra [<EMPTY>] | Fyodor Dostoyevsky [<EMPTY>] | Giovanna Spendel [<EMPTY>] | Giovanni Faccioli [<EMPTY>] | Giulia Gigante [<EMPTY>] | Joseph Frank [<EMPTY>] | Luisa De Nardis [<EMPTY>] | Maddalena Giovannelli [<EMPTY>] | Marta Sanchez [<EMPTY>] | Marta Sanchez-Nieves [<EMPTY>] | Mehmet Ozgul [<EMPTY>] | Natalia Nunes [<EMPTY>] | Nicolai Troshinski [<EMPTY>] | Nieves Fernandez [<EMPTY>] | Nihal Yalaza Taluy [<EMPTY>] | Nikolai Troshinsky [<EMPTY>] | Nina Guerra [<EMPTY>] | Nivaldo dos Santos [<EMPTY>] | Sabri Gurses [<EMPTY>] | drys lmlyny [<EMPTY>] | fywdwr dwstwyfsky [<EMPTY>] | hnyh chwpny [<EMPTY>] | mnSwr Hkhym jwdy [<EMPTY>] | mrtDy mqdm [<EMPTY>] | smy ldrwby [<EMPTY>] | srwsh Hbyby [<EMPTY>]
/works/OL26693W	Cligès	Chrétien	1888	out_lang	WORK_FULL	/works/OL26693W	1148600	WORK_FULL	Cliges	1176	"[""Cligès""]"	Burton Raffel [<EMPTY>] | Chretien de Troyes [<EMPTY>] | Joseph J. Duggan [<EMPTY>] | Ruth Harwood Cline [<EMPTY>]
