ol_work_key	ol_title	ol_author_name	ol_first_publish_year	canonical	goodreads_work_id	gr_original_title	gr_original_publication_year	title_match_type	title_match_types	matched_book_ids	matched_book_titles	ratings_count	text_reviews_count	match_status	author_match_quality	matched_goodreads_author
/works/OL10215W	Мы	Evgeniĭ Ivanovich Zami͡atin	1924	0	2144026	My	1924	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""1321877"", ""10208429"", ""17840038"", ""20453952"", ""21454420"", ""23952966"", ""25230722"", ""28514261""]"	"[""Мы""]"	49349	3007	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Eugeniusz Zamiatin
/works/OL10233W	The Artamonov business	Maksim Gorky	1925	0	1298162	Delo Artamonovykh	1924	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""1308899""]"	"[""The Artamonov Business""]"	197	15	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Maxim Gorky
/works/OL10336879W	春琴抄	Junʾichirō Tanizaki	1933	0	10718206	Chun Qin Chao  - Lu Yi  - Shunkinsho - Ashikari	1932	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""28517209""]"	"[""春琴抄""]"	226	31	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Jun'ichiro Tanizaki
/works/OL10359683W	Faraon	Bolesław Prus	1901	0	1906620	Faraon	1895	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""1904852"", ""9621112"", ""20706077""]"	"[""Faraon""]"	1823	35	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Boleslaw Prus
/works/OL10416779W	The Captain's daughter and other stories	Aleksandr Sergeevich Pushkin	1933	0	25484696	Kapitanskaia dochka, Pikovaia dama, Dubrovskii, Arap Petra Velikogo, Stantsionnyi smotritel', Metel'	1834	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""498662"", ""11499522""]"	"[""The Captain's Daughter and Other Stories""]"	1852	55	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Alexander Pushkin
/works/OL10417543W	Tales of Italy	Maksim Gorky	1950	0	3377792	Skazki ob Italii	1911	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""18622631""]"	"[""Tales of Italy""]"	117	11	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Maxim Gorky
/works/OL10489535W	The shadow of Ashlydyat	Wood, Henry	1898	0	65466	The Shadow of Ashlydyat	1863	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""299990""]"	"[""The Shadow of Ashlydyat""]"	15	2	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Mrs. Henry Wood
/works/OL10560698W	Twenty-six men and a girl	Maksim Gorky	1902	0	44841110		2009	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""25142096""]"	"[""Twenty-Six Men and a Girl""]"	52	8	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Maxim Gorky
/works/OL10565360W	Entretiens sur la pluralite des mondes	Fontenelle	1929	0	782640		1686	BOOK_FULL	BOOK_FULL|BOOK_BASE	"[""6073717""]"	"[""Entretiens sur la pluralité des mondes""]"	148	16	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Bernard Le Bouyer de Fontenelle
/works/OL1064385W	Danesbury house	Wood, Henry	1893	0	7317253	Danesbury House	1893	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""7064795""]"	"[""Danesbury House""]"	18	4	REVIEW_SURNAME_ONLY	SURNAME_ONLY	Mrs. Henry Wood
/works/OL1065952W	Cashel Byron's Profession	Bernard Shaw	1886	0	2986497	Cashel Byron's Profession	1886	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""2567658""]"	"[""Cashel Byron's Profession""]"	86	9	REVIEW_SURNAME_ONLY	SURNAME_ONLY	George Bernard Shaw
/works/OL1066071W	The Irrational Knot	Bernard Shaw	1905	0	2986488	The Irrational Knot	1880	WORK_FULL	WORK_FULL|WORK_BASE	[]	[]	20	5	REVIEW_SURNAME_ONLY	SURNAME_ONLY	George Bernard Shaw
/works/OL1066086W	Mrs. Warren's Profession	Bernard Shaw	1905	0	1345212	Mrs. Warren's Profession	1898	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""795387"", ""830079"", ""1355497"", ""1446778"", ""2685745"", ""10600239"", ""18337459""]"	"[""Mrs Warren's Profession"", ""Mrs. Warren's Profession""]"	3983	173	REVIEW_SURNAME_ONLY	SURNAME_ONLY	George Bernard Shaw
/works/OL1066447W	Great Catherine	Bernard Shaw	1915	0	279346	Great Catherine	1997	WORK_FULL	WORK_FULL|BOOK_FULL|WORK_BASE|BOOK_BASE	"[""287921""]"	"[""Great Catherine""]"	48	6	REVIEW_SURNAME_ONLY	SURNAME_ONLY	George Bernard Shaw
