work_key	title	author_name	first_publish_year	canonical	work_id	ratings_count	text_reviews_count	ratings_5	ratings_4	ratings_3	ratings_2	ratings_1	rating_dist	genres	match_type	candidates
/works/OL11016717W	Lamb in his bosom	Caroline Pafford Miller	1933	0	259320	1114	104	396	321	262	78	57	5:396|4:321|3:262|2:78|1:57|total:1114	fiction|history, historical fiction, biography	UNIQUE	
/works/OL11020633W	The story-tellers art	Charity Dye	1898	0											NO_MATCH_AUTH	
/works/OL1103740W	Dead Ned	John Masefield	1938	0	3172166	13	1	4	5	2	1	1	5:4|4:5|3:2|2:1|1:1|total:13	fiction|children	UNIQUE	
/works/OL11478921W	Jack's insects	Edmund Selous	1910	0											NO_MATCH	
/works/OL1169453W	Queens of the circulating library	Felix Alan Walbank	1950	0	1684140	39	9	3	10	14	9	3	5:3|4:10|3:14|2:9|1:3|total:39		YEAR_AUTH	
/works/OL1185375W	They call it patriotism	Bruno Brehm	1932	0	2947698	20	1	8	5	6	1	0	5:8|4:5|3:6|2:1|1:0|total:20		YEAR_AUTH	
/works/OL12141196W	Swamp water	Vereen Bell	1941	0	789674	7	1	1	3	3	0	0	5:1|4:3|3:3|2:0|1:0|total:7		UNIQUE	
/works/OL12247206W	Bright days in the old plantation time	Mary Rose Banks	1882	0											NO_MATCH_AUTH	
/works/OL12313613W	On wings of destiny	Victoria Lopez de Araneta	1940	0											NO_MATCH_AUTH	
/works/OL1253281W	Lord Tony's Wife	Orczy, Emmuska Orczy	1917	0	943284	346	20	91	141	88	19	7	5:91|4:141|3:88|2:19|1:7|total:346	fiction|history, historical fiction, biography|romance|mystery, thriller, crime|fantasy, paranormal	UNIQUE	
/works/OL13132146W	The Golden Dog (le Chien D'or): A Romance of the Days of Louis Quinze in Quebec	William Kirby F.R.S.C.	1897	0	2712206	42	7	16	7	11	1	7	5:16|4:7|3:11|2:1|1:7|total:42		YEAR_AUTH	
/works/OL1337091W	Three Men and a Maid	P. G. Wodehouse	1922	0	2736880	1720	187	388	695	545	75	17	5:388|4:695|3:545|2:75|1:17|total:1720	fiction|history, historical fiction, biography|mystery, thriller, crime	UNIQUE	
/works/OL1337117W	Ukridge	P. G. Wodehouse	1924	0	3331766	1048	93	297	403	276	63	9	5:297|4:403|3:276|2:63|1:9|total:1048	fiction	UNIQUE	
/works/OL1442156W	The daring young man on the flying trapeze, and other stories	Saroyan, William	1934	0	28855	636	46	299	225	87	17	8	5:299|4:225|3:87|2:17|1:8|total:636	fiction|history, historical fiction, biography	YEAR_AUTH	
/works/OL1454895W	Chel	Spyri, Johanna	1913	0											NO_MATCH	
/works/OL145489W	A Newport aquarelle	Maud Howe Elliott	1883	0											NO_MATCH	
/works/OL1455038W	Moni the goat boy, and other stories	Spyri, Johanna	1906	0											NO_MATCH	
/works/OL1458276W	To arms!	Tinayre, Marcelle	1918	0											NO_MATCH	
/works/OL147978W	The Salem frigate	Jennings, John	1946	0											NO_MATCH	
/works/OL15150144W	Raggedy Ann stories	Johnny Gruelle	1947	0	2374296	782	64	344	218	170	40	10	5:344|4:218|3:170|2:40|1:10|total:782	children|fantasy, paranormal|fiction|young-adult|history, historical fiction, biography	UNIQUE	
/works/OL15155626W	Walt Disney's Pinocchio	Campbell Grant	1948	0											NO_MATCH_AUTH	
/works/OL151881W	On Christmas Eve	Margaret Wise Brown	1938	0	209446	107	27	22	23	36	21	5	5:22|4:23|3:36|2:21|1:5|total:107	children|fiction|young-adult	YEAR_AUTH	
/works/OL1527021W	The search for the silver city	Otis, James	1893	0	2008014	295	15	151	75	49	12	8	5:151|4:75|3:49|2:12|1:8|total:295		RATINGS_MAX	
/works/OL1531468W	Eagle-feather	Catherine I. Dodd	1933	0											NO_MATCH_AUTH	
/works/OL15381081W	This One Night	Robins, Denise	1942	0											NO_MATCH_AUTH	
/works/OL15389642W	This strange adventure	Mary Roberts Rinehart	1929	0											NO_MATCH_AUTH	
/works/OL16087053W	The wars of Alexander	Leo	1886	0											NO_MATCH_AUTH	
/works/OL1639819W	The world's delight	Fulton Oursler	1929	0											NO_MATCH_AUTH	
/works/OL16886256W	The submarine boys and the smugglers	Victor G. Durham	1912	0	4327630	5	1	2	1	2	0	0	5:2|4:1|3:2|2:0|1:0|total:5	children	RATINGS_MAX	
/works/OL1719790W	By the Shores of Silver Lake	Wilder, Laura Ingalls	1924	0	2933942	57570	917	24594	20122	10945	1408	501	5:24594|4:20122|3:10945|2:1408|1:501|total:57570	fiction|history, historical fiction, biography|children|young-adult|non-fiction	UNIQUE	
/works/OL17647354W	Peggy Owen, patriot	Lucy Foster Madison	1910	0											NO_MATCH	
/works/OL17665927W	Helen Carey	Martha Trent	1918	0											NO_MATCH	
/works/OL17694368W	Stronghand	Aimard, Gustave	1887	0											NO_MATCH	
/works/OL17720252W	Without blemish	Jeannette H. Walworth	1886	0											NO_MATCH	
/works/OL1794902W	A Deal In Wheat And Other Stories	Frank Norris	1903	0											NO_MATCH	
/works/OL18068696W	With Juliet in England	Grace S. Richmond	1907	0											NO_MATCH	
/works/OL181192W	I can get it for you wholesale	Jerome Weidman	1937	0	944370	31	6	4	10	13	2	2	5:4|4:10|3:13|2:2|1:2|total:31		UNIQUE	
/works/OL183471W	The lost violin	Clara Ingram Judson	1947	0											NO_MATCH	
/works/OL1890316W	Seraph on the Suwanee, a novel	Hurston, Zora Neale.	1948	0	133627	731	59	220	275	184	42	10	5:220|4:275|3:184|2:42|1:10|total:731	fiction|history, historical fiction, biography	UNIQUE	
/works/OL1937625W	The Uncertain Heart	Robins, Denise	1949	0	2904278	13	3	9	2	2	0	0	5:9|4:2|3:2|2:0|1:0|total:13		YEAR_AUTH	
/works/OL1948508W	Five Fall into Adventure	Enid Blyton	1950	0	1550630	6324	100	1937	2295	1829	226	37	5:1937|4:2295|3:1829|2:226|1:37|total:6324	children|mystery, thriller, crime|fiction|young-adult	UNIQUE	
/works/OL1952550W	Hellbox	O'Hara, John	1947	0											NO_MATCH	
/works/OL1960077W	The town	Conrad Richter	1950	0	111194	3001	112	1151	908	620	198	124	5:1151|4:908|3:620|2:198|1:124|total:3001	fiction|history, historical fiction, biography	YEAR_AUTH	
/works/OL20542159W	Rogue's March	Maristan Chapman	1949	0											NO_MATCH_AUTH	
/works/OL205950W	Law and outlaw	Sidgwick, Alfred	1921	0											NO_MATCH	
/works/OL20658361W	Daughter At Home	Dorothy Phoebe Ansle	1939	0											NO_MATCH	
/works/OL20802W	Maggie, a child of the streets	Crane, Stephen	1896	0											NO_MATCH	
/works/OL2103973W	Uncle Piper of Piper's Hill	Tasma	1891	0	18061252	7	3	1	0	3	3	0	5:1|4:0|3:3|2:3|1:0|total:7		UNIQUE	
/works/OL211519W	Riders up!	Gerald Beaumont	1922	0											NO_MATCH	
/works/OL22065786W	The hermit of the Culebra Mountains, or, The adventures of two schoolboys in the far West	McNeil, Everett	1904	0											NO_MATCH_AUTH	
/works/OL2254756W	The year of jubilo	Ruth Sawyer	1940	0	777445	72	8	27	19	13	3	10	5:27|4:19|3:13|2:3|1:10|total:72	fiction|children|history, historical fiction, biography	YEAR_AUTH	
/works/OL2340064W	1791: a tale of San Domingo	E. W. Gilliam	1890	0											NO_MATCH_AUTH	
/works/OL2340244W	The art of writing & speaking the English language	Sherwin Cody	1903	0	6293077	8	3	2	2	4	0	0	5:2|4:2|3:4|2:0|1:0|total:8	non-fiction	YEAR_AUTH	
/works/OL235776W	The perfect tribute	Mary Raymond (Shipman) Andrews	1906	0	1511660	45	11	16	12	15	1	1	5:16|4:12|3:15|2:1|1:1|total:45	fiction|history, historical fiction, biography|non-fiction	UNIQUE	
/works/OL24293W	The boy Lincoln	William Osborn Stoddard	1905	0											NO_MATCH	
/works/OL2462434W	The Tenant of Wildfell Hall / Agnes Grey	Anne Brontë	1914	0	13286152	255	22	66	122	53	8	6	5:66|4:122|3:53|2:8|1:6|total:255		YEAR_AUTH	
/works/OL28382W	Kaleidoscope	Stefan Zweig	1934	0											NO_MATCH_AUTH	
/works/OL28596979W	Five Children and It, The Phoenix and the Carpet, and The Story of the Amulet	E. Nesbit	1930	0	975095	18462	759	5784	6479	4717	1125	357	5:5784|4:6479|3:4717|2:1125|1:357|total:18462	fantasy, paranormal|children|fiction|young-adult|history, historical fiction, biography	RATINGS_MAX	
/works/OL2957120W	Clara Barton	Augusta Stevenson	1946	0											NO_MATCH_AUTH	
/works/OL31807554W	The shortest street	Jean Randall	1937	0											NO_MATCH	
/works/OL32031951W	John Splendid	Neil Munro	1898	0											NO_MATCH	
/works/OL32089695W	Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty, Queen Elizabeth	Charles Kingsley	1882	0	899695	248	19	60	78	72	25	13	5:60|4:78|3:72|2:25|1:13|total:248	fiction|history, historical fiction, biography|children|young-adult	YEAR_AUTH	
/works/OL32092085W	Little Miss Crosspatch		1898	0	861327	28	1	6	11	11	0	0	5:6|4:11|3:11|2:0|1:0|total:28	history, historical fiction, biography|non-fiction	YEAR_AUTH	
/works/OL32092942W	Obeying orders and other stories	Brown, E. E.	1880	0											NO_MATCH	
/works/OL32093542W	Light on shadowed paths	Arthur, T. S.	1891	0											NO_MATCH_AUTH	
/works/OL32094477W	Under the snow	Katharine S. Macquoid	1894	0											NO_MATCH_AUTH	
