ol_work_key	ol_title	ol_author_name	gr_primary_contributors	goodreads_work_id	wikidata_work_qid	wikidata_p50_qids	wikidata_p50_people	ol_matching_p50_qids	gr_matching_p50_qids	shared_p50_qids	work_author_evidence_status	gr_person_candidate_count	gr_person_candidate_qids	gr_p50_shared_qids	gr_person_resolution_status
/works/OL1002110W	The Besieged City	Lispector, Clarice.	Qian Zhong Shu | Qian Zhongshu	581819	Q122965987	Q235955	Q235955:Clarice Lispector	Q235955			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL10310635W	Guilty men	Cato.	Frances Weaver | Peter Oborne	17913433	Q5616384	Q332419|Q5488833|Q3376657	Q332419:Michael Foot | Q5488833:Frank Owen | Q3376657:Peter Howard				P50_NO_EXACT_NAME_SUPPORT	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL10608554W	Genji monogatari	Murasaki Shikibu	Mark Young	10939671	Q8269	Q81731	Q81731:Murasaki Shikibu	Q81731			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL1114914W	When rogues fall out	Joseph Hatton	R. Austin Freeman	5521474	Q124091311	Q6283843	Q6283843:Joseph Hatton	Q6283843			P50_SUPPORTS_OL_ONLY	1	Q2065950		GR_RESOLVES_UNIQUE_OTHER
/works/OL1132264W	The historical novel	Matthews, Brander	George Saintsbury	6059515	Q139673559						P50_NO_EXACT_NAME_SUPPORT	2	Q1419967|Q76247430		GR_RESOLVES_MULTIPLE_OTHER
/works/OL1161367W	The throne of Saturn	S. Fowler Wright	Allen Drury	2914071	Q7769155	Q7387474	Q7387474:S. Fowler Wright	Q7387474			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL118407W	Onesimus	Edwin Abbott Abbott	Lance Webb	10742589	Q85790774	Q531606	Q531606:Edwin Abbott Abbott	Q531606			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL1197883W	The little grey men	"""BB,"""	B.B.	81700	Q7747616	Q1190051	Q1190051:Denys Watkins-Pitchford	Q1190051	Q1190051	Q1190051	P50_SUPPORTS_BOTH_SAME_PERSON	8	Q118232563|Q1190051|Q125589499|Q131433699|Q26690162|Q359047|Q36268|Q84101323	Q1190051	GR_RESOLVES_TO_P50
/works/OL1198310W	The silence of the sea =	Jean Bruller	Yrsa Sigurdardottir	18681469	Q567062	Q462634	Q462634:Jean Bruller	Q462634			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL1204925W	The historical novel	Butterfield, Herbert	George Saintsbury	6059515	Q18389829	Q1350443	Q1350443:Herbert Butterfield	Q1350443			P50_SUPPORTS_OL_ONLY	2	Q1419967|Q76247430		GR_RESOLVES_MULTIPLE_OTHER
/works/OL1206495W	Elders and betters	I. Compton-Burnett	Quentin Bell	1467469	Q139934314	Q432322	Q432322:Ivy Compton-Burnett	Q432322			P50_SUPPORTS_OL_ONLY	2	Q115518059|Q649822		GR_RESOLVES_MULTIPLE_OTHER
/works/OL1395812W	Ferdinand And Isabella	Kesten, Hermann	Malveena McKendrick	48292007	Q111233897	Q65504	Q65504:Hermann Kesten	Q65504			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL14942914W	Through Russia	C. J. Hogarth	Maxim Gorky	2078313	Q13181913	Q12706	Q12706:Maxim Gorky		Q12706		P50_SUPPORTS_GR_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL15143276W	In Sicily	Elio Vittorini	Norman Lewis	971373	Q584423	Q468658	Q468658:Elio Vittorini	Q468658			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL15234302W	Secretum	Francesco Petrarca	Francesco Sorti | Rita Monaldi	2186260	Q1094598	Q1401	Q1401:Petrarch	Q1401			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL1524054W	Flight of the swan	Margaret Ann Hubbard	Rosario Ferre	316306	Q42189987						P50_NO_EXACT_NAME_SUPPORT	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL15605702W	Grania	Emily Lawless	Morgan Llywelyn	292055	Q124083395	Q5372256	Q5372256:Emily Lawless	Q5372256			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL15675565W	The Clansman	Dixon, Thomas	Thomas Dixon Jr.	1357600	Q13419109	Q4993107	Q4993107:Thomas Dixon Jr.	Q4993107	Q4993107	Q4993107	P50_SUPPORTS_BOTH_SAME_PERSON	0			GR_NOT_IN_EXISTING_TARGET_INDEX
/works/OL15866097W	Tod, of the fens	Elinor Whitney Field	Elinor Whitney	2887323	Q7812109	Q19879748	Q19879748:Elinor Whitney Field	Q19879748			P50_SUPPORTS_OL_ONLY	0			GR_NOT_IN_EXISTING_TARGET_INDEX
