target_name	qid	wikidata_label	label_en	label_mul	description_en	description_mul	matched_name	matched_source	aliases_en	aliases_mul	P106_occupation_qids	P569_birth	P570_death	P742_pseudonym	P1477_birth_name	enwiki_title	jawiki_title	source_snapshot
Plato	Q859	Plato	Plato	Πλάτων	4th-century BCE Greek philosopher		Plato	label_en		Plátōn | Platon | Aristocles | Αριστοκλής | Ἀριστοκλῆς	Q4964182|Q26237228|Q49757|Q36180|Q23760244	-0427-05-07T00:00:00Z|-0429-05-21T00:00:00Z|-0428-00-00T00:00:00Z	-0347-00-00T00:00:00Z|-0348-00-00T00:00:00Z		Ἀριστοκλῆς	Plato	プラトン	2026-08-05
Mary  Stewart	Q4652	Mary Stewart	Mary Stewart	Mary Stewart	Scottish princess		Mary Stewart	label_en	Princess Mary Stewart of Scotland | Mary Stewart, Countess of Arran | Mary Stewart von Schottland		Q2478141	+1451-00-00T00:00:00Z	+1488-05-00T00:00:00Z			Mary Stewart, Countess of Arran		2026-08-05
Friedrich Heinrich Karl de la Motte Fouque	Q77371	Friedrich de la Motte Fouqué	Friedrich de la Motte Fouqué		German writer (1777-1843)		Friedrich Heinrich Karl de la Motte Fouqué	P1477_birth_name	Friedrich de la Motte Fouque | Friedrich, Baron de La Motte-Fouqué		Q36180|Q8178443|Q49757	+1777-02-12T00:00:00Z	+1843-01-23T00:00:00Z	Pellegrin | A.L.T. Frank	Friedrich Heinrich Karl de la Motte Fouqué	Friedrich de la Motte Fouqué	フリードリヒ・フーケ	2026-08-05
John Gray	Q191963	John Edward Gray	John Edward Gray	John Edward Gray	British zoologist (1800–1875)		John Gray	alias_en	Gray | J.E.Gray | John Gray | Dr. J.E. Gray | John Edward Gray, FRS | J. E. Gray		Q350979|Q1225716|Q1475726|Q2374149|Q3055126|Q16271064|Q16271261|Q674426|Q98544732	+1800-02-12T00:00:00Z	+1875-03-07T00:00:00Z			John Edward Gray	ジョン・エドワード・グレイ	2026-08-05
Jack Vance	Q312632	Jack Vance	Jack Vance	Jack Vance	American mystery and speculative fiction writer (1916–2013)		Jack Vance	label_en	John H. Vance | John Holbrook Vance		Q36180|Q6625963|Q18844224|Q45199|Q165029	+1916-08-28T00:00:00Z	+2013-05-26T00:00:00Z	Ellery Queen | Alan Wade | Peter Held | John van See | Jay Kavanse	John Holbrook Vance	Jack Vance	ジャック・ヴァンス	2026-08-05
John Rutherford	Q376716	John Rutherfurd	John Rutherfurd	John Rutherfurd	(1760-1840) United States Senator from New Jersey		John Rutherford	alias_en	John Rutherford		Q82955|Q40348	+1760-09-20T00:00:00Z	+1840-02-23T00:00:00Z			John Rutherfurd		2026-08-05
Phil Vickery	Q433334	Phil Vickery	Phil Vickery		English rugby union footballer		Phil Vickery	label_en			Q14089670	+1976-03-14T00:00:00Z				Phil Vickery (rugby union)		2026-08-05
Lucy Walker	Q453494	Lucy Walker	Lucy Walker		British film director		Lucy Walker	label_en			Q2526255|Q3282637|Q3455803|Q28389	+1970-00-00T00:00:00Z				Lucy Walker (director)		2026-08-05
Helen Dunmore	Q462266	Helen Dunmore	Helen Dunmore	Helen Dunmore	British novelist (1952–2017)		Helen Dunmore	label_en			Q49757|Q36180|Q4853732|Q6625963	+1952-12-12T00:00:00Z	+2017-06-05T00:00:00Z			Helen Dunmore		2026-08-05
Allan Massie	Q530321	Allan Massie	Allan Massie	Allan Massie	Scottish journalist and novelist (1938-2026)		Allan Massie	label_en	Allan Johnstone Massie	Allan Johnstone Massie	Q1930187|Q36180|Q482980|Q6625963|Q201788	+1938-10-19T00:00:00Z|+1938-10-16T00:00:00Z	+2026-02-03T00:00:00Z		Allan Johnstone Massie	Allan Massie		2026-08-05
James White	Q532708	James White	James White	James White	American politician, North Carolina and the Southwest Territory (1749–1809)		James White	label_en	Doctor James White | Dr. James White | James White Jr.		Q16533|Q82955|Q40348	+1749-06-16T00:00:00Z	+1809-10-01T00:00:00Z|+1809-12-10T00:00:00Z			James White (Southwest Territory politician)		2026-08-05
Dion Boucicault	Q582694	Dion Boucicault	Dion Boucicault	Dion Boucicault	Irish actor and dramatist (1820-1890)		Dion Boucicault	label_en	Dionysius Lardner Boursiquot | Dion Bourcicault		Q214917|Q33999|Q36180|Q2259451	+1820-12-26T00:00:00Z|+1822-12-26T00:00:00Z	+1890-09-18T00:00:00Z|+1890-01-01T00:00:00Z			Dion Boucicault		2026-08-05
Barry  Miles	Q809078	Barry Miles	Barry Miles		English author, music scene figure (born 1943)		Barry Miles	label_en	Miles		Q36180|Q864380|Q20669622|Q17351648|Q1930187	+1943-01-01T00:00:00Z				Barry Miles		2026-08-05
Bragi Olafsson	Q897242	Bragi Ólafsson	Bragi Ólafsson		Icelandic musician and writer		Bragi Olafsson	alias_en	Bragi Olafsson		Q36180|Q639669|Q482980	+1962-08-11T00:00:00Z				Bragi Ólafsson		2026-08-05
