ol_work_key	ol_title	ol_author_name	gr_primary_contributors	goodreads_work_id	wikidata_work_qid	wikidata_p50_qids	wikidata_p50_people	ol_matching_p50_qids	gr_matching_p50_qids	shared_p50_qids	work_author_evidence_status
/works/OL1002110W	The Besieged City	Lispector, Clarice.	Qian Zhong Shu | Qian Zhongshu	581819	Q122965987	Q235955	Q235955:Clarice Lispector	Q235955			P50_SUPPORTS_OL_ONLY
/works/OL10310635W	Guilty men	Cato.	Frances Weaver | Peter Oborne	17913433	Q5616384	Q332419|Q5488833|Q3376657	Q332419:Michael Foot | Q5488833:Frank Owen | Q3376657:Peter Howard				P50_NO_EXACT_NAME_SUPPORT
/works/OL10497432W	The Claverton Mystery	Cecil John Charles Street	John Rhode	4522990	Q110963318	Q505121	Q505121:Cecil Street	Q505121	Q505121	Q505121	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL10510063W	The travel tales of Mr. Joseph Jorkens	Edward Plunkett	Lord Dunsany	18963020	Q7769999	Q458658	Q458658:Edward Plunkett, 18th Baron of Dunsany		Q458658		P50_SUPPORTS_GR_ONLY
/works/OL10563336W	The Secret of High Eldersham	Cecil John Charles Street	Miles Burton	7862860	Q110964993	Q505121	Q505121:Cecil Street	Q505121			P50_SUPPORTS_OL_ONLY
/works/OL10591257W	Death at Swaythling Court	Alfred W Stewart	J.J. Connington	23748924	Q125389103	Q3611305	Q3611305:Alfred Walter Stewart		Q3611305		P50_SUPPORTS_GR_ONLY
/works/OL10591258W	The Eye in the Museum	Alfred W Stewart	J.J. Connington	23542398	Q125701355	Q3611305	Q3611305:Alfred Walter Stewart		Q3611305		P50_SUPPORTS_GR_ONLY
/works/OL10591262W	The Two Tickets Puzzle	Alfred W Stewart	J.J. Connington	23542399	Q125457715	Q3611305	Q3611305:Alfred Walter Stewart		Q3611305		P50_SUPPORTS_GR_ONLY
/works/OL10608554W	Genji monogatari	Murasaki Shikibu	Mark Young	10939671	Q8269	Q81731	Q81731:Murasaki Shikibu	Q81731			P50_SUPPORTS_OL_ONLY
/works/OL10641391W	Devil take the blue-tail fly	Gregory Tree	John Franklin Bardin	599685	Q11492615	Q634905	Q634905:John Franklin Bardin	Q634905	Q634905	Q634905	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1084997W	A Happy Boy	Bjørnstjerne Bjørnson	Bjornstjerne Bjornson	1936204	Q11967394	Q46405	Q46405:Bjørnstjerne Bjørnson	Q46405	Q46405	Q46405	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL10865603W	Mrs. Spring Fragrance	Edith Maud Eaton	Sui Sin Far	512215	Q6929883	Q7635294	Q7635294:Sui Sin Far		Q7635294		P50_SUPPORTS_GR_ONLY
/works/OL1098501W	Memoirs of a midget	De la Mare, Walter	Walter de la Mare	5836	Q18343738	Q981086	Q981086:Walter de la Mare	Q981086	Q981086	Q981086	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1114914W	When rogues fall out	Joseph Hatton	R. Austin Freeman	5521474	Q124091311	Q6283843	Q6283843:Joseph Hatton	Q6283843			P50_SUPPORTS_OL_ONLY
/works/OL111597W	Dance Upon the Air	Robertson, Eleanor Marie	Nora Roberts	58217	Q133201312	Q231356	Q231356:Nora Roberts	Q231356	Q231356	Q231356	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1132264W	The historical novel	Matthews, Brander	George Saintsbury	6059515	Q139673559						P50_NO_EXACT_NAME_SUPPORT
/works/OL1161367W	The throne of Saturn	S. Fowler Wright	Allen Drury	2914071	Q7769155	Q7387474	Q7387474:S. Fowler Wright	Q7387474			P50_SUPPORTS_OL_ONLY
/works/OL11619993W	The Case with Nine Solutions	Alfred W Stewart	J.J. Connington	17345804	Q130417218	Q3611305	Q3611305:Alfred Walter Stewart		Q3611305		P50_SUPPORTS_GR_ONLY
/works/OL11619999W	Nordenholt's Million	Alfred W Stewart	J.J. Connington	6327013	Q133546875	Q3611305	Q3611305:Alfred Walter Stewart		Q3611305		P50_SUPPORTS_GR_ONLY
/works/OL117003W	Letters from Egypt	Duff Gordon, Lucie	Lady Lucie Duff Gordon	27501475	Q23805791	Q6696946	Q6696946:Lucie, Lady Duff-Gordon		Q6696946		P50_SUPPORTS_GR_ONLY
/works/OL118407W	Onesimus	Edwin Abbott Abbott	Lance Webb	10742589	Q85790774	Q531606	Q531606:Edwin Abbott Abbott	Q531606			P50_SUPPORTS_OL_ONLY
/works/OL1196382W	The Case of the Abominable Snowman	C. Day Lewis	Nicholas Blake	1801646	Q127600926	Q954383	Q954383:Cecil Day-Lewis	Q954383	Q954383	Q954383	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1196409W	Thou Shell of Death	C. Day Lewis	Nicholas Blake	1801658	Q131286575	Q954383	Q954383:Cecil Day-Lewis	Q954383	Q954383	Q954383	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1196426W	Minute for murder	C. Day Lewis	Nicholas Blake	701685	Q108672280	Q954383	Q954383:Cecil Day-Lewis	Q954383	Q954383	Q954383	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1197883W	The little grey men	"""BB,"""	B.B.	81700	Q7747616	Q1190051	Q1190051:Denys Watkins-Pitchford	Q1190051	Q1190051	Q1190051	P50_SUPPORTS_BOTH_SAME_PERSON
/works/OL1198310W	The silence of the sea =	Jean Bruller	Yrsa Sigurdardottir	18681469	Q567062	Q462634	Q462634:Jean Bruller	Q462634			P50_SUPPORTS_OL_ONLY
/works/OL1204925W	The historical novel	Butterfield, Herbert	George Saintsbury	6059515	Q18389829	Q1350443	Q1350443:Herbert Butterfield	Q1350443			P50_SUPPORTS_OL_ONLY
/works/OL1206495W	Elders and betters	I. Compton-Burnett	Quentin Bell	1467469	Q139934314	Q432322	Q432322:Ivy Compton-Burnett	Q432322			P50_SUPPORTS_OL_ONLY
