openlibrary_work_key	selection_title	selection_author	hathitrust_volume_count	htid_count_api	pd_count_api	record_count	matched_oclc	oclc_tried	htid_count_title	pd_count_title	matched_title	matched_author	source	hathitrust_htid_count_current	hathitrust_pd_count_current	hathitrust_source_current	historical_htid_count	historical_current_mismatch	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	historical_final_changed
/works/OL2339087W	The Red Axe	S R Crockett	1						1.0	1.0	The red axe / by S. R. Crockett. [With illustrations by Fran	Crockett, S. R. 1859-1914.	hathifiles_title	1	1	title_fallback	1	0	1	1	title_fallback_reviewed	accepted	0
/works/OL51141W	The Job	Sinclair Lewis	2	2.0	2.0	1.0	3576727.0	2.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL81295W	Sons and Lovers	D. H. Lawrence	9						9.0	6.0	Sons and lovers / by D. H. Lawrence ; with an introduction b	Lawrence, D. H. 1885-1930.	hathifiles_title	9	6	title_fallback	9	0	9	6	title_fallback_reviewed	accepted	0
/works/OL1794911W	McTeague	Frank Norris	1	1.0	0.0	1.0	7594213.0	1.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL468488W	This Side of Paradise	F Scott Fitzgerald	1	1.0	1.0	1.0	2707448.0	10.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL276470W	The Ambassadors	Henry James	1	1.0	0.0	1.0	1179625.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	6						6.0	4.0	The great Gatsby / by F. Scott Fitzgerald.	Fitzgerald, F. Scott 1896-1940.	hathifiles_title	6	4	title_fallback	6	0	6	4	title_fallback_reviewed	accepted	0
/works/OL82870W	The Sound and the Fury	William Faulkner	2	2.0	0.0	1.0	14003173.0	10.0						2	0	api	2	0	2	0	api	accepted	0
/works/OL1797270W	Senator North	Gertrude Atherton	4	4.0	4.0	1.0	15209857.0	9.0						4	4	api	4	0	4	4	api	accepted	0
/works/OL98491W	The Age of Innocence	Edith Wharton	1	1.0	0.0	1.0	172427.0	10.0						1	0	api	1	0	1	0	api	accepted	0
