work_key	title	author	jstor_mention_count	canonical	note
	Alas!	Rhoda Broughton	0	1	
	Hearts courageous	Rives, Hallie Erminie	0	1	
	King Coal	Upton Sinclair	0	1	
	Megda	Emma Dunham Kelley	0	1	
	Princess Salome	Burris Jenkins	0	1	
	Senator North	Atherton, Gertrude Franklin Horn	0	1	
	Stepsons of light	Eugene Manlove Rhodes	0	1	
	Tarzan of the Apes	Edgar Rice Burroughs	0	1	
	The Damascus Road	Jay Parini	0	1	
	The Frontiersmen	Charles Egbert Craddock	0	1	
	The Golden Cage	Iris Bromige	0	1	
	The Grand Babylon Hotel	Bennett, Arnold	0	1	
	The Homeward Trail	Waldron Baily	0	1	
	The Mystery of Cloomber	Doyle, Arthur Conan	0	1	
	The North Star	M. E. Henry-Ruffin	0	1	
	The Red Axe	S. R. Crockett	0	1	
	The Yearling	Marjorie Kinnan Rawlings	0	1	
	The border legion	Zane Grey	0	1	
	The innocents	Alfred Machard	0	1	
	The moon and sixpence	W. Somerset Maugham	0	1	
	The sea witch	Laing, Alexander	0	1	
	Trelawny	Holman Freeland	0	1	
	White Fang	Jack London	0	1	
