work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL51141W	1	2	2	1	3576727	2	uc1.31158003167334|nyp.33433074787890
OL1794911W	1	1	0	1	7594213	1	uc1.31822005439328
OL468488W	1	1	1	1	2707448	10	mdp.39015005096295
OL100196W	1	2	2	1	294159	10	uc2.ark:/13960/t1dj5bp28|wu.89004876165
OL100203W	1	0	0	0		10	
OL100237W	1	1	0	1	17759307	10	ufl.31262044912508
OL109153W	1	3	3	1	8163903	8	mdp.49015000914888|uc1.$b322743|hvd.32044019367549
OL109231W	1	1	1	1	10381676	4	wu.89087902656
OL111382W	1	1	0	1	1260144	10	uva.x000241514
OL112798W	1	5	5	1	30352336	10	mdp.39015013742807|nc01.ark:/13960/t7jq10k79|nc01.ark:/13960/t9t16484h
OL115067W	1	2	2	1	1391760	10	nyp.33433076039761|mdp.39015005408623
OL1154817W	1	1	1	1	1398804	10	mdp.39015008295233
OL1168083W	1	0	0	0		10	
OL1217993W	1	3	0	1	282830	8	mdp.39015001790115|mdp.39015005085371|mdp.39015005899235
OL1253285W	1	0	0	0		10	
OL12781W	1	2	2	1	3395503	10	osu.32435017945072|uc1.32106005398463
OL13144755W	1	2	2	1	9494130	1	hvd.hn1qtj|nyp.33433074801089
OL1418251W	1	2	2	1	1224185	10	uc1.b5614386|uc2.ark:/13960/t0zp3w23m
OL144822W	1	1	1	1	1057926060	10	uiuo.ark:/13960/s2kfnsv3630
OL14864528W	1	2	2	1	1620094	10	nyp.33433111598847|uiuo.ark:/13960/t3429bc20
OL1487721W	1	11	11	1	3898313	1	uiuo.ark:/13960/t4zg6x20r|uc2.ark:/13960/t5gb23099|uc1.b4104685
OL14942956W	1	1	1	1	1159548	10	osu.32435017937848
OL15062619W	1	0	0	0		1	
OL1794919W	1	1	1	1	10050173	10	uiuo.ark:/13960/t9f52qg55
OL1797270W	1	4	4	1	15209857	9	uc2.ark:/13960/t1kh0h302|wu.89098866031|uc2.ark:/13960/t1hh6cc4k
OL1799163W	1	5	5	1	1002560	4	uc2.ark:/13960/t6zw1dq96|uc1.$b312403|nyp.33433082132717
OL18397742W	1	0	0	0		1	
OL18561767W	1	2	2	1	5141001	4	ia.ark:/13960/t7rn6m08p|inu.30000079284976
OL19870W	1	0	0	0		10	
OL20163024W	1	0	0	0		1	
OL20172W	1	1	0	1	10773884	10	pst.000014841064
OL20839W	1	1	1	1	271259	10	uc2.ark:/13960/t0dv1ct38
OL2107271W	1	3	3	1	2109962	2	uc2.ark:/13960/fk8bg2ht27|mdp.39015070223303|uc1.b4105314
OL2337481W	1	5	5	1	2686154	2	uc2.ark:/13960/t5q816066|coo1.ark:/13960/t85h8380k|mdp.39015030915485
OL24034W	1	2	2	1	10342465	10	hvd.hwp4zm|hvd.hwp4zl
OL262473W	1	2	2	1	3656526	8	uc2.ark:/13960/t39020s4d|hvd.hw2d9q
OL276365W	1	0	0	0		10	
OL276470W	1	1	0	1	1179625	10	uc1.b4103969
OL27834207W	1	3	3	1	1152772	10	mdp.39015008628714|loc.ark:/13960/t1mg86h4n|hvd.32044022647960
OL35383W	1	1	1	1	123190463	10	mdp.49015001017970
OL37277W	1	2	0	1	1409009	10	uc1.32106005765166|mdp.39015010397407
OL38827W	1	3	3	1	4774404	10	uc2.ark:/13960/t6n01c29h|nyp.33433074942974|mdp.39015049892089
OL38989822W	1	0	0	0		3	
OL39108W	1	1	0	1	123113490	10	pst.000062475938
OL39329W	1	1	1	1	19736994	10	chi.10453022
OL39349W	1	4	4	1	10332928	10	ucbk.ark:/28722/h2445hc94|ucbk.ark:/28722/h25h7bw1s|uiug.30112039631830
OL39360W	1	3	3	1	2747201	10	dul1.ark:/13960/t4fn6fv29|inu.32000000970782|miun.ahq2807.0001.001
OL39396W	1	2	0	1	1572793	10	mdp.39015031596672|uva.x000205039
OL39453744W	1	0	0	0		1	
OL42236259W	1	1	1	1	7371032	1	chi.13219228
OL42517032W	1	1	1	1	5293635	1	hvd.hxq8nm
OL4315764W	1	1	0	1	27145837	5	mdp.39015029577189
OL43405505W	1	0	0	0		2	
OL4390503W	1	1	0	1	10817382	7	uiug.30112013039596
OL44014215W	1	2	2	1	11724131	1	hvd.32044022665178|hvd.32044022665160
OL44622934W	1	0	0	0		1	
OL462007W	1	1	0	1	10189295	10	mdp.39015001799165
OL468362W	1	1	1	1	13395450	10	mdp.39076001300651
OL468485W	1	1	0	1	13823425	10	mdp.39076001188627
OL485410W	1	2	2	1	6929896	9	hvd.hn6q7p|mdp.39015063553484
OL4902750W	1	2	2	1	15479689	6	uc1.$b803022|uc2.ark:/13960/t4nk36n0s
OL4971729W	1	1	1	1	6508684	3	uc2.ark:/13960/t17m04p6z
OL505740W	1	2	2	1	16209082	10	uc2.ark:/13960/t9862pc2r|uc1.b4089163
OL507321W	1	4	4	1	1900142	10	uc2.ark:/13960/t29883n91|uc1.$b249876|hvd.hwk6s4
OL509919W	1	2	0	1	3148820	8	uc1.$b389744|uc1.b4410175
OL5138118W	1	0	0	0		3	
OL52267W	1	2	2	1	1162397	10	dul1.ark:/13960/t98637h6g|osu.32435056556525
OL5293697W	1	3	0	1	565875	3	mdp.39015006587383|uc1.$b244527|txu.059173018339977
OL62979W	1	1	0	1	1335184	10	osu.32435075577023
OL63009W	1	1	0	1	10611304	10	mdp.39076002652183
OL65430W	1	0	0	0		10	
OL65437W	1	2	0	1	24367288	9	uc1.31175002772872|uc1.b5507490
OL6926191W	1	0	0	0		2	
OL715621W	1	1	0	1	10812446	10	mdp.39015007026050
OL74504W	1	2	2	1	11920387	10	coo1.ark:/13960/t2v41906g|ufl.31262000642032
OL7541646W	1	1	1	1	10986847	2	nyp.33433074815014
OL7842965W	1	1	1	1	10241015	1	hvd.hn1m8f
OL8193416W	1	2	2	1	11071044	10	uiuo.ark:/13960/t89g5m66j|uiug.30112056541607
OL82870W	1	2	0	1	14003173	10	inu.39000001075931|uva.x001206540
OL82929W	1	1	0	1	13904298	10	mdp.39015061525369
OL86320W	1	0	0	0		10	
OL88813W	1	1	0	1	10000633	10	mdp.49015003005098
OL88881W	1	2	1	1	1034163	10	mdp.39015034766777|dul1.ark:/13960/t9z089v2w
