work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL10356096W	0	1	0	1	8652030	8	uc1.31822002844843
OL11016717W	0	0	0	0		1	
OL11020633W	0	4	4	1	2652448	1	hvd.32044102848579|uc2.ark:/13960/t6qz28015|coo1.ark:/13960/t9c545x03
OL1103740W	0	2	0	1	3982437	2	uc1.$b308327|mdp.39015015385530
OL1169453W	0	1	0	1	1608731	1	uc1.$b112941
OL12247206W	0	1	1	1	4248391	2	hvd.hn1cfj
OL12313613W	0	1	0	1	7117793	1	mdp.39015001212615
OL13132146W	0	3	3	1	3854365	1	hvd.hn5faq|uc2.ark:/13960/t39z98r8h|uc1.b3579164
OL1337091W	0	3	3	1	938587	1	mdp.39015005719326|hvd.32044005536768|nyp.33433075762272
OL1337117W	0	1	0	1	53183828	5	uc1.32106017447647
OL1442156W	0	1	0	1	742998	6	mdp.49015000489808
OL1454895W	0	0	0	0		1	
OL145489W	0	3	3	1	4307435	1	uc2.ark:/13960/t9x05zz2n|uc1.$b248764|uc1.$b807303
OL1455038W	0	3	3	1	3997073	4	uc2.ark:/13960/t9c53m08v|uc1.$b306220|hvd.hn38sp
OL1458276W	0	5	5	1	4727790	1	mdp.39015066643639|uc2.ark:/13960/t9183621b|uc1.$b317808
OL147978W	0	1	0	1	169862	3	uc1.b3688005
OL15150144W	0	0	0	0		1	
OL15155626W	0	0	0	0		4	
OL151881W	0	5	0	1	362766	3	mdp.39015065294277|mdp.39015035764045|uc1.$b662525
OL1527021W	0	0	0	0		2	
OL1531468W	0	0	0	0		1	
OL15381081W	0	0	0	0		2	
OL15389642W	0	1	1	1	1938048	2	mdp.39015002717794
OL157650W	0	1	1	1	1099146	10	mdp.39015010752650
OL16087053W	0	1	1	1	6429910	1	hvd.32044019877273
OL1639819W	0	1	1	1	6075007	1	mdp.39015023131215
OL16886256W	0	0	0	0		1	
OL1719790W	0	1	0	1	12767778	10	uc1.b3980412
OL17647354W	0	0	0	0		1	
OL17665927W	0	0	0	0		1	
OL17694368W	0	0	0	0		1	
OL17720252W	0	0	0	0		2	
OL18068696W	0	1	1	1	3583071	1	hvd.hxdncb
