work_key	title	author_name	first_publish_year	htid_count	pd_count	record_count	matched_id	sample_htids	isbn_found	lccn_found
OL100203W	Sister Carrie	Theodore Dreiser	1900	0	0	0	NO_MATCH		9781986835534|9781975828837|9781541021051|9781979333733|9781530798346	
OL1168083W	Nineteen Eighty-Four	George Orwell	1949	0	0	0	NO_MATCH		9781976304699|9781987679359|9781517514181|9781717012890|9781530044351	
OL1253285W	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	0	0	0	NO_MATCH		9798415291786|9798766704867|9798523564550|9798743452637|9798738103919	2014332021|2015438669
OL15062619W	Dracula	Martin Harry Greenberg	1922	0	0	0	NO_MATCH		0886775310|9780886775315	92228565
OL18397742W	The North Star	M. E. Henry-Ruffin	1904	0	0	0	NO_MATCH			
OL19870W	The Jungle Book	Kipling, Rudyard	1893	0	0	0	NO_MATCH		2015135049|9782015135045|8425203074|9788425203077|8497644921	2014006238
OL20163024W	The Damascus Road	Jay Parini	1920	0	0	0	NO_MATCH		9780307386205|0385522789|9780385522786	2018021318
OL276365W	The Portrait of a Lady	James, Henry	1881	3	3	1	lccn:17026175	mdp.39015005325165|mdp.39015000527054|mdp.39015062063469	1503115526|9781503115521|9789077895092|0451503589|9780451503589	94039396|83172841|17026175
OL38989822W	A portrait of the artist as a young man	Joyce, James	1921	0	0	0	NO_MATCH			
OL39453744W	Jude the obscure	Hardy, Thomas	1895	0	0	0	NO_MATCH			
OL43405505W	Lady Chatterley's lover	Lawrence, D. H.	1946	0	0	0	NO_MATCH			
OL44622934W	The jungle	Upton Sinclair	1906	0	0	0	NO_MATCH			
OL5138118W	The Golden Cage	Iris Bromige	1950	0	0	0	NO_MATCH		0856175331|0345266609|9780345266606	
OL65430W	The Awakening	Kate Chopin	1899	0	0	0	NO_MATCH		9788895227009|8412620151|9788412620153|8437630339|9788437630335	
OL6926191W	The sea witch	Laing, Alexander	1933	0	0	0	NO_MATCH			58006762
OL86320W	Dubliners	Joyce, James	1914	0	0	0	NO_MATCH		8437611784|1535565462|9781535565462|9789651320941|9781411474918	
OL98501W	Ethan Frome	Edith Wharton	1910	0	0	0	NO_MATCH		9798886000481|9781609422943|9798886000474|9798760330376|1568496362	
