work_key	title	author_name	first_publish_year	canonical	htid_count	pd_count	sample_htids	matched_title	matched_author	source
OL31456997W	Laughing Boy	Oliver La Farge	1929	0	3	3	mdp.39015003899989|uc1.b4087559|mdp.39015004111178	Laughing Boy / by Oliver La Farge.	La Farge, Oliver, 1901-1963.	hathifiles_title
OL1526395W	Indian captive	Lenski, Lois	1941	0	1	0	mdp.39015005775120	Indian captive : the story of Mary Jemison / written and ill	Lenski, Lois, 1893-1974,	hathifiles_title
OL32146855W	Xingu, and other stories	Edith Wharton	1916	0	5	5	mdp.39015019960767|hvd.32044090094442|uva.x001172244	Xingu, and other stories.	Wharton, Edith, 1862-1937.	hathifiles_title
OL16206172W	Uncle Remus	Joel Chandler Harris	1901	0	15	15	mdp.39015065535034|mdp.39015009386304|miun.aje0676.0001.001	Uncle Remus : his songs and his sayings / New and rev.ed. wi	Harris, Joel Chandler, 1848-1908.	hathifiles_title
OL18384315W	Robert Peckham	Maurice Baring	1930	0	1	1	mdp.39015030854353	Robert Peckham.	Baring, Maurice, 1874-1945.	hathifiles_title
OL3571984W	Roger Sudden	Thomas Head Raddall	1944	0	1	0	mdp.39015002713991	Roger Sudden / by Thomas H. Raddall.	Raddall, Thomas H., 1903-1994.	hathifiles_title
OL2264992W	The Christmas nightingale	Eric Philbrook Kelly	1932	0	1	0	mdp.39015005010239	The Christmas nightingale : three Christmas stories from Pol	Kelly, Eric P. 1884-1960,	hathifiles_title
OL32276791W	Open doors	Lydia Glover Deseo	1945	0	5	0	uc1.l0052981560|uc1.l0052981578|osu.32435030437495	Open doors.		hathifiles_title
OL16037770W	Coronet	Manuel Komroff	1930	0	315	2	uva.x030800942|uva.x030800941|uva.x030800940	Coronet.		hathifiles_title
OL252583W	Merlin	Lovelich, Herry	1932	0	6	0	mdp.39015067509623|mdp.39015067509615|mdp.39015067509466	Merlin.		hathifiles_title
OL5408078W	The pony express	Gaylord Du Bois	1944	0	12	0	cub.u183020137348|cub.u183020137330|cub.u183020137322	Pony express.		hathifiles_title
OL4636854W	The pony express	Samuel Hopkins Adams	1950	0	12	0	cub.u183020137348|cub.u183020137330|cub.u183020137322	Pony express.		hathifiles_title
OL19669345W	Horizons	Francis Hackett	1919	0	6	6	iau.31858045154014|mdp.39015030905346|uc1.$b250317	Horizons.		hathifiles_title
OL18455104W	Horizons	Francis Hackett	1918	0	6	6	iau.31858045154014|mdp.39015030905346|uc1.$b250317	Horizons.		hathifiles_title
OL471895W	The Murder at the Vicarage	Agatha Christie	1930	0	1	0	mdp.39015013950624	The murder at the vicarage / by Agatha Christie.	Christie, Agatha, 1890-1976.	hathifiles_title
OL8721349W	The Aspern Papers / The Turn of the Screw	James, Henry	1935	0	2	0	mdp.39015000524895|pst.000028367772	The Aspern papers / by Henry James ; with a pref. by the aut	James, Henry, 1843-1916.	hathifiles_title
OL40196W	I, the Jury	Mickey Spillane	1947	0	3	0	mdp.39015000957798|mdp.39015034928484|uva.x000335920	I, the jury / Mickey Spillane.	Spillane, Mickey, 1918-2006.	hathifiles_title
OL99522W	The Story of the Treasure Seekers	E. Nesbit	1899	0	5	3	mdp.39015005628121|mdp.39015063540994|mdp.39076002315799	The story of the treasure seekers; being the adventures of t	Nesbit, E. 1858-1924.	hathifiles_title
OL32903931W	Crichton	Ainsworth, William Harrison	1890	0	5	5	mdp.39015030842341|dul1.ark:/13960/t43r1pr79|uc2.ark:/13960/t3zs2z98g	Crichton / with port. [of Mary Stuart] by Farino and 3 etchi	Ainsworth, William Harrison, 1805-1882.	hathifiles_title
OL13849972W	Harold the klansman	George Alfred Brown	1923	0	1	1	nc01.ark:/13960/t3gx4t739	Harold the klansman.	Brown, George Alfred, b. 1876.	hathifiles_title
OL37450152W	Cakes and ale	W. Somerset Maugham	1930	0	9	4	uc1.b3477936|mdp.39015030706470|mdp.39015010433509	Cakes and ale: or, The skeleton in the cupboard [by] W. Some	Maugham, W. Somerset 1874-1965.	hathifiles_title
OL5200895W	Chronicles of the Scho nberg-Cotta family	Elizabeth Rundle Charles	1900	0	2	2	mdp.39015059391600|umn.319510013995756	Chronicles of the Schönberg-Cotta family / by two of themsel	Charles, Elizabeth Rundle, 1828-1896.	hathifiles_title
OL17683545W	Chronicles of the Scho nberg-Cotta family	Elizabeth Rundle Charles	1890	0	8	8	mdp.39015059391600|mdp.39015063512696|uc2.ark:/13960/t8sb42m4x	Chronicles of the Schönberg-Cotta family / by two of themsel	Charles, Elizabeth Rundle, 1828-1896.	hathifiles_title
OL17960897W	D'ri and I	Irving Bacheller	1901	0	9	9	uc2.ark:/13960/t9h41m46t|mdp.39015013148062|mdp.39015059387673	D'ri and I; a tale of daring deeds in the second war with th	Bacheller, Irving, 1859-1950.	hathifiles_title
OL38771712W	Saint James's	Ainsworth, William Harrison	1899	0	1	1	mdp.39015059387582	Saint James's.	Ainsworth, William Harrison, 1805-1882.	hathifiles_title
OL35404512W	Glorious Apollo		1926	0	4	3	mdp.39015059395866|uc1.$b322982|uc1.$b792521	Glorious Apollo / By E. Barrington [pseudonym]	Beck, L. Adams -1931.	hathifiles_title
OL7026234W	Father Abraham	Irving Bacheller	1925	0	1	1	mdp.39015059389372	Father Abraham ...	Bacheller, Irving, 1859-1950.	hathifiles_title
OL16730925W	A man for the ages	Irving Bacheller	1919	0	7	7	mdp.39015059389430|hvd.hxdgu7|uc1.$b799005	A man for the ages; a story of the builders of democracy / b	Bacheller, Irving, 1859-1950.	hathifiles_title
OL16762214W	A man for the ages	Irving Bacheller	1920	0	7	7	mdp.39015059389430|hvd.hxdgu7|uc1.$b799005	A man for the ages; a story of the builders of democracy / b	Bacheller, Irving, 1859-1950.	hathifiles_title
OL163727W	Day's end and other stories	H. E. Bates	1928	0	3	2	mdp.39015059395809|uc1.$b322955|coo.31924013583111	Day's end, and other stories / by H. E. Bates.	Bates, H. E. 1905-1974.	hathifiles_title
OL5004308W	Blind alley	Walter Lionel George	1919	0	7	7	nyp.33433082485586|uc2.ark:/13960/t13n20z0v|mdp.39015024220546	Blind alley; being the picture of a very gallant gentleman; 	George, W. L. 1882-1926.	hathifiles_title
OL7582918W	The heavenly sinner	T. Everett Harré	1935	0	1	0	mdp.39015059404007	The heavenly sinner; the life and loves of Lola Montez / by 	Harré, T. Everett 1884-1948.	hathifiles_title
OL10467856W	If winter comes	A. S. M. Hutchinson	1921	0	4	4	mdp.39015059405533|uiug.30112055500430|uiug.30112058785756	If winter comes / by A. S. M. Hutchinson.	Hutchinson, A. S. M. 1880-1971.	hathifiles_title
OL8729585W	Bella Donna	Robert Smythe Hichens	1911	0	11	11	uc2.ark:/13960/t41r6rm7m|mdp.39015059377336|uc1.$b300862	Bella donna; a novel, by Robert Hichens.	Hichens, Robert Smythe, 1864-1956.	hathifiles_title
OL17664632W	The prince of the house of David	J. H. Ingraham	1897	0	8	8	mdp.39015059414477|hvd.hn3bw5|uc2.ark:/13960/t1gh9bp03	The prince of the house of David / by Rev. Prof. J. H. Ingra	Ingraham, J. H. 1809-1860.	hathifiles_title
OL1092170W	A full and true account of the wonderful mission of Earl Lavender, which lasted one night and one day	Davidson, John	1895	0	3	3	uc2.ark:/13960/t73t9hp3z|mdp.39015059392210|uc1.$b370702	A full and true account of the wonderful mission of Earl Lav	Davidson, John, 1857-1909.	hathifiles_title
OL32146036W	Around old Chester	Margaret Deland	1915	0	1	1	mdp.39015060430553	Around old Chester / by Margaret Deland.	Deland, Margaret, 1857-1945.	hathifiles_title
OL32146062W	John Ward, preacher	Margaret Deland	1888	0	9	9	mdp.39015062247922|hvd.32044010321289|hvd.ah4wzj	John Ward, preacher / by Margaret Deland.	Deland, Margaret, 1857-1945.	hathifiles_title
OL32146495W	The promises of Alice	Margaret Deland	1919	0	6	6	uc2.ark:/13960/t5q81551m|mdp.39015016770383|coo1.ark:/13960/t3pv7277f	The promises of Alice : the romance of a New England parsona	Deland, Margaret Wade Campbell, 1857-194	hathifiles_title
OL36994959W	Old Haven	David Cornel DeJong	1938	0	1	0	mdp.39015012332261	Old haven.	De Jong, David Cornel, 1901-1967.	hathifiles_title
OL1106251W	The wayward man	Ervine, St. John G.	1927	0	2	2	mdp.39015059404106|uc1.$b242563	The wayward man / by St. John G. Ervine.	Ervine, St. John G. 1883-1971.	hathifiles_title
OL32146065W	Sidney	Margaret Deland	1890	0	1	1	mdp.39015059400294	Sidney / by Margaret Deland.	Deland, Margaret, 1857-1945.	hathifiles_title
OL7908249W	The judgment of the sword	Diver, Katherine Helen Maud (Marshall)	1924	0	1	1	mdp.39015023158812	The judgment of the sword; the tale of the Kabul tragedy, an	Diver, Maud, 1867-1945.	hathifiles_title
OL1219518W	The judgment of the sword	Katherine Helen Maud Marshall Diver	1913	0	5	5	mdp.39015023158812|osu.32435000220814|nyp.33433074968177	The judgment of the sword; the tale of the Kabul tragedy, an	Diver, Maud, 1867-1945.	hathifiles_title
OL7487846W	Village chronicle	James McConnaughey	1936	0	2	0	mdp.39015059409980|uc1.$b301224	Village chronicle / by James McConnaughey.	McConnaughey, James, 1908-1993.	hathifiles_title
OL3127780W	To-morrow never comes	R. L. Duffus	1929	0	1	0	mdp.39015059377252	To-morrow never comes / by R. L. Duffus.	Duffus, R. L. 1888-1972.	hathifiles_title
OL2345252W	The siege of Lady Resolute	Dickson, Harris	1902	0	2	2	mdp.39015063511631|nyp.33433074811161	The siege of Lady Resolute; a novel / by Harris Dickson.	Dickson, Harris, 1868-1946.	hathifiles_title
OL7891433W	The rose of old St. Louis	Dillon, Mary C. Johnson	1904	0	3	3	mdp.39015063546702|hvd.hxdh5u|uc2.ark:/13960/t9b56dt9f	The rose of old St. Louis / by Mary Dillon; with illustratio	Dillon, Mary	hathifiles_title
OL10791370W	The rose of old St. Louis	Mary C. Johnson Dillon	1904	0	3	3	mdp.39015063546702|hvd.hxdh5u|uc2.ark:/13960/t9b56dt9f	The rose of old St. Louis / by Mary Dillon; with illustratio	Dillon, Mary	hathifiles_title
OL5789978W	The story of a modern woman	Ella Hepworth Dixon	1895	0	3	3	mdp.39015018398431|nyp.33433074968151|coo.31924013607084	The story of a modern woman / by Ella Hepworth Dixon.	Dixon, Ella Hepworth.	hathifiles_title
OL15675565W	The Clansman	Dixon, Thomas	1905	0	18	18	mdp.39015004021286|mdp.39015013736296|uga1.32108057030556	The clansman; an historical romance of the Ku Klux klan / by	Dixon, Thomas, Jr., 1864-1946.	hathifiles_title
OL39014547W	The clansman	Dixon, Thomas	1905	0	18	18	mdp.39015004021286|mdp.39015013736296|uga1.32108057030556	The clansman; an historical romance of the Ku Klux klan / by	Dixon, Thomas, Jr., 1864-1946.	hathifiles_title
OL41540816W	Robert Elsmere	Humphry Ward	1888	1	20	20	mdp.39015053658731|uc1.b4102899|uc2.ark:/13960/t5x63ds6x	Robert Elsmere / by Mrs. Humphry Ward.	Ward, Humphry, Mrs., 1851-1920.	hathifiles_title
OL17679961W	Ivanhoe	Scott, Walter	1907	0	35	32	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
OL17679965W	Ivanhoe	Scott, Walter	1906	0	35	32	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
OL17679966W	Ivanhoe	Scott, Walter	1908	0	35	32	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
OL17752593W	Ivanhoe	Scott, Walter	1903	0	56	53	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
OL32133020W	Ivanhoe	Scott, Walter	1893	0	72	69	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
OL17675936W	Ivanhoe	Scott, Walter	1913	0	27	24	mdp.39015036784950|coo1.ark:/13960/t8mc9gx34|mdp.39015063951274	Ivanhoe / by Sir Walter Scott. Abridged & ed. with introd., 	Scott, Walter, 1771-1832.	hathifiles_title
