work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL13132146W	3854365	uc1.b3579164	6678368	PZ3.K631G6	Kirby, William,	Montreal;The Montreal News Company, Limited;1897	1897	cn 		To 1763 (New France);History;Canada;Fiction	The golden dog (Le chien d'or)	0.89	624	666	1.0	s	1897.0	    	1897
OL13132146W	3854365	uc2.ark+=13960=t39z98r8h	6678368	PZ3.K631G6	Kirby, William,	Montreal;The Montreal News Company, Limited;1897	1897	cn 		To 1763 (New France);History;Canada;Fiction	The golden dog (Le chien d'or)	0.89	626	668	1.0	s	1897.0	    	1897
OL1337091W	938587	mdp.39015005719326	1194988	PZ3.W817Thr	Wodehouse, P. G.	New York;George H. Doran company;c1922	1922	nyu			Three men and a maid	0.84	298	314	0.999	s	1922.0	    	1922
OL1337091W	938587	nyp.33433075762272	1194988	PZ3.W817Thr	Wodehouse, P. G.	New York;George H. Doran company;c1922	1922	nyu			Three men and a maid	0.84	298	312	1.0	s	1922.0	    	1922
OL145489W	4307435	uc1.b248764	6501581	PZ3.E486N	Elliott, Maud Howe,	Boston;Roberts brothers;1883.	1883	mau			A Newport aquarelle	0.86	246	288	1.0	s	1883.0	    	1883
OL1455038W	3997073	uc2.ark+=13960=t9c53m08v	6537383	PZ7.S7721Mo	Spyri, Johanna,	Boston;New York [etc.;Ginn & company;c1906	1906	mau			Moni the goat boy, and other stories;	0.88	210	232	1.0	s	1906.0	    	1906
OL1458276W	4727790	mdp.39015066643639	1216779	PZ3.T487To	Tinayre, Marcelle,	New York;E. P. Dutton & company;c1918	1918	nyu		World War, 1914-1918;Fiction	To arms!	0.77	250	312	1.0	s	1918.0	    	1918
OL1458276W	4727790	nyp.33433082484449	1216779	PZ3.T487To	Tinayre, Marcelle,	New York;E. P. Dutton & company;c1918	1918	nyu		World War, 1914-1918;Fiction	To arms!	0.77	252	314	1.0	s	1918.0	    	1918
OL1458276W	4727790	uc2.ark+=13960=t9183621b	1216779	PZ3.T487To	Tinayre, Marcelle,	New York;E. P. Dutton & company;c1918	1918	nyu		World War, 1914-1918;Fiction	To arms!	0.77	251	312	1.0	s	1918.0	    	1918
OL205950W	6232310	nyp.33433075743975	7671714	PZ3.S568Law 2	Sidgwick, Alfred,	New York;W. J. Watt;c1921.	1921	nyu			Law and outlaw	0.89	293	312	1.0	s	1921.0	    	1921
OL205950W	6232310	uc2.ark+=13960=t8bg2k54w	7671714	PZ3.S568Law 2	Sidgwick, Alfred,	New York;W. J. Watt;c1921.	1921	nyu			Law and outlaw	0.89	293	310	1.0	s	1921.0	    	1921
OL211519W	10291030	uc1.b3346069	7925847		Beaumont, Gerald.	New York;D. Appleton;1922.	1922	nyu			Riders up!	0.86	302	356	1.0	s	1922.0	    	1922
