work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	wk_norm	match_method	match_score
OL100195W	1	1	Free and other stories	1918	0.84	1.0	uc2.ark+=13960=fk6542jp2m	/works/OL100195W	oclc	
OL100203W	1	1	Sister Carrie	1917	0.9	1.0	uc2.ark+=13960=t1hh6d619	/works/OL100203W	oclc	
OL100236W	2	1	Jennie Gerhardt;	1911	0.84	1.0	mdp.39015004283498|uc2.ark+=13960=t3513vn8c	/works/OL100236W	oclc	
OL100237W	2	1	The financier;	1912	0.84	1.0	uc1.b4097964|uc2.ark+=13960=fk7gq6rg60	/works/OL100237W	oclc	
OL10059W	1	1	One of Cleopatra's nights	1890	0.54	1.0	uva.x001049400	/works/OL10059W	oclc	
OL101016W	2	1	The strangers' banquet	1919	0.88	1.0	mdp.39015051144932|nyp.33433074861836	/works/OL101016W	oclc	
OL101027W	1	1	The foolish matrons	1920	0.89	1.0	nyp.33433074862495	/works/OL101027W	oclc	
OL101034W	4	1	Messer Marco Polo	1921	0.71	1.0	mdp.39015031225728|mdp.49015000924275|nyp.33433074861844|uc2.ark+=13960=t7br8sw13	/works/OL101034W	oclc	
OL101106W	1	1	Virginia of Virginia	1888	0.81	1.0	uc1.b3326448	/works/OL101106W	oclc	
OL101172W	2	1	Big timber;	1916	0.89	1.0	nyp.33433076038805|uc2.ark+=13960=t8cf9m19j	/works/OL101172W	oclc	
OL101174W	2	1	Burned bridges	1919	0.89	0.999	nyp.33433076038789|uc2.ark+=13960=t2j67970w	/works/OL101174W	oclc	
OL101680W	1	1	Portia;	1883	0.88	1.0	njp.32101067646826	/works/OL101680W	oclc	
OL101695W	1	1	A little rebel	1890	0.88	0.999	mdp.39015062474864	/works/OL101695W	oclc	
OL10323746W	2	1	Fortuna	1898	0.55	1.0	nyp.33433074842257|uc1.b3578733	/works/OL10323746W	oclc	
OL10326441W	2	1	The story of Antonio	1911	0.55	1.0	nnc1.cr61099228|uc2.ark+=13960=t85h7n70c	/works/OL10326441W	oclc	
OL10329910W	3	1	Gold, gold, in Cariboo: a story of adventure in British Columbia	1894	0.86	1.0	nyp.33433075766653|uc1.b3327559|uc2.ark+=13960=t9765kf5p	/works/OL10329910W	oclc	
OL10330131W	2	1	Off to Klondyke;	1898	0.81	1.0	uc1.b3326409|uc2.ark+=13960=t34172k66	/works/OL10330131W	oclc	
OL10330192W	1	1	Border lances	1886	0.89	1.0	uc2.ark+=13960=t3dz0bf8t	/works/OL10330192W	oclc	
OL103375W	2	2	Illumination	1896	0.9	1.0	uc2.ark+=13960=t3bz62w61|mdp.39015018404783	/works/OL103375W	oclc	
OL103378W	4	1	The Copperhead	1893	0.89	1.0	mdp.39015060490110|nc01.ark+=13960=t74t7cz9b|nyp.33433076090863|uc1.b3578396	/works/OL103378W	oclc	
OL103380W	2	1	Marsena	1894	0.88	1.0	mdp.39015060490128|nc01.ark+=13960=t6ww85s0w	/works/OL103380W	oclc	
OL103385W	2	1	Marsena	1894	0.88	1.0	mdp.39015060490128|nc01.ark+=13960=t6ww85s0w	/works/OL103385W	oclc	
OL103386W	2	1	In the sixties	1897	0.89	1.0	mdp.39015007023677|uc1.b3322083	/works/OL103386W	oclc	
OL103390W	2	2	Seth's brother's wife	1886	0.89	1.0	uc1.b3322087|uc2.ark+=13960=t1fj2b771	/works/OL103390W	oclc	
OL103393W	2	1	The market-place	1899	0.9	1.0	mdp.39015063551611|nyp.33433076090905	/works/OL103393W	oclc	
OL10347019W	2	1	The adventures of Captain Mago;	1889	0.89	0.999	uc1.b80673|uc2.ark+=13960=t2h70c14b	/works/OL10347019W	oclc	
OL10365583W	1	1	The land of gold	1881	0.88	1.0	nnc1.1002204371	/works/OL10365583W	oclc	
OL10424864W	21	1	Novels of the sisters Brontë	1905	0.9	1.0	mdp.39015001788531|mdp.39015021774651|mdp.39015039759207|mdp.39015065957337|mdp.39015066586796|mdp.39015066586804|mdp.39015066586945|mdp.39015066586952|mdp.39015066586960|mdp.39015066587091|mdp.39015066587109|wu.89001093756|wu.89001262823|wu.89001262831|wu.89001262856|wu.89001262864|wu.89001262872|wu.89001262880|wu.89001262898|wu.89001262906|wu.89001262914	/works/OL10424864W	oclc	
OL10427177W	4	1	Further experiences of an Irish R. M	1908	0.88	1.0	mdp.39015006974003|nyp.33433075751655|uc2.ark+=13960=t77s7jp40|uc2.ark+=13960=t77s7mb7s	/works/OL10427177W	oclc	
OL104377W	1	1	The twenty-fourth of June	1914	0.89	1.0	mdp.39015063950235	/works/OL104377W	oclc	
OL10444804W	2	1	The two friends, and other stories	1921	0.9	1.0	uc1.b3962318|uc2.ark+=13960=t2j67kx9h	/works/OL10444804W	oclc	
OL10449613W	6	5	The blue bird	1911	0.86	1.0	uc1.b4099144|uc2.ark+=13960=t3fx7fp1f|mdp.39015010764317|mdp.39015029494583|mdp.49015000779273|nyp.33433075811350	/works/OL10449613W	oclc	
OL104559W	4	1	Rodmoor	1916	0.9	1.0	mdp.39015002709973|nyp.33433075873327|uc1.b4089300|uc2.ark+=13960=t1bk1ds53	/works/OL104559W	oclc	
OL104598W	4	1	Wood and stone	1915	0.89	1.0	mdp.39015002711185|nyp.33433075873319|uc1.b4089223|uc2.ark+=13960=t3125xz07	/works/OL104598W	oclc	
OL104643W	4	1	Miss Muffet's Christmas party	1902	0.86	0.999	mdp.39015063512746|nc01.ark+=13960=t0dv2kx1h|uc1.b4088073|uc2.ark+=13960=t7kp7vp2t	/works/OL104643W	oclc	
OL1059442W	1	1	True tales for my grandsons	1883	0.89	1.0	uc1.b248197	/works/OL1059442W	oclc	
OL106159W	2	1	The dragon of Wantley	1892	0.87	1.0	mdp.39015067088115|uc1.b4597297	/works/OL106159W	oclc	
OL106161W	3	1	The new Swiss family Robinson	1922	0.55	1.0	loc.ark+=13960=t3514vk6w|uc2.ark+=13960=fk21c1tk7z|umn.31951001638215k	/works/OL106161W	oclc	
OL106163W	1	1	The Virginian;	1904	0.89	1.0	mdp.39015010962929	/works/OL106163W	oclc	
OL1061650W	1	1	God and woman	1921	0.89	1.0	uc2.ark+=13960=t5x63f746	/works/OL1061650W	oclc	
OL1061651W	3	1	The face of the world	1919	0.85	1.0	mdp.39015030018249|uc1.$b479369|uc2.ark+=13960=t09w0c79k	/works/OL1061651W	oclc	
OL1061654W	3	1	Life	1920	0.84	1.0	mdp.39015030017902|uc1.b3118191|uc2.ark+=13960=t6sx67d1x	/works/OL1061654W	oclc	
OL1061657W	2	2	Treacherous ground	1920	0.89	1.0	uc2.ark+=13960=t1wd3st91|uiuo.ark+=13960=t2n58gm1b	/works/OL1061657W	oclc	
OL1061661W	4	3	The power of a lie	1908	0.89	1.0	uiuo.ark+=13960=t7fq9th7f|mdp.39015011325233|uc2.ark+=13960=t2n58gf13|uc2.ark+=13960=t8rb6zq9w	/works/OL1061661W	oclc	
OL1061662W	2	2	The great hunger	1920	0.83	1.0	uc2.ark+=13960=t9t14xz7p|mdp.39015030017837	/works/OL1061662W	oclc	
OL106166W	3	1	A journey in search of Christmas	1904	0.86	0.999	mdp.39015063976354|nyp.33433074795158|nyp.33433074795166	/works/OL106166W	oclc	
OL106168W	2	1	Red men and white	1896	0.88	1.0	njp.32101079836100|nyp.33433081749834	/works/OL106168W	oclc	
OL106172W	1	1	The Jimmyjohn boss, and other stories	1900	0.89	1.0	mdp.39015063975901	/works/OL106172W	oclc	
OL106173W	3	1	Lady Baltimore	1906	0.84	1.0	mdp.39015036778382|uc1.b3569321|uc2.ark+=13960=t9f47jb2d	/works/OL106173W	oclc	
OL1063780W	1	1	Red robe and grey robe; or, Richelieu defied;	1901	0.89	1.0	uc2.ark+=13960=t7rn34m5c	/works/OL1063780W	oclc	
OL1064284W	1	1	Arsène Lupin versus Herlock Sholmes	1910	0.9	1.0	mdp.39015069330739	/works/OL1064284W	oclc	
OL1064287W	1	1	The hollow needle	1910	0.86	1.0	nyp.33433075799928	/works/OL1064287W	oclc	
OL1064333W	2	1	The count's millions	1913	0.9	1.0	uc2.ark+=13960=t9g44jr2z|uiuo.ark+=13960=t3qv3g034	/works/OL1064333W	oclc	
OL1064385W	2	1	Danesbury house	1893	0.89	1.0	mdp.39015009231732|wu.89002332658	/works/OL1064385W	oclc	
OL1065761W	1	1	A crime of the under-seas	1905	0.89	1.0	uc1.$b358725	/works/OL1065761W	oclc	
OL1065767W	2	1	A millionaire's love story	1901	0.89	1.0	njp.32101066454362|nyp.33433074940218	/works/OL1065767W	oclc	
