work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL100195W	192965	uc2.ark+=13960=fk6542jp2m	1425605		Dreiser, Theodore,	New York;Boni and Liveright;1918.	1918	nyu			Free and other stories	0.84	360	376	1.0	s	1918.0	    	1918
OL101106W	625730	uc1.b3326448	7922949		Troubetzkoy, Amélie (Rives) Chanler,	New York;Harper & brothers;1888.	1888	nyu			Virginia of Virginia	0.81	217	244	1.0	s	1888.0	    	1888
OL103386W	2745852	mdp.39015007023677	326843	PZ3.F873I	Frederic, Harold,	New York;C. Scribner's sons;1897.	1897	nyu		Civil War, 1861-1865;History;United States;Fiction	In the sixties	0.89	328	348	1.0	s	1897.0	    	1897
OL103386W	2745852	uc1.b3322083	326843	PZ3.F873I	Frederic, Harold,	New York;C. Scribner's sons;1897.	1897	nyu		Civil War, 1861-1865;History;United States;Fiction	In the sixties	0.89	327	346	1.0	s	1897.0	    	1897
OL103393W	1198944	mdp.39015063551611	326842	PZ3.F873Ma	Frederic, Harold,	New York;F. A. Stokes company;c1899	1899	nyu			The market-place	0.9	422	436	1.0	s	1899.0	    	1899
OL103393W	1198944	nyp.33433076090905	326842	PZ3.F873Ma	Frederic, Harold,	New York;F. A. Stokes company;c1899	1899	nyu			The market-place	0.89	410	436	1.0	s	1899.0	    	1899
OL10444804W	3489444	uc1.b3962318	6764033	PZ3.T844Tw	Turgenev, Ivan Sergeevich,	New York;The Macmillan Company;1921.	1921	nyu			The two friends, and other stories	0.9	371	386	1.0	s	1921.0	    	1921
OL10444804W	3489444	uc2.ark+=13960=t2j67kx9h	6764033	PZ3.T844Tw	Turgenev, Ivan Sergeevich,	New York;The Macmillan Company;1921.	1921	nyu			The two friends, and other stories	0.9	369	382	1.0	s	1921.0	    	1921
OL10449613W	1150854	uc1.b4099144	6153797	PQ2625.A5O6 1911a	Maeterlinck, Maurice,	New York;Dodd, Mead;1911.	1911	nyu			The blue bird	0.83	274	296	1.0	s	1911.0	    	1911
OL10449613W	1150854	uc2.ark+=13960=t3fx7fp1f	6153797	PQ2625.A5O6 1911a	Maeterlinck, Maurice,	New York;Dodd, Mead;1911.	1911	nyu			The blue bird	0.83	275	296	1.0	s	1911.0	    	1911
OL10449613W	188955	mdp.39015029494583	1209396	PQ2625.A5O6 1910	Maeterlinck, Maurice,	New York;Dodd, Mead & company;1910.	1910	nyu			The blue bird;	0.78	208	250	1.0	s	1910.0	    	1910
OL10449613W	2560179	nyp.33433075811350	8671852		Maeterlinck, Maurice,	New York;Dodd, Mead & company;1909.	1909	nyu		Belgian drama (French)	The blue bird;	0.68	205	250	1.0	s	1909.0	    	1909
OL10449613W	16767788	mdp.39015010764317	2433052		Maeterlinck, Maurice,	New York;Dodd, Mead;1914.	1914	nyu			The blue bird	0.86	254	296	1.0	s	1914.0	    	1914
OL10449613W	24993627	mdp.49015000779273	4460179	PQ2625.A506 1911a	Maeterlinck, Maurice,	New York;Dodd, Mead and company;1911, 1919.	1911	nyu			The blue bird	0.78	243	296	1.0	t	1919.0	1911	1911
OL1061662W	599320	mdp.39015030017837	1788218		Bojer, Johan,	New York;Moffat, Yard and company;1919.	1919	nyu			The great hunger	0.83	314	342	1.0	s	1919.0	    	1919
OL1061662W	3521294	uc2.ark+=13960=t9t14xz7p	7653532		Bojer, Johan,	New York;Moffat, Yard and company;1920, c1919.	1920	xx 			The great hunger	0.83	314	336	1.0	s	1920.0	1919	1920
OL106172W	52334693	mdp.39015063975901	600700	PZ3.W768Ji	Wister, Owen,	New York;London;Harper & brothers;1900.	1900	nyu			The Jimmyjohn boss, and other stories	0.89	360	378	1.0	s	1900.0	    	1900
OL106173W	276348	mdp.39015036778382	779376		Wister, Owen,	New York;The Macmillan company;London;Macmillan & co., ltd.;1906.	1906	nyu			Lady Baltimore	0.83	403	434	1.0	s	1906.0	    	1906
OL106173W	276348	uc1.b3569321	779376		Wister, Owen,	New York;The Macmillan company;London;Macmillan & co., ltd.;1906.	1906	nyu			Lady Baltimore	0.84	404	432	1.0	s	1906.0	    	1906
OL106173W	276348	uc2.ark+=13960=t9f47jb2d	779376		Wister, Owen,	New York;The Macmillan company;London;Macmillan & co., ltd.;1906.	1906	nyu			Lady Baltimore	0.83	405	434	1.0	s	1906.0	    	1906
OL1064287W	1712600	nyp.33433075799928	8691262		Leblanc, Maurice,	New York;W. R. Caldwell;c1910.	1910	nyu		French fiction	The hollow needle	0.86	294	348	1.0	s	1910.0	    	1910
OL1065952W	273521	uc2.ark+=13960=t04x5755s	7672676		Shaw, Bernard,	New York;Brentano's;1899.	1899	nyu			Cashel Byron's profession	0.84	329	344	1.0	s	1899.0	    	1899
OL1065952W	17792121	uc2.ark+=13960=t9m32rt8c	7692439		Shaw, Bernard,	London;Constable;1909.	1909	enk			Cashel Byron's profession	0.81	281	384	1.0	r	1909.0	1889	1909
OL1065952W	9887546	mdp.39015031311619	1911498		Shaw, Bernard,	New York;Brentano's;1906	1906	nyu			Cashel Byron's profession	0.84	329	348	1.0	s	1906.0	    	1906
OL1066071W	273522	nyp.33433075747000	7672677		Shaw, Bernard,	New York;Brentano's;1918 [c1905	1918	   			The irrational knot	0.81	410	458	1.0	 	1918.0	    	1918
OL1066071W	273522	uc2.ark+=13960=t06w98z59	7672677		Shaw, Bernard,	New York;Brentano's;1918 [c1905	1918	   			The irrational knot	0.82	410	456	1.0	 	1918.0	    	1918
OL1066935W	606400	mdp.39015014459955	1375122	PS1034.R42 1900	Allen, James Lane,	New York;Macmillan;London;Macmillan and co., ltd.;1900.	1900	nyu			The reign of law	0.88	394	428	1.0	s	1900.0	    	1900
OL1066935W	606400	uc2.ark+=13960=t7gq6sf0x	1375122	PS1034.R42 1900	Allen, James Lane,	New York;Macmillan;London;Macmillan and co., ltd.;1900.	1900	nyu			The reign of law	0.76	264	424	0.999	s	1900.0	    	1900
OL1066935W	606400	wu.89072357940	1375122	PS1034.R42 1900	Allen, James Lane,	New York;Macmillan;London;Macmillan and co., ltd.;1900.	1900	nyu			The reign of law	0.89	395	426	1.0	s	1900.0	    	1900
