work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL100195W	1	1	Free and other stories	1918	0.84	1.0	uc2.ark+=13960=fk6542jp2m
OL101106W	1	1	Virginia of Virginia	1888	0.81	1.0	uc1.b3326448
OL103386W	2	1	In the sixties	1897	0.89	1.0	mdp.39015007023677|uc1.b3322083
OL103393W	2	1	The market-place	1899	0.9	1.0	mdp.39015063551611|nyp.33433076090905
OL10444804W	2	1	The two friends, and other stories	1921	0.9	1.0	uc1.b3962318|uc2.ark+=13960=t2j67kx9h
OL10449613W	6	5	The blue bird	1911	0.86	1.0	uc1.b4099144|uc2.ark+=13960=t3fx7fp1f|mdp.39015029494583|nyp.33433075811350|mdp.39015010764317|mdp.49015000779273
OL1061662W	2	2	The great hunger	1919	0.83	1.0	mdp.39015030017837|uc2.ark+=13960=t9t14xz7p
OL106172W	1	1	The Jimmyjohn boss, and other stories	1900	0.89	1.0	mdp.39015063975901
OL106173W	3	1	Lady Baltimore	1906	0.84	1.0	mdp.39015036778382|uc1.b3569321|uc2.ark+=13960=t9f47jb2d
OL1064287W	1	1	The hollow needle	1910	0.86	1.0	nyp.33433075799928
OL1065952W	3	3	Cashel Byron's profession	1899	0.84	1.0	uc2.ark+=13960=t04x5755s|uc2.ark+=13960=t9m32rt8c|mdp.39015031311619
OL1066071W	2	1	The irrational knot	1918	0.82	1.0	nyp.33433075747000|uc2.ark+=13960=t06w98z59
OL1066935W	3	1	The reign of law	1900	0.89	1.0	mdp.39015014459955|uc2.ark+=13960=t7gq6sf0x|wu.89072357940
OL1069636W	2	2	A young girl's diary	1921	0.81	1.0	mdp.39015010677816|uc2.ark+=13960=t9h41r976
OL108456W	2	1	Scaramouche;	1921	0.87	1.0	uc1.b4090081|uc2.ark+=13960=t6n012w63
OL1084997W	4	3	A happy boy	1909	0.89	1.0	uc1.b4740529|uc2.ark+=13960=t73t9h397|umn.31951d01315984z|uc2.ark+=13960=t8v981c83
OL108764W	1	1	The tale of Johnny Town-mouse	1918	0.54	0.975	mdp.39015089581832
OL108852W	1	1	Stories of Robin Hood & his merry outlaws	1904	0.87	1.0	uc2.ark+=13960=t77s7n59x
OL1088821W	1	1	A monk of Fife	1896	0.9	1.0	mdp.39015048883907
OL1088954W	3	1	In the wrong paradise	1886	0.9	1.0	mdp.39015048883873|mdp.39015048883881|uc2.ark+=13960=t9j38r93w
OL1090085W	1	1	Thirty more famous stories retold	1905	0.78	0.999	uva.x001271265
OL109135W	4	1	Denry the audacious	1911	0.89	1.0	mdp.39015031225611|nyp.33433074928965|uc1.b3875169|uc2.ark+=13960=t8cf9q761
OL109153W	1	1	The Grand Babylon Hotel	1902	0.89	1.0	mdp.49015000914888
OL109201W	3	1	The lion's share	1916	0.9	1.0	mdp.39015031225207|nyp.33433074926472|uc2.ark+=13960=t9959jk0f
OL109210W	3	1	These twain	1915	0.9	1.0	mdp.39015004743947|nyp.33433074926589|uc2.ark+=13960=t27941d98
OL109221W	3	2	The matador of the Five Towns, and other stories	1912	0.89	1.0	uc2.ark+=13960=t6057wc8c|nyp.33433074926498|uc2.ark+=13960=t7dr2sh01
OL109223W	5	1	Mr. Prohack	1922	0.89	1.0	mdp.39015025130165|mdp.39015031227633|nyp.33433074926506|uc1.b3811078|uc2.ark+=13960=t71v5cb31
OL109226W	3	1	Tales of the five towns	1905	0.86	1.0	inu.32000001172271|mdp.49015000916339|njp.32101007865775
OL109230W	2	1	Hilda Lessways	1911	0.9	1.0	mdp.39015004743954|nyp.33433074926423
OL109232W	5	3	The old Adam;	1913	0.89	1.0	mdp.39015031225140|nyp.33433074926514|uc2.ark+=13960=t48p5xj8c|uc2.ark+=13960=t88g8mj8t|mdp.39015008816954
OL109233W	1	1	Anna of the five towns	1902	0.87	1.0	nyp.33433074928882
OL109236W	2	1	The old wives' tale	1909	0.84	0.999	coo.31924013586932|coo.31924065004404
OL1096566W	4	3	The valley of shadows	1913	0.72	0.999	uc2.ark+=13960=fk83j39n2w|uva.x000609795|uc1.31158004914536|uiuo.ark+=13960=t00001h5b
OL1098394W	4	1	The three Mulla-mulgars	1919	0.82	1.0	mdp.39015065534730|nyp.33433082531447|uc1.b4087604|uc2.ark+=13960=t35145g5s
OL1098497W	3	2	The return	1910	0.89	1.0	uc2.ark+=13960=t45q4v61q|mdp.39015011331801|uc2.ark+=13960=t5db7zs8r
OL1098501W	4	2	Memoirs of a midget	1921	0.89	1.0	mdp.39015048709714|mdp.39015010296823|nyp.33433074963772|uc2.ark+=13960=t3cz3776r
OL109872W	4	2	The duke's children	1903	0.89	1.0	uc1.b4715032|uc1.b4715034|uva.x000470377|uva.x000470381
OL1099980W	1	1	An Antarctic mystery	1899	0.56	1.0	mdp.39015046862747
OL1103743W	2	2	Martin Hyde	1910	0.89	1.0	uc2.ark+=13960=t7tm74b43|uc2.ark+=13960=t0gt5hs8p
OL1103793W	3	1	Jim Davis	1912	0.89	1.0	mdp.39015011905224|nyp.33433074893466|uc2.ark+=13960=t1qf8mz1k
OL1104079W	2	1	Quinneys'	1914	0.83	1.0	uc1.b3326059|uc2.ark+=13960=t4kk9d07s
