work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	title	first_publish_year	author_names	edition_count	decade
OL100195W	1	1	Free and other stories	1918	0.84	1.0	uc2.ark+=13960=fk6542jp2m	Free And Other Stories By Theodore Dreiser	1918	Theodore Dreiser	28	1910
OL101106W	1	1	Virginia of Virginia	1888	0.81	1.0	uc1.b3326448	Virginia of Virginia	1888	Amélie Rives Troubetzkoy	17	1880
OL103386W	2	1	In the sixties	1897	0.89	1.0	mdp.39015007023677|uc1.b3322083	In the sixties	1897	Harold Frederic	16	1890
OL103393W	2	1	The market-place	1899	0.9	1.0	mdp.39015063551611|nyp.33433076090905	The market-place	1899	Harold Frederic	18	1890
OL10444804W	2	1	The two friends, and other stories	1921	0.9	1.0	uc1.b3962318|uc2.ark+=13960=t2j67kx9h	A desperate character	1899	Ivan Sergeevich Turgenev	20	1890
OL10449613W	6	5	The blue bird	1911	0.86	1.0	uc1.b4099144|uc2.ark+=13960=t3fx7fp1f|mdp.39015029494583|nyp.33433075811350|mdp.39015010764317|mdp.49015000779273	The blue bird	1909	Maurice Maeterlinck	51	1900
OL1061662W	2	2	The great hunger	1919	0.83	1.0	mdp.39015030017837|uc2.ark+=13960=t9t14xz7p	The great hunger	1919	Bojer, Johan	15	1910
OL106172W	1	1	The Jimmyjohn boss, and other stories	1900	0.89	1.0	mdp.39015063975901	The Jimmyjohn Boss and Other Stories	1900	Owen Wister	16	1900
OL106173W	3	1	Lady Baltimore	1906	0.84	1.0	mdp.39015036778382|uc1.b3569321|uc2.ark+=13960=t9f47jb2d	Lady Baltimore	1906	Owen Wister	18	1900
OL1064287W	1	1	The hollow needle	1910	0.86	1.0	nyp.33433075799928	L' aiguille creuse	1909	Maurice Leblanc	53	1900
OL1065952W	3	3	Cashel Byron's profession	1899	0.84	1.0	uc2.ark+=13960=t04x5755s|uc2.ark+=13960=t9m32rt8c|mdp.39015031311619	Cashel Byron's Profession	1886	George Bernard Shaw	53	1880
OL1066071W	2	1	The irrational knot	1918	0.82	1.0	nyp.33433075747000|uc2.ark+=13960=t06w98z59	The Irrational Knot	1905	George Bernard Shaw	39	1900
OL1066935W	3	1	The reign of law	1900	0.89	1.0	mdp.39015014459955|uc2.ark+=13960=t7gq6sf0x|wu.89072357940	Reign Of Law	1900	James Allen|James Lane Allen	27	1900
OL1069636W	2	2	A young girl's diary	1921	0.81	1.0	mdp.39015010677816|uc2.ark+=13960=t9h41r976	Tagebuch eines halbwüchsigen Mädchens	1919	Hermine Hug-Hellmuth	41	1910
