work_id	offset	size_top	n_entries	n_isbn_10	n_isbn_13	n_oclc_numbers	n_oclc_number	n_lccn	n_ocaid	n_isbn_any	n_oclc_any	n_languages	rate_isbn_10	rate_isbn_13	rate_oclc_numbers	rate_oclc_number	rate_lccn	rate_ocaid	rate_isbn_any	rate_oclc_any	rate_languages
OL100237W	0	352	50	0	48	0	0	0	2	48	0	50	0.0	0.96	0.0	0.0	0.0	0.04	0.96	0.0	1.0
OL100237W	50	352	50	2	43	1	0	1	1	43	1	44	0.04	0.86	0.02	0.0	0.02	0.02	0.86	0.02	0.88
OL100278W	0	72	50	15	19	13	0	2	10	25	13	41	0.3	0.38	0.26	0.0	0.04	0.2	0.5	0.26	0.82
OL100278W	50	72	22	15	8	9	0	5	6	15	9	15	0.6818	0.3636	0.4091	0.0	0.2273	0.2727	0.6818	0.4091	0.6818
OL1064284W	0	154	50	10	50	0	0	0	0	50	0	40	0.2	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.8
OL1064284W	50	154	50	4	43	2	0	2	1	45	2	48	0.08	0.86	0.04	0.0	0.04	0.02	0.9	0.04	0.96
OL108735W	0	159	50	35	16	17	4	17	4	35	21	46	0.7	0.32	0.34	0.08	0.34	0.08	0.7	0.42	0.92
OL108735W	50	159	50	32	19	20	1	13	5	32	21	42	0.64	0.38	0.4	0.02	0.26	0.1	0.64	0.42	0.84
OL118407W	0	80	50	0	50	0	0	0	0	50	0	50	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
OL118407W	50	80	30	3	21	5	1	4	7	22	6	29	0.1	0.7	0.1667	0.0333	0.1333	0.2333	0.7333	0.2	0.9667
OL12799W	0	86	50	4	36	0	0	0	4	36	0	36	0.08	0.72	0.0	0.0	0.0	0.08	0.72	0.0	0.72
OL12799W	50	86	36	9	22	8	0	6	8	25	8	30	0.25	0.6111	0.2222	0.0	0.1667	0.2222	0.6944	0.2222	0.8333
OL12831W	0	409	50	2	45	0	0	0	4	45	0	48	0.04	0.9	0.0	0.0	0.0	0.08	0.9	0.0	0.96
OL12831W	50	409	50	1	50	0	0	0	0	50	0	49	0.02	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.98
OL1434640W	0	68	50	25	24	10	1	5	5	26	11	35	0.5	0.48	0.2	0.02	0.1	0.1	0.52	0.22	0.7
OL1434640W	50	68	18	12	6	5	0	5	3	14	5	18	0.6667	0.3333	0.2778	0.0	0.2778	0.1667	0.7778	0.2778	1.0
OL181949W	0	66	50	15	31	10	0	4	7	32	10	39	0.3	0.62	0.2	0.0	0.08	0.14	0.64	0.2	0.78
OL181949W	50	66	16	6	6	8	0	5	5	6	8	14	0.375	0.375	0.5	0.0	0.3125	0.3125	0.375	0.5	0.875
OL1937789W	0	61	50	10	33	6	0	1	9	37	6	41	0.2	0.66	0.12	0.0	0.02	0.18	0.74	0.12	0.82
OL1937789W	50	61	11	7	3	3	1	2	3	8	4	11	0.6364	0.2727	0.2727	0.0909	0.1818	0.2727	0.7273	0.3636	1.0
OL1948704W	0	85	50	11	41	3	0	0	14	42	3	41	0.22	0.82	0.06	0.0	0.0	0.28	0.84	0.06	0.82
OL1948704W	50	85	35	27	21	20	1	3	6	31	21	31	0.7714	0.6	0.5714	0.0286	0.0857	0.1714	0.8857	0.6	0.8857
OL21077191W	0	75	50	0	48	0	0	0	0	48	0	49	0.0	0.96	0.0	0.0	0.0	0.0	0.96	0.0	0.98
OL21077191W	50	75	25	3	25	1	0	1	0	25	1	22	0.12	1.0	0.04	0.0	0.04	0.0	1.0	0.04	0.88
OL2227893W	0	72	50	19	7	12	0	13	5	19	12	46	0.38	0.14	0.24	0.0	0.26	0.1	0.38	0.24	0.92
OL2227893W	50	72	22	6	2	7	1	6	4	6	7	22	0.2727	0.0909	0.3182	0.0455	0.2727	0.1818	0.2727	0.3182	1.0
OL2239396W	0	336	50	3	5	14	1	4	7	6	15	38	0.06	0.1	0.28	0.02	0.08	0.14	0.12	0.3	0.76
OL2239396W	50	336	50	9	1	17	1	7	9	9	18	45	0.18	0.02	0.34	0.02	0.14	0.18	0.18	0.36	0.9
OL23200W	0	87	50	14	15	20	0	5	6	17	20	35	0.28	0.3	0.4	0.0	0.1	0.12	0.34	0.4	0.7
OL23200W	50	87	37	17	9	12	0	8	5	19	12	29	0.4595	0.2432	0.3243	0.0	0.2162	0.1351	0.5135	0.3243	0.7838
OL259581W	0	91	50	0	46	1	0	0	3	46	1	49	0.0	0.92	0.02	0.0	0.0	0.06	0.92	0.02	0.98
OL259581W	50	91	41	13	37	0	0	1	4	37	0	35	0.3171	0.9024	0.0	0.0	0.0244	0.0976	0.9024	0.0	0.8537
OL265984W	0	53	50	19	22	22	0	11	23	24	22	39	0.38	0.44	0.44	0.0	0.22	0.46	0.48	0.44	0.78
OL265984W	50	53	3	3	3	2	0	0	1	3	2	3	1.0	1.0	0.6667	0.0	0.0	0.3333	1.0	0.6667	1.0
OL267110W	0	141	50	3	41	8	0	0	0	41	8	48	0.06	0.82	0.16	0.0	0.0	0.0	0.82	0.16	0.96
OL267110W	50	141	50	16	37	10	0	3	3	38	10	36	0.32	0.74	0.2	0.0	0.06	0.06	0.76	0.2	0.72
OL276321W	0	130	50	4	44	3	0	2	0	45	3	45	0.08	0.88	0.06	0.0	0.04	0.0	0.9	0.06	0.9
OL276321W	50	130	50	31	34	10	1	5	11	41	11	40	0.62	0.68	0.2	0.02	0.1	0.22	0.82	0.22	0.8
OL38827W	0	147	50	2	42	4	0	0	2	43	4	46	0.04	0.84	0.08	0.0	0.0	0.04	0.86	0.08	0.92
OL38827W	50	147	50	22	42	4	0	1	3	42	4	46	0.44	0.84	0.08	0.0	0.02	0.06	0.84	0.08	0.92
OL39575W	0	131	50	0	42	2	0	0	0	42	2	44	0.0	0.84	0.04	0.0	0.0	0.0	0.84	0.04	0.88
OL39575W	50	131	50	17	31	10	0	6	3	40	10	46	0.34	0.62	0.2	0.0	0.12	0.06	0.8	0.2	0.92
OL4638367W	0	65	50	39	41	11	2	2	4	47	13	40	0.78	0.82	0.22	0.04	0.04	0.08	0.94	0.26	0.8
OL4638367W	50	65	15	12	8	6	0	1	2	12	6	15	0.8	0.5333	0.4	0.0	0.0667	0.1333	0.8	0.4	1.0
OL468564W	0	78	50	5	49	1	0	0	0	49	1	47	0.1	0.98	0.02	0.0	0.0	0.0	0.98	0.02	0.94
OL468564W	50	78	28	9	18	3	0	6	4	24	3	26	0.3214	0.6429	0.1071	0.0	0.2143	0.1429	0.8571	0.1071	0.9286
OL472073W	0	272	50	3	42	3	0	0	5	43	3	46	0.06	0.84	0.06	0.0	0.0	0.1	0.86	0.06	0.92
OL472073W	50	272	50	8	47	0	0	0	2	49	0	44	0.16	0.94	0.0	0.0	0.0	0.04	0.98	0.0	0.88
OL575625W	0	147	50	16	16	17	0	9	7	21	17	44	0.32	0.32	0.34	0.0	0.18	0.14	0.42	0.34	0.88
OL575625W	50	147	50	3	50	0	0	0	0	50	0	48	0.06	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.96
OL631009W	0	107	50	3	4	14	2	1	8	5	16	39	0.06	0.08	0.28	0.04	0.02	0.16	0.1	0.32	0.78
OL631009W	50	107	50	15	11	11	1	10	5	15	12	40	0.3	0.22	0.22	0.02	0.2	0.1	0.3	0.24	0.8
OL76578W	0	219	50	1	44	1	0	0	2	44	1	46	0.02	0.88	0.02	0.0	0.0	0.04	0.88	0.02	0.92
OL76578W	50	219	50	0	49	0	0	0	0	49	0	49	0.0	0.98	0.0	0.0	0.0	0.0	0.98	0.0	0.98
OL78359W	0	87	50	18	26	11	0	3	11	31	11	36	0.36	0.52	0.22	0.0	0.06	0.22	0.62	0.22	0.72
OL78359W	50	87	37	24	14	16	2	13	19	25	18	33	0.6486	0.3784	0.4324	0.0541	0.3514	0.5135	0.6757	0.4865	0.8919
