work_id	offset	size_top	n_entries	n_isbn_10	n_isbn_13	n_oclc_numbers	n_oclc_number	n_lccn	n_ocaid	n_isbn_any	n_oclc_any	n_languages	rate_isbn_10	rate_isbn_13	rate_oclc_numbers	rate_oclc_number	rate_lccn	rate_ocaid	rate_isbn_any	rate_oclc_any	rate_languages
OL101949W	0	24	24	17	16	8	1	3	2	21	9	20	0.7083	0.6667	0.3333	0.0417	0.125	0.0833	0.875	0.375	0.8333
OL1937666W	0	46	46	18	32	8	0	3	5	36	8	35	0.3913	0.6957	0.1739	0.0	0.0652	0.1087	0.7826	0.1739	0.7609
OL1188951W	0	16	16	3	3	4	0	4	4	3	4	13	0.1875	0.1875	0.25	0.0	0.25	0.25	0.1875	0.25	0.8125
OL4092661W	0	30	30	13	16	6	0	4	6	19	6	25	0.4333	0.5333	0.2	0.0	0.1333	0.2	0.6333	0.2	0.8333
OL3520392W	0	3	3	1	0	2	0	3	1	1	2	3	0.3333	0.0	0.6667	0.0	1.0	0.3333	0.3333	0.6667	1.0
OL260308W	0	40	40	14	37	4	0	0	2	37	4	37	0.35	0.925	0.1	0.0	0.0	0.05	0.925	0.1	0.925
OL505792W	0	7	7	0	0	3	0	2	4	0	3	4	0.0	0.0	0.4286	0.0	0.2857	0.5714	0.0	0.4286	0.5714
OL4592774W	0	12	12	1	0	7	0	3	4	1	7	9	0.0833	0.0	0.5833	0.0	0.25	0.3333	0.0833	0.5833	0.75
OL39042W	0	23	23	5	3	8	2	4	2	6	9	22	0.2174	0.1304	0.3478	0.087	0.1739	0.087	0.2609	0.3913	0.9565
OL1164756W	0	48	48	22	19	19	0	8	14	24	19	36	0.4583	0.3958	0.3958	0.0	0.1667	0.2917	0.5	0.3958	0.75
OL12799W	0	86	50	4	36	0	0	0	4	36	0	36	0.08	0.72	0.0	0.0	0.0	0.08	0.72	0.0	0.72
OL4636873W	0	16	16	14	13	2	0	3	2	14	2	15	0.875	0.8125	0.125	0.0	0.1875	0.125	0.875	0.125	0.9375
OL2883791W	0	21	21	8	10	8	1	4	4	11	8	20	0.381	0.4762	0.381	0.0476	0.1905	0.1905	0.5238	0.381	0.9524
