openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL2339087W	The Red Axe	S R Crockett	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL51141W	The Job	Sinclair Lewis	1662	100	sampled	0	0.0	0.0	5.766220834146907e-15	61.483194020010195	0	0.0	0.0	5.766220834146907e-15	61.483194020010195	0	0.0	0.0	5.766220834146907e-15	61.483194020010195	0	0.0	0.0	5.766220834146907e-15	61.483194020010195	0	0.0	0.0	5.766220834146907e-15	61.483194020010195
/works/OL81295W	Sons and Lovers	D. H. Lawrence	17	17	all_retained	15	0.8823529411764706	15.0	15.0	15.0	12	0.7058823529411765	12.0	12.0	12.0	2	0.11764705882352941	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	1	0.058823529411764705	1.0	1.0	1.0
/works/OL1794911W	McTeague	Frank Norris	4	4	all_retained	1	0.25	1.0	1.0	1.0	1	0.25	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL468488W	This Side of Paradise	F Scott Fitzgerald	21	21	all_retained	14	0.6666666666666666	14.0	14.0	14.0	14	0.6666666666666666	14.0	14.0	14.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL276470W	The Ambassadors	Henry James	57	57	all_retained	11	0.19298245614035087	11.0	11.0	11.0	9	0.15789473684210525	9.0	9.0	9.0	1	0.017543859649122806	1.0	1.0	1.0	1	0.017543859649122806	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	57	57	all_retained	54	0.9473684210526315	54.0	54.0	54.0	21	0.3684210526315789	21.0	21.0	21.0	10	0.17543859649122806	10.0	10.0	10.0	20	0.3508771929824561	20.0	20.0	20.0	3	0.05263157894736842	3.0	3.0	3.0
/works/OL82870W	The Sound and the Fury	William Faulkner	16	16	all_retained	9	0.5625	9.0	9.0	9.0	7	0.4375	7.0	7.0	7.0	2	0.125	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1797270W	Senator North	Gertrude Atherton	1	1	all_retained	1	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL98491W	The Age of Innocence	Edith Wharton	18	18	all_retained	5	0.2777777777777778	5.0	5.0	5.0	2	0.1111111111111111	2.0	2.0	2.0	2	0.1111111111111111	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	1	0.05555555555555555	1.0	1.0	1.0
/works/OL1168083W	Nineteen Eighty-Four	George Orwell	9	9	all_retained	7	0.7777777777777778	7.0	7.0	7.0	2	0.2222222222222222	2.0	2.0	2.0	2	0.2222222222222222	2.0	2.0	2.0	1	0.1111111111111111	1.0	1.0	1.0	2	0.2222222222222222	2.0	2.0	2.0
/works/OL276365W	The Portrait of a Lady	Henry James	22	22	all_retained	19	0.8636363636363636	19.0	19.0	19.0	14	0.6363636363636364	14.0	14.0	14.0	4	0.18181818181818182	4.0	4.0	4.0	0	0.0	0.0	0.0	0.0	1	0.045454545454545456	1.0	1.0	1.0
/works/OL31971259W	Heart of Darkness	Joseph Conrad	78	78	all_retained	30	0.38461538461538464	30.0	30.0	30.0	15	0.19230769230769232	15.0	15.0	15.0	8	0.10256410256410256	8.0	8.0	8.0	3	0.038461538461538464	3.0	3.0	3.0	4	0.05128205128205128	4.0	4.0	4.0
/works/OL62979W	The Sun Also Rises	Ernest Hemingway	14	14	all_retained	14	1.0	14.0	14.0	14.0	12	0.8571428571428571	12.0	12.0	12.0	2	0.14285714285714285	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL20839W	Maggie, a girl of the streets	Stephen Crane	1	1	all_retained	1	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1418251W	Tarzan of the Apes	Edgar Rice Burroughs	3	3	all_retained	3	1.0	3.0	3.0	3.0	3	1.0	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1253285W	The Scarlet Pimpernel	Emma Orczy	12	12	all_retained	8	0.6666666666666666	8.0	8.0	8.0	4	0.3333333333333333	4.0	4.0	4.0	1	0.08333333333333333	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	3	0.25	3.0	3.0	3.0
/works/OL52267W	The Time Machine	H. G. Wells	54	54	all_retained	25	0.46296296296296297	25.0	25.0	25.0	6	0.1111111111111111	6.0	6.0	6.0	0	0.0	0.0	0.0	0.0	1	0.018518518518518517	1.0	1.0	1.0	18	0.3333333333333333	18.0	18.0	18.0
