openlibrary_work_key	selection_title	selection_author	search_author_variant	ia_identifier	ia_title	ia_creator	ia_date	ia_year	ia_mediatype	ia_language	ia_publisher	ia_subject	ia_description	ia_collection	review_label	review_note
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsbyfscot0000fsco	The Great Gatsby - F. Scott Fitzgerald - The Franklin Library - Chuck Wilkinson Drawings	F. Scott Fitzgerald	1980-01-01T00:00:00Z	1980.0	texts	eng	Charles Scribner's Sons / First Edition Library			['internetarchivebooks', 'inlibrary', 'printdisabled', 'fav-uzairhyder56']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_j8z5	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	The Scribner's Sons			['internetarchivebooks', 'fav-margaret_johnston892']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsbyoneof0000unse	The Great Gatsby: One of the greatest novels of American Literature, a Masterpiece	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles scribners sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_k3x6	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby-pdf-pg-64317	The Great Gatsby PDF Pg 64317	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng		['The Great Gatsby eBook', 'Great Gatsby PDF']	The Great Gatsby book PDF pg64317 You can download this magnificent novel for free. It is in the public domain in the USA. Source: Gutenberg.org	['opensource', 'community', 'fav-april_hjorth', 'fav-breckfisk5', 'fav-dorianloll', 'fav-fatiya', 'fav-haight1968', 'fav-iliakimia', 'fav-notelas', 'fav-nsnw', 'fav-osel_fossil', 'fav-pitchaya_m', 'fav-stephen_haynes486', 'fav-strawberry_momo']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby_202104	The Great Gatsby	F. Scott Fitzgerald	1925-04-10T00:00:00Z	1925.0	texts	eng		['the great gatsby', 'novel', 'pdf', 'book']	The Great Gatsby full novel in pdf form.	['opensource', 'community', 'fav-nourah_gad-elsaied', 'fav-ramap']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco	the great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-bab_osman', 'fav-gabriel_zimmerman177', 'fav-izalda_mc_lean', 'fav-jahanzeb_shah', 'fav-misterpopcereal', 'fav-nikol_vahratoglu', 'fav-winston_tarnas']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_W9-ATV-179	The great gatsby	F. Scott Fitzgerald	1968-01-01T00:00:00Z	1968.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-EBY-971	the great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-CEI-987	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'fav-jahanzeb_shah']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-DKL-165	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'fav-mnyano']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_l9y7	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-BPA-823	the great gatsby	f. scott fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	new york: charles scribner's sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-CHQ-246	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-CGF-962	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_e7i4	The great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_u6h8	The Great Gatsby	F. Scott Fitzgerald	1968-01-01T00:00:00Z	1968.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_w7f0	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts					['internetarchivebooks']		
