openlibrary_work_key	selection_title	selection_author	selection_year	ia_identifier	retrieval_source	found_in_primary_query	author_metadata_evidence	author_creator_evidence	broad_sampling_status	ia_title	ia_creator	ia_date	ia_year	ia_publisher	ia_subject	ia_description	ia_collection	ia_language	ia_mediatype
/works/OL2339087W	The Red Axe	S R Crockett	1898	redaxecrockett00crocuoft	broad_author_evidenced	False	True	True	all_retained	The red axe	Crockett, Samuel Rutherford, 1860-1914	1898-01-01T00:00:00Z	1898	London : Macmillan		26	"[""robarts"", ""toronto"", ""university_of_toronto""]"	eng	texts
/works/OL2339087W	The Red Axe	S R Crockett	1898	redaxe01crocgoog	broad_author_evidenced	False	True	True	all_retained	The Red Axe	Samuel Rutherford Crockett	1898-01-01T00:00:00Z	1898	Harper & Bros.		Book digitized by Google from the library of the New York Public Library and uploaded to the Internet Archive by user tpb.	"[""americana""]"	English	texts
/works/OL2339087W	The Red Axe	S R Crockett	1898	redaxe02crocgoog	broad_author_evidenced	False	True	True	all_retained	The Red Axe	Samuel Rutherford Crockett	1898-01-01T00:00:00Z	1898	Harper & Bros.		Book digitized by Google from the library of Harvard University and uploaded to the Internet Archive by user tpb.	"[""americana""]"	English	texts
/works/OL2339087W	The Red Axe	S R Crockett	1898	redaxe03crocgoog	broad_author_evidenced	False	True	True	all_retained	The Red Axe	Samuel Rutherford Crockett	1898-01-01T00:00:00Z	1898	Smith, Elder and co.		Book digitized by Google from the library of the University of Michigan and uploaded to the Internet Archive by user tpb.	"[""americana""]"	English	texts
/works/OL2339087W	The Red Axe	S R Crockett	1898	redaxe00crocgoog	broad_author_evidenced	False	True	True	all_retained	The red axe	Crockett, S. R. (Samuel Rutherford), 1859-1914	1899-01-01T00:00:00Z	1899	New York ; London : Harper & Bros.		"[""Book digitized by Google and uploaded to the Internet Archive by user tpb."", ""vi pages, 1 leaf, 369, [1] pages, [26] leaves of plates : 19 cm""]"	"[""americana""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	job0000sinc	primary_and_broad	True	True	True	all_retained	the job	Sinclair Lewis	1917-01-01T00:00:00Z	1917	harper& brothers publishers			"[""internetarchivebooks"", ""fav-sonique291""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	jobamericannovel0000sinc	primary_and_broad	True	True	True	all_retained	The Job, an American Novel	Sinclair Lewis	1917-01-01T00:00:00Z	1917	Grosset & Dunlap			"[""internetarchivebooks"", ""fav-alduckling"", ""fav-jahanzeb_shah""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	workasspiritualp0000rich_x2i4	broad_author_evidenced	False	True	True	all_retained	Work as a spiritual practice : a practical Buddhist approach to inner growth and satisfaction on the job	Richmond, L. (Lewis), 1947-	1999-01-01T00:00:00Z	1999	New York : Broadway Books	"[""Religious life -- Buddhism"", ""Work -- Religious aspects -- Buddhism"", ""Buddhism -- Doctrines""]"	xii, 258 p. ; 25 cm	"[""internetarchivebooks"", ""printdisabled""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	workasspiritualp0000rich	broad_author_evidenced	False	True	True	all_retained	Work as a spiritual practice : a practical Buddhist approach to inner growth and satisfaction on the job	Richmond, L. (Lewis), 1947-	2000-01-01T00:00:00Z	2000	New York : Broadway Books	"[""Religious life -- Buddhism"", ""Work -- Religious aspects -- Buddhism"", ""Buddhism -- Doctrines""]"	"[""xii, 258 pages ; 21 cm"", ""First published in hardcover in 1999"", ""Introduction: The Shiny Blue Grasshopper -- What Is a Spiritual Practice? -- The Energy Wheel -- Conflict -- Stress -- Worry -- Anger -- Meditation -- Stagnation -- Boredom -- Failure -- Discouragement -- Inspiration -- Ambition -- Money and Time -- Forgiveness -- Quitting -- Accomplishment -- \""Control\"" -- Generosity -- Gratitude -- Power -- The Transformation of Work -- Visualizing the Workplace as Sacred""]"	"[""internetarchivebooks"", ""printdisabled"", ""fav-belamour"", ""fav-catac"", ""fav-lamiax"", ""fav-maeon"", ""fav-mgeaton"", ""fav-polalis"", ""fav-tommy303"", ""universityofthewest-ol""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	thejobanamerican25474gut	broad_author_evidenced	False	True	True	all_retained	The Job An American Novel	Lewis, Sinclair, 1885-1951				"[""New York (N.Y.) -- Fiction"", ""Women white collar workers -- Fiction""]"	Book from Project Gutenberg: The Job An American Novel Library of Congress Classification: PS	"[""gutenberg""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	jobsinclair00lewiuoft	broad_author_evidenced	False	True	True	all_retained	The job	Lewis, Sinclair, 1885-1951	1917-01-01T00:00:00Z	1917	New York Harcourt, Brace		26	"[""robarts"", ""toronto"", ""university_of_toronto"", ""fav-cwoowoo""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	funfactorunleash0000kuhn	broad_author_evidenced	False	True	False	all_retained	The fun factor : unleashing the power of humor at home and on the job	Kuhn, Clifford	2003-01-01T00:00:00Z	2003	Louisville, KY : Minerva Books	Wit and humor	"[""199 pages ; 24 cm"", ""Introduction by Jerry Lewis"", ""Making yourself a humor being -- Creating a fearless, happy family -- Trust and discipline in a fearless, fun-filled family -- Rewarding and reinforcing the fun factor in the family -- Making work not work at work -- Creating a fun factor organization -- Rewarding and reinforcing the fun factor at work -- The care and feeding of your humor nature -- The moral and spiritual guidance of the fun factor -- The fun factor amid grief and tragedy""]"	"[""internetarchivebooks"", ""inlibrary"", ""printdisabled"", ""fav-aalilian"", ""fav-christine_mueller"", ""fav-elliehepburn"", ""fav-gas_solitario_sophia_venice_l_solitario"", ""fav-loscomic""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	jobanamerican00lewirich	broad_author_evidenced	False	True	True	all_retained	The job; an American novel	Lewis, Sinclair, 1885-1951	1917-01-01T00:00:00Z	1917	New York, and London, Harper	Women white collar workers -- New York (State) New York	5 p. \U+25a1\., 3-326, [1] p. 19 cm	"[""cdl"", ""americana"", ""fav-k1stempower"", ""fav-mario_sundar"", ""fav-old_gray_egg"", ""fav-veggrrl16""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	workasspiritualp00lewi	broad_author_evidenced	False	True	True	all_retained	Work as a spiritual practice : a practical Buddhist approach to inner growth and satisfaction on the job	Richmond, L. (Lewis), 1947-	2000-01-01T00:00:00Z	2000	New York : Broadway Books	"[""Advice on careers & achieving success"", ""Buddhism"", ""Religion"", ""Religion - World Religions"", ""Buddhism - General"", ""Business Life - Inspirational"", ""Eastern - General"", ""Religion / Eastern"", ""Religious life"", ""Work""]"		"[""internetarchivebooks"", ""printdisabled"", ""fav-a_m_rao"", ""fav-akeelz77"", ""fav-alexsark"", ""fav-breeadams27"", ""fav-firstclasshaircare"", ""fav-mmdh"", ""openlibrary-d-ol""]"	eng	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	ERIC_ED263425	broad_other_sample	False	False	False	sampled	ERIC ED263425: Math on the Job. Cook.	ERIC	1985-01-01T00:00:00Z	1985		"[""ERIC Archive"", ""Career Awareness"", ""Career Education"", ""Cooking Instruction"", ""Cooks"", ""Disabilities"", ""Emotional Disturbances"", ""Enrichment Activities"", ""Learning Disabilities"", ""Mathematics Skills"", ""Mental Retardation"", ""Occupational Information"", ""Secondary Education"", ""Skill Development"", ""Special Education"", ""Work Environment""]"	This booklet is intended to help mainstreamed mentally retarded, emotionally disturbed, or learning disabled high school students acquire a basic understanding of the responsibilities and working conditions of cooks and to practice basic math skills necessary in the occupation. The first section provides a brief introduction to the occupation by focusing upon those job tasks of a cook with which the student is likely to be familiar. The next two sections deal with the work environment of the typical cook and the training, education, and experience needed for the occupation. Exercises addressing basic math skills used by cooks are provided. Various suggestions are listed for students interested in further exploring the occupation of cook. A glossary and answer sheet conclude the booklet. (MN)	"[""ericarchive"", ""usgovernmentmirrors"", ""government-documents"", ""fav-julie1005"", ""fav-juliemontgomery67"", ""fav-raj_bhargvai003"", ""fav-retiredscholar"", ""fav-shane2012"", ""fav-swswswswsw""]"	english	texts
/works/OL51141W	The Job	Sinclair Lewis	1918	ERIC_ED315591	broad_other_sample	False	False	False	sampled	ERIC ED315591: Study of the State Management of the Job Training Partnership Act.	ERIC	1989-07-01T00:00:00Z	1989		"[""ERIC Archive"", ""Case Studies"", ""Cooperative Programs"", ""Economically Disadvantaged"", ""Employment Programs"", ""Federal State Relationship"", ""Planning"", ""Program Administration"", ""Program Evaluation"", ""State Government"", ""Work Experience Programs""]"	This document reports a study that investigated state management of the Job Training Partnership Act (JTPA) Title II-A programs and the Wagner-Peyser 10 percent set-aside for program years 1985 and 1986 to identify the most effective and efficient state JTPA management practices. Following an executive summary and introduction, section 1 contains case studies of Vermont, Nebraska, Idaho, Arizona, Maryland, Georgia, and Illinois. Section 2 contains the results of a mail survey of the remaining 43 states and 7 territories, of which 36 states, the District of Columbia, and the Virgin Islands responded. Findings reported concern the following areas: (1) JTPA administrative configuration, including state JTPA configuration, management of set-aside programs, the 3 percent set-aside program, the 8 percent set-aside program, and the 10 percent set-aside program; (2) state policy makers, including the state job training coordinating councils, and state legislatures; (3) state management practices, including policy, planning, and coordination; (4) state quality assurance functions, including performance standards, management information systems, compliance and fiscal controls, training and technical assistance, and communication. The text is supplemented by 10 data tables, and an appendix contains 3 additional tables on the characteristics of the states. (CML)	"[""ericarchive"", ""usgovernmentmirrors"", ""government-documents""]"	english	texts
