openlibrary_work_key	selection_title	selection_author	selection_year	query	ia_num_found	ia_identifier	ia_title	ia_creator	ia_date	ia_year	ia_mediatype	ia_language	ia_collection
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	greatgatsbyoneof0000unse	The Great Gatsby: One of the greatest novels of American Literature, a Masterpiece	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['internetarchivebooks']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	greatgatsby0000fsco_k3x6	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	['internetarchivebooks', 'printdisabled', 'inlibrary']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	bwb_Y0-CIP-400	the great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['internetarchivebooks']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	the-great-gatsby-pdf-pg-64317	The Great Gatsby PDF Pg 64317	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['opensource', 'community', 'fav-april_hjorth', 'fav-breckfisk5', 'fav-dorianloll', 'fav-fatiya', 'fav-haight1968', 'fav-iliakimia', 'fav-notelas', 'fav-nsnw', 'fav-osel_fossil', 'fav-pitchaya_m', 'fav-stephen_haynes486', 'fav-strawberry_momo']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	the-great-gatsby_202104	The Great Gatsby	F. Scott Fitzgerald	1925-04-10T00:00:00Z	1925.0	texts	eng	['opensource', 'community', 'fav-nourah_gad-elsaied', 'fav-ramap']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	greatgatsby0000fsco	the great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['internetarchivebooks', 'fav-bab_osman', 'fav-gabriel_zimmerman177', 'fav-izalda_mc_lean', 'fav-jahanzeb_shah', 'fav-misterpopcereal', 'fav-nikol_vahratoglu', 'fav-winston_tarnas']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	bwb_W9-ATV-179	The great gatsby	F. Scott Fitzgerald	1968-01-01T00:00:00Z	1968.0	texts	eng	['internetarchivebooks', 'printdisabled', 'inlibrary']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	bwb_S0-EBY-971	the great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts		['internetarchivebooks', 'printdisabled', 'inlibrary']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	bwb_C0-CEI-987	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['internetarchivebooks', 'fav-jahanzeb_shah']
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	1925	"title:""The Great Gatsby"" AND creator:""F Scott Fitzgerald"""	115	bwb_Y0-DKL-165	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	['internetarchivebooks', 'fav-mnyano']
