work_key	title	canonical	jstor_ll_count	decade_breakdown	disc_breakdown
/works/OL11016717W	Lamb in his bosom	0	0	{}	{}
/works/OL11020633W	The story-tellers art	0	0	{}	{}
/works/OL1103740W	Dead Ned	0	0	{}	{}
/works/OL11478921W	Jack's insects	0	0	{}	{}
/works/OL1169453W	Queens of the circulating library	0	0	{}	{}
/works/OL1185375W	They call it patriotism	0	0	{}	{}
/works/OL12141196W	Swamp water	0	0	{}	{}
/works/OL12247206W	Bright days in the old plantation time	0	0	{}	{}
/works/OL12313613W	On wings of destiny	0	0	{}	{}
/works/OL1253281W	Lord Tony's Wife	0	0	{}	{}
/works/OL13132146W	The Golden Dog (le Chien D'or): A Romance of the Days of Louis Quinze in Quebec	0	0	{}	{}
/works/OL1337091W	Three Men and a Maid	0	0	{}	{}
/works/OL1337117W	Ukridge	0	0	{}	{}
/works/OL1442156W	The daring young man on the flying trapeze, and other stories	0	0	{}	{}
/works/OL1454895W	Chel	0	0	{}	{}
/works/OL145489W	A Newport aquarelle	0	0	{}	{}
/works/OL1455038W	Moni the goat boy, and other stories	0	0	{}	{}
/works/OL1458276W	To arms!	0	25	"{""1970s"": 8, ""1960s"": 10, ""1990s"": 2, ""1950s"": 1, ""1980s"": 2, ""1910s"": 1, ""2010s"": 1}"	"{""Language & Literature"": 25, ""Bibliography"": 4, ""American Studies"": 2, ""Communication Studies"": 1, ""Education"": 1}"
/works/OL147978W	The Salem frigate	0	0	{}	{}
/works/OL15150144W	Raggedy Ann stories	0	0	{}	{}
/works/OL15155626W	Walt Disney's Pinocchio	0	0	{}	{}
/works/OL151881W	On Christmas Eve	0	8	"{""2000s"": 3, ""1940s"": 1, ""1980s"": 1, ""2020s"": 1, ""1890s"": 1, ""1960s"": 1}"	"{""Language & Literature"": 8, ""Religion"": 1, ""Irish Studies"": 1, ""History"": 1}"
/works/OL1527021W	The search for the silver city	0	0	{}	{}
/works/OL1531468W	Eagle-feather	0	2	"{""1970s"": 2}"	"{""Language & Literature"": 2, ""Bibliography"": 1}"
/works/OL15381081W	This One Night	0	0	{}	{}
/works/OL15389642W	This strange adventure	0	0	{}	{}
/works/OL16087053W	The wars of Alexander	0	1	"{""1890s"": 1}"	"{""Language & Literature"": 1}"
/works/OL1639819W	The world's delight	0	0	{}	{}
/works/OL16886256W	The submarine boys and the smugglers	0	0	{}	{}
/works/OL1719790W	By the Shores of Silver Lake	0	0	{}	{}
/works/OL17647354W	Peggy Owen, patriot	0	0	{}	{}
/works/OL17665927W	Helen Carey	0	0	{}	{}
/works/OL17694368W	Stronghand	0	0	{}	{}
/works/OL17720252W	Without blemish	0	0	{}	{}
/works/OL1794902W	A Deal In Wheat And Other Stories	0	0	{}	{}
/works/OL18068696W	With Juliet in England	0	0	{}	{}
/works/OL181192W	I can get it for you wholesale	0	0	{}	{}
/works/OL183471W	The lost violin	0	0	{}	{}
/works/OL1890316W	Seraph on the Suwanee, a novel	0	0	{}	{}
/works/OL1937625W	The Uncertain Heart	0	0	{}	{}
/works/OL1948508W	Five Fall into Adventure	0	0	{}	{}
/works/OL1952550W	Hellbox	0	0	{}	{}
/works/OL1960077W	The town	0	79	"{""1960s"": 5, ""1940s"": 6, ""1920s"": 1, ""1990s"": 15, ""2020s"": 2, ""1980s"": 19, ""2000s"": 10, ""2010s"": 5, ""1970s"": 8, ""1780s"": 1, ""1930s"": 4, ""1910s"": 1, ""1880s"": 1, ""1950s"": 1}"	"{""Language & Literature"": 79, ""History"": 7, ""Asian Studies"": 4, ""Bibliography"": 3, ""American Studies"": 3, ""Irish Studies"": 3, ""Education"": 2, ""Feminist & Women's Studies"": 2, ""Religion"": 2, ""Linguistics"": 1}"
/works/OL20542159W	Rogue's March	0	0	{}	{}
/works/OL205950W	Law and outlaw	0	0	{}	{}
/works/OL20658361W	Daughter At Home	0	0	{}	{}
/works/OL20802W	Maggie, a child of the streets	0	0	{}	{}
/works/OL2103973W	Uncle Piper of Piper's Hill	0	0	{}	{}
/works/OL211519W	Riders up!	0	0	{}	{}
/works/OL22065786W	The hermit of the Culebra Mountains, or, The adventures of two schoolboys in the far West	0	0	{}	{}
/works/OL2254756W	The year of jubilo	0	0	{}	{}
/works/OL2340064W	1791: a tale of San Domingo	0	0	{}	{}
/works/OL2340244W	The art of writing & speaking the English language	0	0	{}	{}
/works/OL235776W	The perfect tribute	0	0	{}	{}
/works/OL24293W	The boy Lincoln	0	0	{}	{}
/works/OL2462434W	The Tenant of Wildfell Hall / Agnes Grey	0	0	{}	{}
/works/OL28382W	Kaleidoscope	0	0	{}	{}
/works/OL28596979W	Five Children and It, The Phoenix and the Carpet, and The Story of the Amulet	0	0	{}	{}
/works/OL2957120W	Clara Barton	0	1	"{""1910s"": 1}"	"{""Language & Literature"": 1}"
/works/OL31807554W	The shortest street	0	0	{}	{}
/works/OL32031951W	John Splendid	0	0	{}	{}
/works/OL32089695W	Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty, Queen Elizabeth	0	0	{}	{}
/works/OL32092085W	Little Miss Crosspatch	0	0	{}	{}
/works/OL32092942W	Obeying orders and other stories	0	0	{}	{}
/works/OL32093542W	Light on shadowed paths	0	0	{}	{}
/works/OL32094477W	Under the snow	0	1	"{""1970s"": 1}"	"{""Language & Literature"": 1}"
/works/OL32094618W	A pleasure book for our darlings	0	0	{}	{}
/works/OL32096254W	Favourite tales for the nursery	0	0	{}	{}
/works/OL32096272W	Mr. Lipscombe's apples	0	0	{}	{}
/works/OL32098078W	The children's band, or, The trial of Paul's faith	0	0	{}	{}
/works/OL32146508W	The voice	0	214	"{""1990s"": 45, ""2000s"": 42, ""1980s"": 24, ""1940s"": 3, ""2010s"": 44, ""1970s"": 22, ""1950s"": 3, ""1960s"": 10, ""2020s"": 6, ""1930s"": 6, ""1920s"": 2, ""1910s"": 5, ""1900s"": 2}"	"{""Language & Literature"": 214, ""Asian Studies"": 14, ""History"": 13, ""Irish Studies"": 10, ""American Studies"": 7, ""Education"": 7, ""Religion"": 7, ""Feminist & Women's Studies"": 6, ""Bibliography"": 5, ""African Studies"": 5}"
/works/OL32629549W	Helbeck of Bannisdale	0	1	"{""1890s"": 1}"	"{""Religion"": 1, ""Language & Literature"": 1, ""Irish Studies"": 1, ""History"": 1}"
/works/OL32849888W	After bread	0	0	{}	{}
/works/OL32873326W	Young Hopeful's schooldays, or, The secret of the seventh oak	0	0	{}	{}
/works/OL33119429W	Blindness	0	0	{}	{}
/works/OL33121077W	A moment of time	0	0	{}	{}
/works/OL33313504W	The moon conquerors	0	0	{}	{}
/works/OL3469691W	Women writers	0	141	"{""2010s"": 16, ""1990s"": 33, ""1980s"": 37, ""2020s"": 6, ""1950s"": 2, ""1930s"": 4, ""1970s"": 8, ""2000s"": 33, ""1910s"": 1, ""1960s"": 1}"	"{""Language & Literature"": 141, ""Feminist & Women's Studies"": 23, ""Bibliography"": 13, ""Gender Studies"": 13, ""African American Studies"": 12, ""History"": 12, ""Latin American Studies"": 7, ""Education"": 6, ""Asian Studies"": 5, ""American Studies"": 4}"
/works/OL3626132W	Bread	0	1	"{""1990s"": 1}"	"{""Language & Literature"": 1}"
/works/OL36966939W	A poor man's house	0	0	{}	{}
/works/OL39425320W	Sylvia's travels	0	0	{}	{}
/works/OL39500589W	Beverly Gray's challenge	0	0	{}	{}
/works/OL3979509W	The vicar's daughter	0	0	{}	{}
/works/OL4031984W	The fortnight in September	0	0	{}	{}
/works/OL4104751W	Seven Footprints to Satan	0	0	{}	{}
/works/OL42910541W	Polly's pension plans	0	0	{}	{}
/works/OL42924482W	The talisman	0	3	"{""1910s"": 2, ""1920s"": 1}"	"{""Language & Literature"": 3, ""History"": 2, ""Religion"": 1, ""Irish Studies"": 1, ""Slavic Studies"": 1}"
/works/OL42968384W	Friendly ocean	0	0	{}	{}
/works/OL4318055W	The mighty hunter	0	0	{}	{}
/works/OL43423236W	Dhidgerry Dhoo!	0	0	{}	{}
/works/OL43433833W	The black arrow	0	0	{}	{}
/works/OL43487171W	Quentin Durward	0	1	"{""1990s"": 1}"	"{""Language & Literature"": 1}"
/works/OL43627051W	The woman in black	0	2	"{""1990s"": 1, ""1980s"": 1}"	"{""Language & Literature"": 2}"
/works/OL43643983W	Hone tiki dialogues	0	0	{}	{}
/works/OL4416369W	Get a horse	0	0	{}	{}
/works/OL4429446W	Harbor tales down north	0	0	{}	{}
/works/OL44408764W	The green light	0	0	{}	{}
/works/OL4468874W	Marching! Marching!	0	0	{}	{}
/works/OL44944397W	The perfect leaf	0	0	{}	{}
