selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	log_jstor	log_reader	expected_log_jstor	jstor_reader_residual	jstor_residual_z
The Job	Sinclair Lewis	1918	The job	Sinclair Lewis	1905	/works/OL51141W	161	48	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	72	2		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		49	0	13	36	/works/OL51141W	40.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	/works/OL51141W	153	14	RATINGS_MAX	153	short_or_general_title|known_jstor_ambiguous_title	0.0	5.0369526024136295	0.9549274216464783	-0.9549274216464783	-0.7865013131816988
Sons and Lovers	D. H. Lawrence	1913	Sons and Lovers	Lawrence, D. H.	1913	/works/OL81295W	299	220	use_title_author	canonical_preserved	332	9	Q80771	author_variant_or_source_error		49	47	1	1	/works/OL81295W	40.0	33.0	1.0	2.0	3.0	1.0	0.8717948717948718	260.6666666666667	260.6666666666667	/works/OL81295W	39315	1546	RATINGS_MAX	39315		3.8712010109078907	10.57938683968652	2.9223417915102523	0.9488592193976384	0.7815033950895204
McTeague	Frank Norris	1899	McTeague	Frank Norris	1899	/works/OL1794911W	73	60	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	289	1	Q11772710	openalex:use_with_warning_short_title		34	34	0	0	/works/OL1794911W	40.0	27.0	1.0	4.0	6.0	2.0	0.7368421052631579	53.78947368421052	53.78947368421052	/works/OL1794911W	4670	429	UNIQUE	4670	short_or_general_title	3.5553480614894135	8.449128460502108	2.166157637164323	1.3891904243250903	1.1441708220162672
This Side of Paradise	F Scott Fitzgerald	1920	This Side of Paradise	F. Scott Fitzgerald	1920	/works/OL468488W	99	76	use_title_author	canonical_preserved	495	1	Q2581681			11	10	1	0	/works/OL468488W	40.0	22.0	2.0	6.0	7.0	3.0	0.6486486486486487	64.21621621621622	64.21621621621622	/works/OL468488W	48583	2875	YEAR_AUTH	48583		2.3978952727983707	10.791049537577411	2.9974763290739443	-0.5995810562755737	-0.49382945491975627
The Ambassadors	Henry James	1903	The Ambassadors	James, Henry	1903	/works/OL276470W	207	159	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	231	1	Q650571	author_variant_or_source_error; openalex:use_with_warning_short_title		73	69	3	1	/works/OL276470W	40.0	29.0	0.0	8.0	1.0	2.0	0.7631578947368421	157.97368421052633	157.97368421052633	/works/OL276470W	9923	464	YEAR_AUTH	9923	short_or_general_title	4.248495242049359	9.202711344811691	2.4336591955055136	1.8148360465438458	1.4947428479487546
The Great Gatsby	F Scott Fitzgerald	1925	The Great Gatsby	F. Scott Fitzgerald	1925	/works/OL35353208W	858	652	use_title_author	canonical_preserved	2	6	Q214371			107	106	1	0	/works/OL35353208W	40.0	32.0	1.0	6.0	0.0	1.0	0.8461538461538461	726.0	726.0	/works/OL35353208W	2852789	52899	YEAR_AUTH	2852789		4.672828834461906	14.863808020756771	4.443195524243736	0.22963331021817002	0.1891315464849156
The Sound and the Fury	William Faulkner	1929	The Sound and the Fury	William Faulkner	1929	/works/OL82870W	492	370	use_title_author	canonical_preserved	94	2	Q135515			95	92	1	2	/works/OL82870W	40.0	31.0	0.0	5.0	1.0	3.0	0.8378378378378378	412.2162162162162	412.2162162162162	/works/OL82870W	135300	5630	YEAR_AUTH	135300		4.532599493153256	11.815257205114566	3.3610423718221107	1.1715571213311455	0.964922771623411
The Age of Innocence	Edith Wharton	1920	The Age of Innocence	Edith Wharton	1920	/works/OL98491W	174	128	use_title_author	canonical_preserved	301	1	Q1045464			47	46	0	1	/works/OL98491W	40.0	31.0	2.0	4.0	2.0	1.0	0.8461538461538461	147.23076923076923	147.23076923076923	/works/OL98491W	116938	5178	YEAR_AUTH	116938		3.8501476017100584	11.669407710299222	3.3092697427474413	0.5408778589626171	0.44548008225748836
Nineteen Eighty-Four	George Orwell	1949	Nineteen Eighty-Four	George Orwell	1949	/works/OL1168083W	437	302	use_title_author	canonical_preserved	532	4	Q208460			20	20	0	0	/works/OL1168083W	40.0	25.0	4.0	8.0	2.0	1.0	0.7435897435897436	324.948717948718	324.948717948718	/works/OL1168083W	2125871	47197	UNIQUE	2125871	short_or_general_title	3.044522437723423	14.569692629110088	4.338792508682019	-1.294270070958596	-1.065992123951759
The Portrait of a Lady	Henry James	1881	The Portrait of a Lady	James, Henry	1881	/works/OL276365W	396	315	use_title_author	canonical_preserved	432	21	Q861017	author_variant_or_source_error		51	51	0	0	/works/OL276365W	40.0	33.0	2.0	4.0	0.0	1.0	0.8974358974358975	355.3846153846154	355.3846153846154	/works/OL276365W	60291	2153	YEAR_AUTH	60291		3.9512437185814275	11.00695470393042	3.074116828288915	0.8771268902925127	0.7224229144583448
Heart of Darkness	Joseph Conrad	1899	Heart of Darkness	Conrad, Joseph	1899	/works/OL31971259W	1005	774	use_title_author	canonical_preserved	14	1	Q129778	author_variant_or_source_error		266	255	7	4	/works/OL31971259W	40.0	28.0	3.0	4.0	2.0	3.0	0.8378378378378378	842.027027027027	842.027027027027	/works/OL31971259W	315808	10150	RATINGS_MAX	315808		5.545177444479562	12.66289287944762	3.661930128843577	1.8832473156359852	1.5510880232549817
The Sun Also Rises	Ernest Hemingway	1926	The Sun Also Rises	Ernest Hemingway	1926	/works/OL62979W	416	297	use_title_author	canonical_preserved	162	1	Q501351			42	42	0	0	/works/OL62979W	40.0	21.0	4.0	9.0	3.0	3.0	0.6756756756756757	281.0810810810811	281.0810810810811	/works/OL62979W	308432	10069	YEAR_AUTH	308432		3.7612001156935624	12.639259918837855	3.653541066508224	0.10765904918533842	0.08867059594347797
Maggie, a girl of the streets	Stephen Crane	1892	Maggie, a girl of the streets	Crane, Stephen	1893	/works/OL20839W	49	34	use_title_author	canonical_preserved	260	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		4	4	0	0	/works/OL20839W	40.0	26.0	3.0	8.0	1.0	2.0	0.7631578947368421	37.39473684210527	37.39473684210527	/works/OL20839W	6282	309	MANUAL_FIX	6282		1.6094379124341003	8.745602852402946	2.2713980340642483	-0.6619601216301481	-0.5452063613780804
Tarzan of the Apes	Edgar Rice Burroughs	1917	Tarzan of the Apes	Edgar Rice Burroughs	1912	/works/OL1418251W	17	15	use_title_author	canonical_preserved	226	2	Q655296	year_discrepancy		1	1	0	0	/works/OL1418251W	17.0	11.0	1.0	4.0	1.0	0.0	0.7058823529411765	12.0	12.0	/works/OL1418251W	33024	2025	YEAR_AUTH	33024		0.6931471805599453	10.405020129390525	2.860446321618126	-2.1672991410581806	-1.785039974620058
The Scarlet Pimpernel	Emma Orczy	1905	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	/works/OL1253285W	8	3	use_title_author	canonical_preserved	591	5	Q1249536	author_variant_or_source_error; year_discrepancy	Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.	1	1	0	0	/works/OL1253285W	8.0	1.0	1.0	6.0	0.0	0.0	0.25	2.0	2.0	/works/OL1253285W	105194	5173	UNIQUE	105194		0.6931471805599453	11.56357104963912	3.2717005884504418	-2.5785534078904964	-2.1237589322948724
The Time Machine	H. G. Wells	1895	The Time Machine	H. G. Wells	1895	/works/OL52267W	233	193	use_with_warning_risky_author	observed_risky_author_last:wells|canonical_preserved	1146	2	Q627333	openalex:use_with_warning_risky_author		23	20	3	0	/works/OL52267W	40.0	22.0	1.0	7.0	8.0	2.0	0.6052631578947368	141.02631578947367	141.02631578947367	/works/OL52267W	311720	7629	YEAR_AUTH	311720		3.044522437723423	12.649863835959538	3.657305170515403	-0.6127827327919801	-0.5047026748954181
Autobiography of Alice B Toklas	Gertrude Stein	1933	The Autobiography of Alice B. Toklas	Gertrude Stein	1933	/works/OL37277W	70	58	use_title_author	canonical_preserved	83	2	Q6618986	title_variant		6	6	0	0	/works/OL37277W	40.0	23.0	3.0	9.0	2.0	3.0	0.7027027027027027	49.18918918918919	49.18918918918919	/works/OL37277W	6663	522	UNIQUE	6663		1.9459101490553132	8.804475183846678	2.292296120701136	-0.34638597164582285	-0.2852918613410758
Martin Eden	Jack London	1909	Martin Eden	Jack London	1908	/works/OL144822W	94	75	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	168	1	Q1317839	year_discrepancy; openalex:use_with_warning_short_title		10	10	0	0	/works/OL144822W	40.0	33.0	0.0	7.0	0.0	0.0	0.825	77.55	77.55	/works/OL144822W	15636	781	UNIQUE	15636	short_or_general_title	2.3978952727983707	9.65739517984351	2.5950596691043715	-0.1971643963060008	-0.1623893639371835
The Story of an African Farm	Olive Schreiner	1883	The story of an African farm	Olive Schreiner	1883	/works/OL18561767W	74	74	use_title_author	canonical_preserved	7	2		wikidata_unresolved		8	8	0	0	/works/OL18561767W	40.0	33.0	2.0	4.0	1.0	0.0	0.875	64.75	64.75	/works/OL18561767W	1606	124	UNIQUE	1606		2.1972245773362196	7.382124365737512	1.7874000193245005	0.409824558011719	0.3375414149219551
The Mystery of the Cloomber	Arthur Conan Doyle	1889	The Mystery of Cloomber	Doyle, Arthur Conan	1895	/works/OL262473W	1	1	use_title_author	canonical_preserved	215	2	Q4449924	title_variant; author_variant_or_source_error; year_discrepancy		0	0	0	0	/works/OL262473W	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	/works/OL262473W	377	43	UNIQUE	377		0.0	5.934894195619588	1.273672420349616	-1.273672420349616	-1.049027400889886
Return Of The Soldier	Nathaniel West	1918	The Return of the Soldier	Rebecca West	1918	/works/OL27834207W	40	31	use_with_warning_risky_author	observed_risky_author_last:west|canonical_preserved	95	3	Q7760466	title_variant; author_variant_or_source_error; openalex:use_with_warning_risky_author	The source list records Nathaniel West; the matched work is Rebecca West's The Return of the Soldier.	9	9	0	0	/works/OL27834207W	40.0	28.0	1.0	5.0	2.0	4.0	0.8055555555555556	32.22222222222222	32.22222222222222	/works/OL27834207W	3659	371	UNIQUE	3659		2.302585092994046	8.205218426395412	2.0795761667287636	0.22300892626528235	0.183675543693643
Gone to Earth	Mary Webb	1917	Gone to Earth	Mary Gladys Meredith Webb	1917	/works/OL4390503W	8	6	use_title_author	canonical_preserved	15	1	Q109284453	author_variant_or_source_error		4	2	2	0	/works/OL4390503W	8.0	4.0	1.0	2.0	1.0	0.0	0.625	5.0	5.0	/works/OL4390503W	346	50	YEAR_AUTH	346		1.0986122886681096	5.849324779946859	1.2432975903005348	-0.1446853016324252	-0.1191663126981814
The Red Badge of Courage	Stephen Crane	1895	The red badge of courage	Crane, Stephen	1900	/works/OL42517032W	153	108	use_title_author	canonical_preserved	1	1	Q1219239	author_variant_or_source_error; year_discrepancy		45	45	0	0	/works/OL42517032W	40.0	27.0	2.0	5.0	3.0	3.0	0.7837837837837838	119.91891891891892	119.91891891891892	/works/OL42517032W	76073	2918	RATINGS_MAX	76073		3.828641396489095	11.239461829756003	3.156650574448446	0.671990822040649	0.5534678887634699
