selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	log_academic	log_reader	expected_log_academic	academic_reader_residual	residual_z	log_jstor	expected_log_jstor	jstor_reader_residual	jstor_residual_z
The Job	Sinclair Lewis	1918	The job	Sinclair Lewis	1905	/works/OL51141W	161	48	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	72	2		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		49	0	13	36	/works/OL51141W	40.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	/works/OL51141W	153	14	RATINGS_MAX	153	short_or_general_title|known_jstor_ambiguous_title	72	1	72	0	1.0	/works/OL51141W	72	72	0	0	1	72	0	72	2	2	api	accepted	2	0.0	5.0369526024136295	1.7789591913824045	-1.7789591913824045	-1.6685744250939525	0.0	0.9549274216464783	-0.9549274216464783	-0.7865013131816988
Sons and Lovers	D. H. Lawrence	1913	Sons and Lovers	Lawrence, D. H.	1913	/works/OL81295W	299	220	use_title_author	canonical_preserved	332	9	Q80771	author_variant_or_source_error		49	47	1	1	/works/OL81295W	40.0	33.0	1.0	2.0	3.0	1.0	0.8717948717948718	260.6666666666667	260.6666666666667	/works/OL81295W	39315	1546	RATINGS_MAX	39315		332	4	335	3	1.0090361445783131	/works/OL81295W|/works/OL29261792W|/works/OL33113237W|/works/OL16650231W	332	335	0	0	4	335	3	335	9	6	title_fallback_reviewed	accepted	9	5.567071429114299	10.57938683968652	4.579631252112431	0.9874401770018677	0.9261693205987606	3.8712010109078907	2.9223417915102523	0.9488592193976384	0.7815033950895204
McTeague	Frank Norris	1899	McTeague	Frank Norris	1899	/works/OL1794911W	73	60	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	289	1	Q11772710	openalex:use_with_warning_short_title		34	34	0	0	/works/OL1794911W	40.0	27.0	1.0	4.0	6.0	2.0	0.7368421052631579	53.78947368421052	53.78947368421052	/works/OL1794911W	4670	429	UNIQUE	4670	short_or_general_title	289	1	289	0	1.0	/works/OL1794911W	289	289	0	0	1	289	0	289	1	0	api	accepted	1	4.003498089448528	8.449128460502108	3.5031809291486695	0.5003171602998586	0.46927238250094494	3.5553480614894135	2.166157637164323	1.3891904243250903	1.1441708220162672
This Side of Paradise	F Scott Fitzgerald	1920	This Side of Paradise	F. Scott Fitzgerald	1920	/works/OL468488W	99	76	use_title_author	canonical_preserved	495	1	Q2581681			11	10	1	0	/works/OL468488W	40.0	22.0	2.0	6.0	7.0	3.0	0.6486486486486487	64.21621621621622	64.21621621621622	/works/OL468488W	48583	2875	YEAR_AUTH	48583		495	1	495	0	1.0	/works/OL468488W	495	495	0	0	1	495	0	495	1	1	api	accepted	1	4.1777081529808076	10.791049537577411	4.686587470067205	-0.5088793170863974	-0.47730325578172067	2.3978952727983707	2.9974763290739443	-0.5995810562755737	-0.49382945491975627
The Ambassadors	Henry James	1903	The Ambassadors	James, Henry	1903	/works/OL276470W	207	159	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	231	1	Q650571	author_variant_or_source_error; openalex:use_with_warning_short_title		73	69	3	1	/works/OL276470W	40.0	29.0	0.0	8.0	1.0	2.0	0.7631578947368421	157.97368421052633	157.97368421052633	/works/OL276470W	9923	464	YEAR_AUTH	9923	short_or_general_title	231	1	231	0	1.0	/works/OL276470W	231	231	0	0	1	231	0	231	1	0	api	accepted	1	5.0687386804123555	9.202711344811691	3.8839772433993316	1.184761437013024	1.1112467577748644	4.248495242049359	2.4336591955055136	1.8148360465438458	1.4947428479487546
The Great Gatsby	F Scott Fitzgerald	1925	The Great Gatsby	F. Scott Fitzgerald	1925	/works/OL35353208W	858	652	use_title_author	canonical_preserved	2	6	Q214371			107	106	1	0	/works/OL35353208W	40.0	32.0	1.0	6.0	0.0	1.0	0.8461538461538461	726.0	726.0	/works/OL35353208W	2852789	52899	YEAR_AUTH	2852789		2	3	1181	1179	590.5	/works/OL35353208W|/works/OL43595009W|/works/OL468431W	2	1181	0	0	3	1181	1179	1181	6	4	title_fallback_reviewed	accepted	6	6.588926477533519	14.863808020756771	6.74461114804486	-0.1556846705113406	-0.14602440621054202	4.672828834461906	4.443195524243736	0.22963331021817002	0.1891315464849156
The Sound and the Fury	William Faulkner	1929	The Sound and the Fury	William Faulkner	1929	/works/OL82870W	492	370	use_title_author	canonical_preserved	94	2	Q135515			95	92	1	2	/works/OL82870W	40.0	31.0	0.0	5.0	1.0	3.0	0.8378378378378378	412.2162162162162	412.2162162162162	/works/OL82870W	135300	5630	YEAR_AUTH	135300		94	1	94	0	1.0	/works/OL82870W	94	94	1	6	2	100	6	100	2	0	api	accepted	2	6.023970981916389	11.815257205114566	5.2041343954896675	0.8198365864267219	0.7689655656490548	4.532599493153256	3.3610423718221107	1.1715571213311455	0.964922771623411
The Age of Innocence	Edith Wharton	1920	The Age of Innocence	Edith Wharton	1920	/works/OL98491W	174	128	use_title_author	canonical_preserved	301	1	Q1045464			47	46	0	1	/works/OL98491W	40.0	31.0	2.0	4.0	2.0	1.0	0.8461538461538461	147.23076923076923	147.23076923076923	/works/OL98491W	116938	5178	YEAR_AUTH	116938		301	3	303	2	1.0066445182724253	/works/OL98491W|/works/OL32146717W|/works/OL36950277W	301	303	0	0	3	303	2	303	1	0	api	accepted	1	4.998770310952829	11.669407710299222	5.1304345394852575	-0.13166422853242832	-0.12349443736155417	3.8501476017100584	3.3092697427474413	0.5408778589626171	0.44548008225748836
Nineteen Eighty-Four	George Orwell	1949	Nineteen Eighty-Four	George Orwell	1949	/works/OL1168083W	437	302	use_title_author	canonical_preserved	532	4	Q208460			20	20	0	0	/works/OL1168083W	40.0	25.0	4.0	8.0	2.0	1.0	0.7435897435897436	324.948717948718	324.948717948718	/works/OL1168083W	2125871	47197	UNIQUE	2125871	short_or_general_title	532	1	532	0	1.0	/works/OL1168083W	532	532	0	0	1	532	0	532	4	0	title_fallback_reviewed	accepted	4	5.786740062086905	14.569692629110088	6.595990393201076	-0.8092503311141703	-0.7590361895522867	3.044522437723423	4.338792508682019	-1.294270070958596	-1.065992123951759
The Portrait of a Lady	Henry James	1881	The Portrait of a Lady	James, Henry	1881	/works/OL276365W	396	315	use_title_author	canonical_preserved	432	21	Q861017	author_variant_or_source_error		51	51	0	0	/works/OL276365W	40.0	33.0	2.0	4.0	0.0	1.0	0.8974358974358975	355.3846153846154	355.3846153846154	/works/OL276365W	60291	2153	YEAR_AUTH	60291		432	1	432	0	1.0	/works/OL276365W	432	432	0	0	1	432	0	432	21	17	title_fallback_reviewed	accepted	21	5.876010527955112	11.00695470393042	4.795687468603167	1.0803230593519446	1.0132888019050825	3.9512437185814275	3.074116828288915	0.8771268902925127	0.7224229144583448
