measure_1	measure_2	n	spearman_rho	p_value
OpenAlex semantic	JSTOR L&L	90	0.9157789810383221	1.2807079286580848e-36
OpenAlex semantic	Goodreads	90	0.8132443708536727	2.108279553571795e-22
OpenAlex semantic	Open Library	90	0.2483939654121468	0.0182425592184838
OpenAlex semantic	HathiTrust	90	0.007263873333932744	0.9458264194905261
JSTOR L&L	Goodreads	90	0.6480938218120654	5.01631485482359e-12
JSTOR L&L	Open Library	90	0.12518716606247154	0.23973073187974517
JSTOR L&L	HathiTrust	90	-0.028502176204466993	0.7897233736117877
Goodreads	Open Library	90	0.43246052246877925	2.0751221969584418e-05
Goodreads	HathiTrust	90	0.014288452273252704	0.893668152825942
Open Library	HathiTrust	90	0.029221339212088044	0.7845447812388583
