selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags
The Red Axe	S R Crockett	1898	The Red Axe	S. R. Crockett	1898	/works/OL2339087W	0	0	zero_title_author	canonical_preserved	28	1		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2339087W	0	0	NO_MATCH	0	
The Job	Sinclair Lewis	1918	The job	Sinclair Lewis	1905	/works/OL51141W	161	48	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	72	2		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		49	0	13	36	/works/OL51141W	40.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	/works/OL51141W	153	14	RATINGS_MAX	153	short_or_general_title|known_jstor_ambiguous_title
Sons and Lovers	D. H. Lawrence	1913	Sons and Lovers	Lawrence, D. H.	1913	/works/OL81295W	299	220	use_title_author	canonical_preserved	332	9	Q80771	author_variant_or_source_error		49	47	1	1	/works/OL81295W	40.0	33.0	1.0	2.0	3.0	1.0	0.8717948717948718	260.6666666666667	260.6666666666667	/works/OL81295W	39315	1546	RATINGS_MAX	39315	
McTeague	Frank Norris	1899	McTeague	Frank Norris	1899	/works/OL1794911W	73	60	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	289	1	Q11772710	openalex:use_with_warning_short_title		34	34	0	0	/works/OL1794911W	40.0	27.0	1.0	4.0	6.0	2.0	0.7368421052631579	53.78947368421052	53.78947368421052	/works/OL1794911W	4670	429	UNIQUE	4670	short_or_general_title
This Side of Paradise	F Scott Fitzgerald	1920	This Side of Paradise	F. Scott Fitzgerald	1920	/works/OL468488W	99	76	use_title_author	canonical_preserved	495	1	Q2581681			11	10	1	0	/works/OL468488W	40.0	22.0	2.0	6.0	7.0	3.0	0.6486486486486487	64.21621621621622	64.21621621621622	/works/OL468488W	48583	2875	YEAR_AUTH	48583	
The Ambassadors	Henry James	1903	The Ambassadors	James, Henry	1903	/works/OL276470W	207	159	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	231	1	Q650571	author_variant_or_source_error; openalex:use_with_warning_short_title		73	69	3	1	/works/OL276470W	40.0	29.0	0.0	8.0	1.0	2.0	0.7631578947368421	157.97368421052633	157.97368421052633	/works/OL276470W	9923	464	YEAR_AUTH	9923	short_or_general_title
The Great Gatsby	F Scott Fitzgerald	1925	The Great Gatsby	F. Scott Fitzgerald	1925	/works/OL35353208W	858	652	use_title_author	canonical_preserved	2	6	Q214371			107	106	1	0	/works/OL35353208W	40.0	32.0	1.0	6.0	0.0	1.0	0.8461538461538461	726.0	726.0	/works/OL35353208W	2852789	52899	YEAR_AUTH	2852789	
The Sound and the Fury	William Faulkner	1929	The Sound and the Fury	William Faulkner	1929	/works/OL82870W	492	370	use_title_author	canonical_preserved	94	2	Q135515			95	92	1	2	/works/OL82870W	40.0	31.0	0.0	5.0	1.0	3.0	0.8378378378378378	412.2162162162162	412.2162162162162	/works/OL82870W	135300	5630	YEAR_AUTH	135300	
Senator North	Gertrude Atherton	1900	Senator North	Atherton, Gertrude Franklin Horn	1900	/works/OL1797270W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	29	4		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1797270W	0	0	NO_MATCH	0	short_or_general_title
The Age of Innocence	Edith Wharton	1920	The Age of Innocence	Edith Wharton	1920	/works/OL98491W	174	128	use_title_author	canonical_preserved	301	1	Q1045464			47	46	0	1	/works/OL98491W	40.0	31.0	2.0	4.0	2.0	1.0	0.8461538461538461	147.23076923076923	147.23076923076923	/works/OL98491W	116938	5178	YEAR_AUTH	116938	
Nineteen Eighty-Four	George Orwell	1949	Nineteen Eighty-Four	George Orwell	1949	/works/OL1168083W	437	302	use_title_author	canonical_preserved	532	4	Q208460			20	20	0	0	/works/OL1168083W	40.0	25.0	4.0	8.0	2.0	1.0	0.7435897435897436	324.948717948718	324.948717948718	/works/OL1168083W	2125871	47197	UNIQUE	2125871	short_or_general_title
The Portrait of a Lady	Henry James	1881	The Portrait of a Lady	James, Henry	1881	/works/OL276365W	396	315	use_title_author	canonical_preserved	432	21	Q861017	author_variant_or_source_error		51	51	0	0	/works/OL276365W	40.0	33.0	2.0	4.0	0.0	1.0	0.8974358974358975	355.3846153846154	355.3846153846154	/works/OL276365W	60291	2153	YEAR_AUTH	60291	
Heart of Darkness	Joseph Conrad	1899	Heart of Darkness	Conrad, Joseph	1899	/works/OL31971259W	1005	774	use_title_author	canonical_preserved	14	1	Q129778	author_variant_or_source_error		266	255	7	4	/works/OL31971259W	40.0	28.0	3.0	4.0	2.0	3.0	0.8378378378378378	842.027027027027	842.027027027027	/works/OL31971259W	315808	10150	RATINGS_MAX	315808	
The Sun Also Rises	Ernest Hemingway	1926	The Sun Also Rises	Ernest Hemingway	1926	/works/OL62979W	416	297	use_title_author	canonical_preserved	162	1	Q501351			42	42	0	0	/works/OL62979W	40.0	21.0	4.0	9.0	3.0	3.0	0.6756756756756757	281.0810810810811	281.0810810810811	/works/OL62979W	308432	10069	YEAR_AUTH	308432	
Maggie, a girl of the streets	Stephen Crane	1892	Maggie, a girl of the streets	Crane, Stephen	1893	/works/OL20839W	49	34	use_title_author	canonical_preserved	260	1		author_variant_or_source_error; year_discrepancy; wikidata_unresolved		4	4	0	0	/works/OL20839W	40.0	26.0	3.0	8.0	1.0	2.0	0.7631578947368421	37.39473684210527	37.39473684210527	/works/OL20839W	6282	309	MANUAL_FIX	6282	
Tarzan of the Apes	Edgar Rice Burroughs	1917	Tarzan of the Apes	Edgar Rice Burroughs	1912	/works/OL1418251W	17	15	use_title_author	canonical_preserved	226	2	Q655296	year_discrepancy		1	1	0	0	/works/OL1418251W	17.0	11.0	1.0	4.0	1.0	0.0	0.7058823529411765	12.0	12.0	/works/OL1418251W	33024	2025	YEAR_AUTH	33024	
The Scarlet Pimpernel	Emma Orczy	1905	The Scarlet Pimpernel	Orczy, Emmuska Orczy	1900	/works/OL1253285W	8	3	use_title_author	canonical_preserved	591	5	Q1249536	author_variant_or_source_error; year_discrepancy	Emma Orczy and Emmuska Orczy are name variants; the two year fields are retained separately.	1	1	0	0	/works/OL1253285W	8.0	1.0	1.0	6.0	0.0	0.0	0.25	2.0	2.0	/works/OL1253285W	105194	5173	UNIQUE	105194	
The Time Machine	H. G. Wells	1895	The Time Machine	H. G. Wells	1895	/works/OL52267W	233	193	use_with_warning_risky_author	observed_risky_author_last:wells|canonical_preserved	1146	2	Q627333	openalex:use_with_warning_risky_author		23	20	3	0	/works/OL52267W	40.0	22.0	1.0	7.0	8.0	2.0	0.6052631578947368	141.02631578947367	141.02631578947367	/works/OL52267W	311720	7629	YEAR_AUTH	311720	
Autobiography of Alice B Toklas	Gertrude Stein	1933	The Autobiography of Alice B. Toklas	Gertrude Stein	1933	/works/OL37277W	70	58	use_title_author	canonical_preserved	83	2	Q6618986	title_variant		6	6	0	0	/works/OL37277W	40.0	23.0	3.0	9.0	2.0	3.0	0.7027027027027027	49.18918918918919	49.18918918918919	/works/OL37277W	6663	522	UNIQUE	6663	
