selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original
The Red Axe	S R Crockett	1898	The Red Axe	S. R. Crockett	1898	/works/OL2339087W	0	0	zero_title_author	canonical_preserved	28	1		openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL2339087W	0	0	NO_MATCH	0		28	1	28	0	1.0	/works/OL2339087W	28	28	0	0	1	28	0	28	1	1	title_fallback_reviewed	accepted	1
The Job	Sinclair Lewis	1918	The job	Sinclair Lewis	1905	/works/OL51141W	161	48	use_with_warning_short_title	observed_generic_short_title|short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	72	2		year_discrepancy; openalex:use_with_warning_short_title; wikidata_unresolved		49	0	13	36	/works/OL51141W	40.0	0.0	0.0	16.0	24.0	0.0	0.0	0.0	0.0	/works/OL51141W	153	14	RATINGS_MAX	153	short_or_general_title|known_jstor_ambiguous_title	72	1	72	0	1.0	/works/OL51141W	72	72	0	0	1	72	0	72	2	2	api	accepted	2
Sons and Lovers	D. H. Lawrence	1913	Sons and Lovers	Lawrence, D. H.	1913	/works/OL81295W	299	220	use_title_author	canonical_preserved	332	9	Q80771	author_variant_or_source_error		49	47	1	1	/works/OL81295W	40.0	33.0	1.0	2.0	3.0	1.0	0.8717948717948718	260.6666666666667	260.6666666666667	/works/OL81295W	39315	1546	RATINGS_MAX	39315		332	4	335	3	1.0090361445783131	/works/OL81295W|/works/OL29261792W|/works/OL33113237W|/works/OL16650231W	332	335	0	0	4	335	3	335	9	6	title_fallback_reviewed	accepted	9
McTeague	Frank Norris	1899	McTeague	Frank Norris	1899	/works/OL1794911W	73	60	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	289	1	Q11772710	openalex:use_with_warning_short_title		34	34	0	0	/works/OL1794911W	40.0	27.0	1.0	4.0	6.0	2.0	0.7368421052631579	53.78947368421052	53.78947368421052	/works/OL1794911W	4670	429	UNIQUE	4670	short_or_general_title	289	1	289	0	1.0	/works/OL1794911W	289	289	0	0	1	289	0	289	1	0	api	accepted	1
This Side of Paradise	F Scott Fitzgerald	1920	This Side of Paradise	F. Scott Fitzgerald	1920	/works/OL468488W	99	76	use_title_author	canonical_preserved	495	1	Q2581681			11	10	1	0	/works/OL468488W	40.0	22.0	2.0	6.0	7.0	3.0	0.6486486486486487	64.21621621621622	64.21621621621622	/works/OL468488W	48583	2875	YEAR_AUTH	48583		495	1	495	0	1.0	/works/OL468488W	495	495	0	0	1	495	0	495	1	1	api	accepted	1
The Ambassadors	Henry James	1903	The Ambassadors	James, Henry	1903	/works/OL276470W	207	159	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	231	1	Q650571	author_variant_or_source_error; openalex:use_with_warning_short_title		73	69	3	1	/works/OL276470W	40.0	29.0	0.0	8.0	1.0	2.0	0.7631578947368421	157.97368421052633	157.97368421052633	/works/OL276470W	9923	464	YEAR_AUTH	9923	short_or_general_title	231	1	231	0	1.0	/works/OL276470W	231	231	0	0	1	231	0	231	1	0	api	accepted	1
The Great Gatsby	F Scott Fitzgerald	1925	The Great Gatsby	F. Scott Fitzgerald	1925	/works/OL35353208W	858	652	use_title_author	canonical_preserved	2	6	Q214371			107	106	1	0	/works/OL35353208W	40.0	32.0	1.0	6.0	0.0	1.0	0.8461538461538461	726.0	726.0	/works/OL35353208W	2852789	52899	YEAR_AUTH	2852789		2	3	1181	1179	590.5	/works/OL35353208W|/works/OL43595009W|/works/OL468431W	2	1181	0	0	3	1181	1179	1181	6	4	title_fallback_reviewed	accepted	6
The Sound and the Fury	William Faulkner	1929	The Sound and the Fury	William Faulkner	1929	/works/OL82870W	492	370	use_title_author	canonical_preserved	94	2	Q135515			95	92	1	2	/works/OL82870W	40.0	31.0	0.0	5.0	1.0	3.0	0.8378378378378378	412.2162162162162	412.2162162162162	/works/OL82870W	135300	5630	YEAR_AUTH	135300		94	1	94	0	1.0	/works/OL82870W	94	94	1	6	2	100	6	100	2	0	api	accepted	2
Senator North	Gertrude Atherton	1900	Senator North	Atherton, Gertrude Franklin Horn	1900	/works/OL1797270W	0	0	zero_title_author	short_title_len_le_2|canonical_preserved	29	4		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved		0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL1797270W	0	0	NO_MATCH	0	short_or_general_title	29	1	29	0	1.0	/works/OL1797270W	29	29	0	0	1	29	0	29	4	4	api	accepted	4
The Age of Innocence	Edith Wharton	1920	The Age of Innocence	Edith Wharton	1920	/works/OL98491W	174	128	use_title_author	canonical_preserved	301	1	Q1045464			47	46	0	1	/works/OL98491W	40.0	31.0	2.0	4.0	2.0	1.0	0.8461538461538461	147.23076923076923	147.23076923076923	/works/OL98491W	116938	5178	YEAR_AUTH	116938		301	3	303	2	1.0066445182724253	/works/OL98491W|/works/OL32146717W|/works/OL36950277W	301	303	0	0	3	303	2	303	1	0	api	accepted	1
