selection_title	selection_author	selection_year	matched_title	matched_author	openlibrary_record_year	openlibrary_work_key	openalex_title_author_count	openalex_literary_terms_count	openalex_status	openalex_risk_flags	openlibrary_edition_count	hathitrust_volume_count	wikidata_qid	metadata_flags	bibliographic_note	jstor_ll_candidate_count	jstor_ll_relevant_count	jstor_ll_unclear_count	jstor_ll_unrelated_count	work_key	sampled_n	include_substantive_n	include_mention_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	scholarly_rate	estimated_scholarly_count	openalex_semantic_visibility	work_key_base	gr_ratings	gr_reviews	gr_match	reader_signal	quality_flags	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	openlibrary_edition_count_original	openlibrary_edition_count_merged	manual_matching_work_count	manual_added_edition_count	final_matching_work_count	final_merged_edition_count	final_additional_editions	openlibrary_edition_count_final	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	hathitrust_volume_count_original	academic_reader_residual	residual_z	jstor_reader_residual	jstor_residual_z	academic_reader_residual_combined	configuration	academic_reader_configuration	ol_level_exploratory	hathi_level_exploratory	configuration_3way	log_academic_openalex	z_academic_openalex	log_academic_jstor	z_academic_jstor	log_reader_goodreads	z_reader_goodreads	log_bibliographic_ol	z_bibliographic_ol	log_digitization_hathi	z_digitization_hathi
Ulysses	James Joyce	1922	Ulysses	James Joyce	1922	/works/OL35695219W	2194	1574	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	71	3	Q6511	openalex:use_with_warning_short_title		827	710	64	53	/works/OL35695219W	40.0	22.0	5.0	9.0	2.0	2.0	0.7105263157894737	1558.8947368421052	1558.8947368421052	/works/OL35695219W	88298	5202	RATINGS_MAX	88298	short_or_general_title|known_jstor_ambiguous_title	71	3	684	613	9.633802816901408	/works/OL35695219W|/works/OL38767940W|/works/OL86318W	71	684	0	0	3	684	613	684	3	1	title_fallback_reviewed	accepted	3	2.363893858774049	2.21721378179673	3.357122990413854	2.765007665106573	2.4911107234516514	academic_heavy	academic_heavy	high	high	academic_heavy__ol_high__hathi_high	7.352373621583683	1.7970903297019611	6.566672429803241	2.600994478371369	11.38848406149961	0.7086360460705274	6.529418838262226	0.9292023758618552	1.3862943611198906	0.1945508264011629
Secret Agent	Joseph Conrad	1907	The Secret Agent	Conrad, Joseph	1907	/works/OL39108W	285	225	use_title_author	canonical_preserved	335	1	Q1247666	title_variant; author_variant_or_source_error		132	129	2	1	/works/OL39108W	40.0	30.0	0.0	4.0	2.0	4.0	0.8333333333333334	237.5	237.5	/works/OL39108W	14686	976	YEAR_AUTH	14686		335	3	338	3	1.008955223880597	/works/OL43462425W|/works/OL39108W|/works/OL43882972W	335	338	0	0	3	338	3	338	1	0	api	accepted	1	1.3923054289041454	1.305912604315349	2.294723476492064	1.889989738212832	1.5979511712640906	academic_heavy	academic_heavy	high	low	academic_heavy__ol_high__hathi_low	5.474369310328396	0.8650627432671775	4.867534450455582	1.545024778530863	9.594718027753862	0.2563416750450175	5.82600010738045	0.5168577423952206	0.6931471805599453	-0.735997233902501
Robert Elsmere	Mrs. Humphry Ward	1888	Robert Elsmere	Humphry Ward	1888	/works/OL41540816W	28	20	use_with_warning_risky_author	observed_risky_author_last:ward|short_title_len_le_2|canonical_preserved	2	20	Q7344052	author_variant_or_source_error; openalex:use_with_warning_risky_author		4	4	0	0	/works/OL41540816W	28.0	16.0	2.0	5.0	3.0	2.0	0.6923076923076923	19.384615384615383	19.384615384615383	/works/OL41540816W	36	7	UNIQUE	36	short_or_general_title	2	2	5	3	2.5	/works/OL41540816W|/works/OL31949047W	2	5	0	0	2	5	3	5	20	20	title_fallback_reviewed	accepted	20	1.956417199852611	1.835021129378044	1.1607142670469557	0.9559923346709888	1.395506732024516	academic_heavy	academic_heavy	low	high	academic_heavy__ol_low__hathi_high	3.0147804685246853	-0.355597208421623	1.6094379124341005	-0.4797967869471867	3.610917912644224	-1.252461066499983	1.791759469228055	-1.8480174083842624	3.044522437723423	2.420717163798599
The Ambassadors	Henry James	1903	The Ambassadors	James, Henry	1903	/works/OL276470W	207	159	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	231	1	Q650571	author_variant_or_source_error; openalex:use_with_warning_short_title		73	69	3	1	/works/OL276470W	40.0	29.0	0.0	8.0	1.0	2.0	0.7631578947368421	157.97368421052633	157.97368421052633	/works/OL276470W	9923	464	YEAR_AUTH	9923	short_or_general_title	231	1	231	0	1.0	/works/OL276470W	231	231	0	0	1	231	0	231	1	0	api	accepted	1	1.184761437013024	1.1112467577748644	1.8148360465438456	1.4947428479487546	1.3029948028618097	academic_heavy	academic_heavy	low	low	academic_heavy__ol_low__hathi_low	5.068738680412356	0.6637538672870325	4.248495242049359	1.1603081427805455	9.202711344811693	0.1574980060471816	5.44673737166631	0.2945336175463412	0.6931471805599453	-0.735997233902501
Heart of Darkness	Joseph Conrad	1899	Heart of Darkness	Conrad, Joseph	1899	/works/OL31971259W	1005	774	use_title_author	canonical_preserved	14	1	Q129778	author_variant_or_source_error		266	255	7	4	/works/OL31971259W	40.0	28.0	3.0	4.0	2.0	3.0	0.8378378378378378	842.027027027027	842.027027027027	/works/OL31971259W	315808	10150	RATINGS_MAX	315808		14	4	1099	1085	78.5	/works/OL31971259W|/works/OL8137762W|/works/OL29000391W|/works/OL38663W	14	1099	0	0	4	1099	1085	1099	1	0	title_fallback_reviewed	accepted	1	1.1045420752229154	1.0360050230972295	1.8832473156359848	1.5510880232549815	1.2935465231761056	academic_heavy	academic_heavy	high	low	academic_heavy__ol_high__hathi_low	6.736999018018209	1.4916884181743868	5.545177444479562	1.9661621303504309	12.66289287944762	1.0299755763656246	7.003065458786462	1.2068544109277248	0.6931471805599453	-0.735997233902501
Dubliners	James Joyce	1914	Dubliners	Joyce, James	1914	/works/OL86320W	689	544	use_with_warning_short_title	short_title_len_le_2|canonical_preserved	996	7	Q459592	author_variant_or_source_error; openalex:use_with_warning_short_title		94	94	0	0	/works/OL86320W	40.0	30.0	2.0	7.0	1.0	0.0	0.8	551.2	551.2	/works/OL86320W	93509	4222	UNIQUE	93509	short_or_general_title	996	1	996	0	1.0	/works/OL86320W	996	996	0	0	1	996	0	996	7	6	title_fallback_reviewed	accepted	7	1.2964560087764463	1.216010659481593	1.323973443839591	1.0904565400395791	1.153233599760586	academic_heavy	academic_heavy	high	high	academic_heavy__ol_high__hathi_high	6.313910299496055	1.281715334082576	4.553876891600541	1.3500948303438272	11.445823661429491	0.723094106819389	6.904750769961838	1.1492222601930453	2.079441541679836	1.1250988867048268
The Heavenly Twins	Sarah Grand	1893	The Heavenly Twins	Sarah Grand	1893	/works/OL4315764W	32	26	use_title_author	canonical_preserved	17	1		wikidata_unresolved		6	6	0	0	/works/OL4315764W	32.0	18.0	0.0	9.0	2.0	3.0	0.6206896551724138	19.86206896551724	19.86206896551724	/works/OL4315764W	133	12	UNIQUE	133		17	2	18	1	1.0588235294117647	/works/OL4315764W|/works/OL16766420W	17	18	0	0	2	18	1	18	1	0	api	accepted	1	1.3292691447331686	1.2467877339247515	1.0403640127575342	0.8568689553494723	1.051828344637112	academic_heavy	academic_heavy	low	low	academic_heavy__ol_low__hathi_low	3.0379326280443677	-0.3441071116052536	1.9459101490553128	-0.2706881147686175	4.897839799950911	-0.9279663918166492	2.9444389791664403	-1.172315739999307	0.6931471805599453	-0.735997233902501
Orlando	Virginia Woolf	1928	Orlando	Virginia Woolf	1928	/works/OL39360W	431	306	use_with_warning_short_title	short_title_len_le_2|huge_phrase_with_author_check_needed|canonical_preserved	452	3	Q1629456	openalex:use_with_warning_short_title		224	59	10	155	/works/OL39360W	40.0	25.0	2.0	5.0	3.0	5.0	0.7714285714285715	332.4857142857143	332.4857142857143	/works/OL39360W	40451	2300	UNIQUE	40451	short_or_general_title|known_jstor_ambiguous_title	452	1	452	0	1.0	/works/OL39360W	452	452	0	0	1	452	0	452	3	3	api	accepted	3	1.2155751345916554	1.1401484593829434	1.161891534012454	0.9569619602083236	1.0485552097956334	academic_heavy	academic_heavy	high	high	academic_heavy__ol_high__hathi_high	5.809600028713208	1.031433116051973	4.0943445622221	1.0645075373642068	10.607871365022062	0.5118061797860349	6.115892125483034	0.6867926797256052	1.3862943611198906	0.1945508264011629
The North Star	Margaret Ellen Henry-Ruffin	1904	The North Star	M. E. Henry-Ruffin	1904	/works/OL18397742W	0	0	zero_title_author	canonical_preserved	1	0		author_variant_or_source_error; openalex:zero_title_author; wikidata_unresolved	The full author name and initials refer to the same author.	7	0	7	0		0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	/works/OL18397742W	125	12	RATINGS_MAX	125		1	1	1	0	1.0	/works/OL18397742W	1	1	0	0	1	1	0	1	0	0	none	no_current_match	0	-1.6775573909950272	-1.5734646262832337	-0.8836947478859585	-0.727832360773258	-1.1506484935282455	reader_heavy	reader_heavy	low	low	reader_heavy__ol_low__hathi_low	0.0	-1.8517910919338687	0.0	-1.4800202472911517	4.836281906951478	-0.9434880863810704	0.6931471805599453	-2.492024827585229	0.0	-1.666545294206165
The Border Legion	Zane Grey	1916	The border legion	Zane Grey	1916	/works/OL485410W	2	1	use_title_author	canonical_preserved	302	2		wikidata_unresolved		0	0	0	0	/works/OL485410W	2.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	/works/OL485410W	497	31	UNIQUE	497		302	1	302	0	1.0	/works/OL485410W	302	302	0	0	1	302	0	302	2	2	api	accepted	2	-1.2734079207746172	-1.1943927098549452	-1.3715405572928483	-1.1296339647811835	-1.1620133373180643	reader_heavy	reader_heavy	high	low	reader_heavy__ol_high__hathi_low	1.0986122886681096	-1.30656499543438	0.0	-1.4800202472911517	6.210600077024653	-0.5969566209456608	5.713732805509369	0.451046558518601	1.0986122886681096	-0.1916615135060486
