oa_id	title	year	ref_count	referenced_work_ids
W3216218181	The Gay Science by Michel Foucault	2011	0	
W2612499651	Adultery in the House of David	1992	0	
W3195872996	The painted screen+ Medium and representation in Chinese painting	1996	0	
W2589024700	Philosophy as chance	2007	0	
W2992458023	Computational Literary Studies: Participant Forum Responses, Day 2	2019	0	
W2317925553	Talk onBlown CoversFrançoise Mouly: Daniel Clowes, R. Crumb, Chris Ware May 19, 2012	2014	0	
W3000607660	'Another Tale of Rubber: A Propos of The Voyage Out'	2019	0	
W2778435910	Review of G. Necipoğlu and A. Payne (eds.) Histories of Ornament: From Global to Local	2017	0	
W3216150350	Book Review: Creepiness, by Adam Kotsko	2018	0	
W151779308	Mediation and the Object of the Book I	2011	0	
W175181986	An Incredible Shrunken History: A Response to Sean Shesgreen II	2009	0	
W2583717215	Review of Feed-Forward: On the Future of Twenty-First Century Media by Mark B.N. Hansen	2016	0	
W3180018994	Experience and the Politics of Intellectual Inquiry	1991	0	
W4234360127	Back Matter	2001	0	
W3194572250	Marc Steinberg. <i>The Platform Economy: How Japan Transformed the Consumer Internet</i>. Minneapolis: University of Minnesota Press, 2019. 297 pp.	2021	0	
W2040166630	Cultural Nationalism and Modern Manuscripts: Kingsley Amis, Saul Bellow, Franz Kafka	2013	6	W43857184|W1531834653|W2066331707|W2180404376|W4388259105|W4399131475
W2564502529	Humorlessness (Three Monologues and a Hairpiece)	2016	11	W1989426475|W2008522789|W2014831132|W2089369570|W2530004507|W2561293484|W2562648835|W4213432869|W4247629128|W4248834044|W4255449680
W2064201980	"""See: ""We Are All Neurasthenics""!"" or, the Trauma of Dada Montage"	1997	0	
W2520334094	Jennifer Raab, <i>Frederic Church: The Art and Science of Detail</i>. New Haven, Conn.: Yale University Press, 2015. 240 pp.	2016	0	
W3146352062	Excerpts from Memory	2006	0	
W1982709387	Clare and the Place of the Peasant Poet	1987	0	
W2085028567	Reply to Lawrence W. Hyman	1980	0	
W1991398074	The Psychoanalytical Method and the Disaster of Totalitarianism: Borderline States as the Psychical Equivalent of the Discontent in Civilization?	2014	7	W1614549126|W2476741948|W3014975356|W3048629458|W4234479998|W4234590708|W4245443370
W2048056531	Theories of Desire: Antigone Again	2010	1	W4301430210
W1982889892	“What Is Cinema?” An Agnostic Answer	2008	4	W2056138263|W2312645783|W4213427504|W4235887218
W2025146585	From Information Theory to French Theory: Jakobson, Lévi-Strauss, and the Cybernetic Apparatus	2011	27	W74310930|W653827548|W1516659678|W1601400566|W1725430864|W1978120551|W1986219942|W1990818996|W1994534414|W2019285860|W2042418006|W2043794033|W2059714158|W2140971659|W2142816925|W2314715977|W2501391238|W3000685190|W3143583916|W4205365964|W4210650289|W4211013278|W4231669222|W4239696031|W4249121506|W4253643445|W4388225403
W2519258457	Cognitive Assemblages: Technical Agency and Human Interactions	2016	15	W589722103|W1982364272|W1995874547|W2003695338|W2031784369|W2045212684|W2063692519|W2156977072|W2166903844|W2435559319|W2528336833|W2896342372|W4237783086|W4249304898|W4388174267
W1969045154	"Representation, Conversion, and Literary Form: ""Harrington"" and the Novel of Jewish Identity"	1989	0	
W3143516618	"A Neglected Tradition? Art History as ""Bildwissenschaft"""	2003	0	
W2079686860	"""Que Faire?"" Reconsidering Inventions of Africa"	1992	0	
W2604856387	Kristin Ross. <i>Communal Luxury: The Political Imaginary of the Paris Commune</i>. London: Verso, 2015. 156 pp.	2017	0	
W2092501550	Progress Revisited: Adorno's Dialogue with Augustine, Kant, and Benjamin	2013	2	W3150616245|W6793290065
W2168610630	The Tyranny of Things (Trivia in Karl Marx and Mark Twain)	2002	6	W2006911434|W4236064107|W4239775131|W4252318229|W4299583930|W4393293704
W4250788163	Notice to Contributors	2011	0	
W1992766039	Rhapsodies on a Cat-Piano, or Johann Christian Reil and the Foundations of Romantic Psychiatry	1998	0	
W4292656065	Seamus Deane. <i>Small World: Ireland 1798–2018</i>. New York: Cambridge University Press, 2021. 364 pp.	2022	0	
W4243982117	""" "" (Quotation Marks)"	1999	0	
W2012163183	These Are the Times We Have to Live in: An Interview with Roberto Fernández Retamar	1995	0	
W2033540293	The Erotics of Irishness	1990	0	
W2755040196	Disfigurations: Erich Auerbach’s Theory of<i>Figura</i>	2017	16	W1977414569|W2014827575|W2027289188|W2143883945|W2319483849|W2323382007|W2797003487|W2800482766|W2915539132|W4206440645|W4233340942|W4242195243|W4244202864|W4253317687|W4361747931|W6609913634
W4280538824	Craig Dworkin. <i>Dictionary Poetics: Toward a Radical Lexicography</i>. New York: Fordham University Press, 2020. 272 pp.	2022	0	
W4246787292	Front Matter	1998	0	
W3143186568	On Kuhn's Case: Psychoanalysis and the Paradigm	2007	0	
W4232755478	Back Matter	1993	0	
W3143542674	The Shadow on the Picture: Of Evil or the Negative	2005	0	
W2019954699	Editors' Introduction: Questions of Evidence	1992	0	
W1971534669	Reply to Drucilla Cornell	1999	0	
