author_key	work_count
OL1001635A	1
OL10018109A	1
OL1001882A	1
OL1002612A	1
OL10027662A	1
OL1004630A	1
OL1005396A	1
OL1006075A	2
OL10087675A	1
OL1010397A	1
OL1010980A	1
OL10126989A	1
OL10130150A	1
OL1013029A	1
OL10147917A	1
OL10149651A	1
OL10184015A	1
OL10226233A	1
OL10240A	9
OL10287926A	1
OL10306172A	1
OL10306216A	1
OL10306291A	1
OL10306451A	1
OL10311369A	1
OL1034117A	1
OL10345300A	2
OL10354233A	2
OL1036325A	1
OL1036345A	1
OL1036952A	1
OL1037722A	1
OL1041617A	1
OL1043740A	1
OL10443087A	1
OL1046213A	2
OL1049393A	2
OL1049850A	1
OL10508283A	1
OL1050930A	4
OL1051348A	1
OL10521381A	1
OL105306A	1
OL1053294A	1
OL10537782A	1
OL10537783A	2
OL10546352A	1
OL1055237A	2
OL10565676A	1
OL10572934A	1
OL10572935A	1
OL1057958A	6
OL10600724A	1
OL10604823A	1
OL10605530A	1
OL10614017A	1
OL10660660A	1
OL10673573A	1
OL107138A	1
OL1073155A	1
OL10733810A	1
OL10736946A	1
OL1074222A	2
OL1074728A	1
OL1076999A	3
OL107877A	2
OL10788427A	1
OL107911A	6
OL108017A	2
OL108022A	6
OL1080857A	1
OL1082324A	2
OL10829917A	1
OL10844193A	1
OL10844194A	1
OL108452A	1
OL10869177A	2
OL10869695A	1
OL1088118A	1
OL10881575A	1
OL10888029A	1
OL10912398A	1
OL1096827A	1
OL10968A	4
OL1097266A	8
OL1098429A	1
OL1099961A	1
OL11045853A	1
OL1105629A	4
OL110720A	1
OL11138766A	1
OL11174200A	1
OL1122052A	3
OL1123475A	1
OL1123886A	1
OL1125093A	1
OL1126014A	1
OL1127001A	1
OL1127193A	1
OL1127231A	9
OL11275419A	1
OL112761A	1
OL112763A	1
OL112965A	1
OL112971A	4
OL1130282A	1
OL1130328A	2
OL113271A	10
OL11334217A	1
OL113362A	2
OL113438A	1
OL11347256A	1
OL11350761A	1
OL1135387A	1
OL113574A	6
