OL1001635A	Peter Cheyney
OL10018109A	Hephell
OL1001882A	Thomas Handforth
OL1002612A	Maureen Daly
OL10027662A	paula garcia
OL1004630A	Geoffrey Household
OL1005396A	Elizabeth George Speare
OL1006075A	Armstrong Sperry
OL10087675A	Dario Rigoni
OL1010397A	Fannie Hurst
OL1010980A	Wayne F. Cooper
OL10126989A	Joseph Jacobs
OL10130150A	Henry Mills 1836-1919 Alden
OL1013029A	Caroline M. Kirkland
OL10147917A	Louise Varèse
OL10149651A	Benito Pérez Galdós
OL10184015A	Kan-ichi Ando
OL10226233A	Charles M. Sheldon
OL10240A	Ivan Sergeevich Turgenev
OL10287926A	Benito Galdós
OL10306172A	Van Dene
OL10306216A	A. Orage
OL10306291A	A. Tuccillo
OL10306451A	Samuel Hopkins Samuel Hopkins Adams
OL10311369A	Gladys Acosta
OL1034117A	George Douglas Brown
OL10345300A	Brian Stableford
OL10354233A	Harold Eldridge
OL1036325A	Clarence Budington Kelland
OL1036345A	Leonora Blanche Lang
OL1036952A	Henry Blake Fuller
OL1037722A	Basil King
OL1041617A	Vaughan Kester
OL1043740A	Peter B. Kyne
OL10443087A	Jacobs, Ed, Joseph
OL1046213A	Евгений Петрович Петров
OL1049393A	Joseph Hergesheimer
OL1049850A	Montague Glass
OL10508283A	Charles Henri Ford
OL1050930A	Frank Yerby
OL1051348A	C. V. Jamison
OL10521381A	Johnny Lorenz
OL105306A	Amitav Ghosh
OL1053294A	Ann Bridge
OL10537782A	Robert de Young
OL10537783A	Franke, Henry G., 3rd
OL10546352A	Casper Van Dien
OL1055237A	Violet M. Firth (Dion Fortune)
OL10565676A	George Y. Coffin
OL10572934A	Cloudesley Shovell Henry 1863 Brereton
OL10572935A	Fred [From Old Catalog] Joint Rothwell
OL1057958A	Gladys Mitchell
OL10600724A	Stephen Crane
OL10604823A	H. Devill Welsh
OL10605530A	Elizabeth Shippen Green
OL10614017A	Elizabeth Stuart Phelps
OL10660660A	John Steinbeck
OL10673573A	Juan Jose Cela
OL107138A	Bojer, Johan
OL1073155A	Elizabeth janet Gray
OL10733810A	Anna Katharine Green
OL10736946A	Harriet Stowe
OL1074222A	Pauline E. Hopkins
OL1074728A	T. S. Stribling
OL1076999A	Israel Joshua Singer
OL107877A	Guy Boothby
OL10788427A	facundo meza
OL107911A	George Bernard Shaw
OL108017A	James Allen
OL108022A	Howard Fast
OL1080857A	Alfred Henry Lewis
OL1082324A	Garrett Putman Serviss
OL10829917A	Leslie H Woodson
OL10844193A	Stanley L. Sharp
OL10844194A	Alfred P. Donhauser
OL108452A	Sigmund Freud
OL10869177A	B. McCahill
OL10869695A	Jessie Mcdermot
OL1088118A	David Unger
OL10881575A	Ardeshir Eyzdagird
OL10888029A	J. J. Cameron
OL10912398A	Joseph Joseph Jacobs
OL1096827A	Zona Gale
OL10968A	Walter Pater
OL1097266A	Robert Graves
OL1098429A	Hermine Hug-Hellmuth
OL1099961A	Mary Raymond Shipman Andrews
OL11045853A	Ohn Kendrick Bangs
OL1105629A	Helen Wells
OL110720A	Isabella L. Bird
OL11138766A	H. Rider Haggardh Rider
OL11174200A	Edward Elmer  Smith
OL1122052A	Norah Lofts
OL1123475A	John P. Marquand
OL1123886A	George Herriman
OL1125093A	Denton Welch
OL1126014A	Will Levington Comfort
OL1127001A	Susan Coolidge
OL1127193A	Henry Wade
OL1127231A	Meredith Nicholson
OL11275419A	Marcel Misset
OL112761A	Bjørnstjerne Bjørnson
OL112763A	Sara Jeannette Duncan
OL112965A	George William Curtis
OL112971A	James Baldwin
OL1130282A	Ruth Plumly Thompson
OL1130328A	Julie Campbell
OL113271A	Richard Harding Davis
OL11334217A	John Kendrick John Kendrick Bangs
OL113362A	Charlotte Brontë
OL113438A	Francis Grierson
OL11347256A	John Kendrick Bangs
OL11350761A	John Bangs
OL1135387A	Iris Bromige
OL113574A	Walter De la Mare
OL11358104A	E. R. Burroughs
OL113611A	Jules Verne
OL113828A	Elizabeth Cleghorn Gaskell
OL113831A	John Masefield
OL113867A	John Mason Neale
OL1138857A	Walter Greenwood
OL113923A	Prosper Mérimée
OL113959A	James Russell Lowell
OL114007A	Jane Addams
OL114035A	Jules Romains
OL114093A	Robert Frost
OL114139A	Oliver Wendell Holmes, Sr.
OL1141800A	Chester Himes
OL1143022A	Garth Williams
OL114355A	William Hale White
OL11436451A	Norman (1868-1952) Douglas
OL11440261A	Clark, Barrett H.; Lieber, Maxim
OL114410A	John Burroughs
OL114411A	Herbert Allen Giles
OL114413A	S. Weir Mitchell
OL11445342A	Ernest Hemingway
OL11452057A	Kahil Gibran
OL11463649A	Ernest Kellogg Gann
OL11467733A	Barrett H. & Maxim Lieber Clark
OL11467868A	CS Forester
OL11501283A	Norman [1868 - 1952] Douglas
OL1151228A	Nikolay Ostrovsky
OL115231A	Bret Harte
OL11528567A	Clark, Barrett H. / Lieber, Maxim
OL11529351A	Barrett H. and Maxim Lieber Clark
OL11537601A	norman douglas
OL115388A	Stewart Edward White
OL11545772A	Dee Browne
OL11551096A	C.S.Forester
OL115550A	Brander Matthews
OL11555212A	Bronte, C, E, And A,
OL1155711A	Karel Čapek
OL11557647A	Clark & Lieber
OL1156265A	Margaret Kennedy
OL115794A	Richard Aldington
OL11583609A	No Illustrations Schweikert
OL115895A	André Maurois
OL116017A	Ivan Aleksandrovich Goncharov
OL1161315A	Myra Kelly
OL116161A	Eduard Mörike
OL116256A	T. S. Eliot
OL116284A	David Belasco
OL1163700A	Freeman Wills Crofts
OL116405A	E. A. Wallis Budge
OL116544A	Algernon Charles Swinburne
OL116645A	Hugh Walpole
OL1168432A	Alfred John Church
OL117166A	James Stephens
OL117225A	Charles Williams
OL117245A	C. L. R. James
OL1173056A	Rackham Holt
OL117350A	Osbert Sitwell
OL1173641A	Bertha von Suttner
OL117443A	Emil Ludwig
OL117592A	Jean-Paul Sartre
OL117615A	Jan Struther
OL117687A	J. B. Priestley
OL117691A	Francis Brett Young
OL117830A	Carl Sandburg
OL117832A	Erskine Caldwell
OL11783714A	manuel bazan
OL117936A	Elizabeth Robins
OL117938A	Bagnold, Enid.
OL117A	Максим Горький
OL118077A	George Orwell
OL11809381A	J. R. Flanagan
OL118139A	Jakob Wassermann
OL1181455A	Owen Johnson
OL1181471A	John Ames Mitchell
OL1181660A	Edwin Balmer
OL1181672A	William Wallace Cook
OL1181925A	Jackson Gregory
OL118514A	Arkell, Reginald
OL118734A	Dennis Wheatley
OL1189026A	Thomas Henry
OL118929A	Richard Jefferies
OL119019A	Bernard Augustine De Voto
OL1190277A	Humphrey Cobb
OL119096A	W. M. Smart
OL119416A	Jean de Brunhoff
OL1195114A	Richard Connell
OL1195237A	Agnes Smedley
OL1195429A	Mabel Collins
OL11961050A	Hugh (ed.) Walker
OL119715A	Colette
OL119737A	Lion Feuchtwanger
OL1197683A	Anthony Boucher
OL1199434A	H. De Vere Stacpoole
OL120118A	Edwin Muir
OL120151A	Jorge Icaza
OL120197A	Charles de Gaulle
OL120205A	Marcel Proust
OL1203442A	Magdalen King-Hall
OL120346A	Barrett Harper Clark
OL120498A	Henry Green
OL1205617A	Winifred Holtby
OL1206311A	Frank H. Spearman
OL1206709A	Alice Caldwell Hegan Rice
OL120803A	Cecil Day-Lewis
OL1208155A	Amélie Rives Troubetzkoy
OL120927A	"BB,"
OL120957A	Vercors
OL12101716A	Pauline E. Hopkins
OL121249A	Eric Linklater
OL121323A	Carolyn Wells
OL121432A	James Hanley
OL121699A	Max Aub
OL121760A	Neil Miller Gunn
OL121846A	Ivy Compton-Burnett
OL1219541A	C. J. Cutcliffe Hyne
OL1219913A	上田 秋成
OL12199714A	H. van Dyke
OL122037A	Jean Giraudoux
OL122114A	Ludwig Renn
OL122169A	Erich Maria Remarque
OL1221883A	Rolf Boldrewood
OL122269A	Mariano Azuela
OL12231776A	J. Steinbeck
OL122610A	Warwick Deeping
OL12267574A	BARRETT H. CLARK
OL122737A	Alberto Blest Gana
OL12296721A	Douglas, Norman Petrina, Carlotta,
OL123122A	John Dos Passos
OL123123A	Warner, Rex
OL12329849A	Austin Mary Hunter
OL123298A	Franz Werfel
OL12330317A	Thurfrida Wake
OL12332082A	Ernest Alfred Ernest Alfred Vizetelly
OL1234731A	Taylor Caldwell
OL1236078A	Ruth Goode
OL1238361A	John Horne Burns
OL1238430A	Stendahl.
OL12392137A	H. Rider Haggard
OL12397103A	H. Rider Haggard
OL123987A	Adalbert Stifter
OL1240736A	Ross Lockridge
OL124130A	Henry Lawson
OL124171A	Albert Camus
OL1242256A	John Brown
OL124284A	Aleksandr Fadeev
OL124559A	Jeremias Gotthelf
OL124895A	Pierre Louÿs
OL12490069A	Miguel Angel Asturias
OL124945A	Ignazio Silone
OL124948A	A. E. Coppard
OL124990A	E. C. R. Lorac
OL12500372A	(From the Richard Evelyn Byrd Library w/ family bookplate)
OL12501520A	'Sapper'.
OL12506623A	h schweikert
OL12513862A	A Bierce
OL12526479A	Xènia Dyakonova
OL125391A	Georges Simenon
OL12540483A	Carlos Rubio lópez de la Llave
OL12540536A	José Luis Haering
OL12540649A	Miguel Ángel Asturias
OL12544755A	Ana María de la Fuente Rodríguez
OL12550140A	F. S. Fitzgerald
OL12551935A	Guzmán
OL12551936A	Martín Luis
OL12552719A	Montserrat Lunati Maruny
OL12561091A	Blanca Torrents
OL12564902A	Josef Weinberger
OL12564903A	Dóra Bakucz
OL1256608A	Hildegarde Hoyt Swift
OL1256632A	Helen Eustis
OL125711A	Heinrich Mann
OL125835A	Léon Frapié
OL12583619A	Zinc Read
OL12593830A	Nagi Yoshizaki
OL126038A	Jorge Leal Amado de Faria
OL126173A	Константин Михайлович Симонов
OL126252A	Albrecht Goes
OL126332A	Josef Čapek
OL12645568A	Asturias M.A.
OL126467A	Robert Smythe Hichens
OL126562A	Baroness Emmuska Orczy
OL126562A	Emma Orczy
OL12665130A	Joan Fontana Tous
OL12665131A	Joan Fontana Tous
OL126749A	Gérard de Nerval
OL12696098A	Ignacio Vidal-Folch Balanzo
OL12696099A	Ignacio Vidal-Folch Balanzo
OL126969A	Jim Kjelgaard
OL12697695A	Ainhoa Lozano Antoñana
OL12697696A	Ainhoa Lozano Antoñana
OL127193A	Guillaume Apollinaire
OL127321A	Julien Gracq
OL127400A	Blaise Cendrars
OL12789159A	FALLACI
OL127932A	Russell Thorndike
OL12795382A	E Queen
OL12802716A	Hugh (introduction) Walker
OL128744A	Curzio Malaparte
OL12901631A	John Fox, Jr.; Yohn, F. C. [Illustrator]
OL129096A	Paul Verlaine
OL129171A	Rómulo Gallegos
OL1295821A	Esther Shephard
OL1296523A	Zitkála-Šá
OL129758A	Jean Genet
OL12987021A	CLARK AND LIEBER
OL12987999A	Ellery Queen Jr. 
OL129894A	Ronald Arbuthnott Knox
OL12996111A	Kahlil Gibran
OL13002404A	Emile Souvestre
OL1300693A	Catherine Bonhomme
OL130236A	Israel Zangwill
OL13066A	H. G. Wells
OL13075856A	Cloudesley Brereton and Fred Rothwell
OL13079680A	I. Wylie
OL1314365A	Margaret Campbell
OL13192A	Henrik Ibsen
OL1319733A	Ethel Lilian Voynich
OL1320309A	Joseph Crosby Lincoln
OL1321221A	Eve Garnett
OL132972A	Alain Grandbois
OL13350839A	George Gissing
OL133731A	Carmen Laforet
OL133863A	E. C. Bentley
OL133924A	Klaus Mann
OL1340154A	Norman Hunter
OL134323A	Hervé Bazin
OL134455A	Theodor Plievier
OL1345303A	Doris Gates
OL1345636A	Anthony Berkeley
OL13473336A	Ayn Rand
OL13501612A	John Galsworthy
OL13502934A	john galsworthy
OL1351256A	Edmund Reiss
OL135127A	Isak Dinesen
OL135291A	Pär Lagerkvist
OL13540392A	Edward 1809-1883 Fitzgerald
OL13540393A	E. H. (Edward Henry) 1836 Whinfield
OL135531A	Robert Musil
OL1356209A	Sinclair Ross
OL1358245A	Clemence Dane
OL13597882A	Ayn Rand;
OL13608013A	Catholic Way Publishing Staff
OL13618016A	Kaori Okura
OL136197A	P. G. Wodehouse
OL13627616A	Dixon, Franklin W. (Mc Farlane, Leslie)
OL136299A	Miguel Delibes
OL13640A	Ernest Hemingway
OL136546A	Alfred de Musset
OL13657204A	Marian C. Cooper
OL13663140A	Dorothy B. Hughes
OL1367436A	Kathleen Thompson Norris
OL13693378A	Juliane Roemhild
OL1370160A	Henry Bellamann
OL137095A	Theodor Herzl Gaster
OL137147A	Isaac Bashevis Singer
OL137459A	Vita Sackville-West
OL137680A	Wyndham Lewis
OL137845A	Isha Schwaller de Lubicz
OL137948A	Stig Dagerman
OL138047A	Walter Allen
OL138059A	John Meade Falkner
OL1385200A	Ross Kay
OL1385427A	Christine Feehan
OL1385504A	Edgar Saltus
OL1386012A	Lori Foster
OL1388005A	Doreen Cronin
OL1388128A	D. B. C. Pierre
OL1389835A	Harry Leon Wilson
OL139074A	Dylan Thomas
OL1391136A	Emilie Baker Loring
OL1391432A	Evelyn Waugh
OL1391983A	Robert Tressell
OL139251A	Sholem Asch
OL1393239A	Talbot Mundy
OL139769A	Raymond Queneau
OL1401732A	Nigel Balchin
OL140903A	Gerhart Hauptmann
OL14090744A	Douglas, Norman and Angelo, Valenti (Illus. )
OL1411143A	Lucas Malet
OL14114A	Yaşar Kemal
OL1412233A	Jacques Futrelle
OL141473A	Vilhelm Moberg
OL14157861A	Daniel Aaron
OL141618A	George Moore
OL14166604A	Sapper
OL141965A	Abrahams, Peter
OL142156A	Bernard Delvaille
OL142404A	T. H. White
OL14242711A	Stephen Leacock
OL14285515A	H. J. Graefen
OL1431237A	Vera Caspary
OL1432532A	John Boyne
OL14337818A	Henry Alden
OL1433830A	Marie McSwigan
OL1434353A	Brad Thor
OL1434486A	Johnston McCulley
OL14401463A	Desmond gahan
OL14405019A	G. Danziger
OL14419153A	Guro Verlag
OL144345A	Sholem Aleichem
OL14448211A	Damian Andre
OL14460104A	Bangs John Kendrick
OL14482752A	Queer Little Folks
OL14501846A	Adrian Rand
OL1450773A	Chris Grabenstein
OL14511829A	Leonzio Russo
OL1451761A	Andrew White Tuer
OL1452096A	Margery Sharp
OL1452170A	Daisy Meadows
OL145748A	Elias Canetti
OL145860A	Ernst von Salomon
OL1458902A	Frances Parkinson Keyes
OL1460816A	Henry Harland
OL146200A	Janusz Korczak
OL14647516A	Edmée Elizabeth Dashwood
OL146605A	Edgar Rice Burroughs
OL1472833A	Angela Brazil
OL1475076A	Jeffery Farnol
OL1475610A	Hugh Walker
OL1478510A	Rani Manicka
OL1478737A	Rex Ellingwood Beach
OL1478967A	Arthur Cheney Train
OL1479003A	Edwin Lester Linden Arnold
OL1479386A	Axel Munthe
OL1480011A	Hervey Allen
OL1482457A	Grace MacGowan Cooke
OL148769A	Conrad Ferdinand Meyer
OL149830A	Alfred Döblin
OL150264A	Hans Jakob Christoffel von Grimmelshausen
OL150312A	Grazia Deledda
OL150942A	Clarence Day
OL1509731A	Lenora Mattingly Weber
OL151016A	William Saroyan
OL151749A	Margaret Mitchell
OL151775A	Katherine Anne Porter
OL1520613A	Aksel Sandemose
