OL1004630A	Geoffrey Household
OL1007072A	Eugene Jackson
OL10082744A	Joanna Proenza
OL1009724A	Robert Lipscomb Duncan
OL1010168A	H. Igor Ansoff
OL10114279A	Q. W. ESAMN Publication
OL10114514A	Q. W. ESAMNU Publication
OL10114969A	Q. W. ESFGH Publication
OL1013641A	Joanna Martine Woolfolk
OL10149916A	Q.B. Tyler
OL1034117A	George Douglas Brown
OL10463115A	Purple Calico Purple Calico Press
OL10528528A	Michael Tuthill
OL107569A	Dale Carnegie
OL107569A	OL7510923A	Dale Carnegie	Kaneiji Dale
OL107571A	Victor Hugo
OL1078439A	Bruce McKeown
OL107911A	George Bernard Shaw
OL108070A	Adolf Hitler
OL108123A	Herbert Spencer
OL108289A	OL6048633A	John Stuart Mill	Louis Peisse
OL108452A	Sigmund Freud
OL10871268A	Christopher Morley
OL10875629A	Bobbi Anne White (Vrajavala)
OL10898888A	michael tuthill
OL1096272A	Alistair MacLean
OL109674A	Will Durant
OL10968A	Walter Pater
OL10976969A	Rayna Gangi
OL11149A	Sophocles
OL11176241A	Amy's Halo
OL11186570A	Harriet Flora
OL1122110A	OL2924471A	OL153463A	Brenda Apsley	Gill Guile	Spyri, Johanna
OL1123585A	OL2629468A	OL2031012A	OL2622796A	Layton, Edwin T.	Edwin T. Layton	Roger Pineau	John Costello
OL112771A	Ben Jonson
OL112829A	OL6970932A	Benedict Saint, Abbot of Monte Cassino.	Benedict Saint, Abbot of Monte Cassino
OL112972A	Thomas More
OL113362A	Charlotte Brontë
OL113611A	Jules Verne
OL113828A	Elizabeth Cleghorn Gaskell
OL114007A	Jane Addams
OL114291A	OL9388A	John Fletcher	William Shakespeare
OL1151228A	Nikolay Ostrovsky
OL115203A	OL3064091A	Alfred Adler	Colin Brett
OL115331A	Jane Taylor
OL116241A	Johan Huizinga
OL116544A	Algernon Charles Swinburne
OL116645A	Hugh Walpole
OL116826A	René Descartes
OL117166A	James Stephens
OL1171938A	OL3917041A	OL3136405A	Aulus Cornelius Celsus	Celse	G. Serbat
OL117429A	Charles Baudelaire
OL1175057A	Margaret Way
OL117592A	Jean-Paul Sartre
OL117687A	J. B. Priestley
OL117843A	Friedrich A. von Hayek
OL118077A	George Orwell
OL1189179A	Dennis Stanton
OL119432A	OL2747985A	OL442732A	Allan Nevins	Henry Steele Commager	Jeffrey Morris
OL1197948A	Earl K. Bowen
OL1199185A	Stephen Birnbaum
OL120205A	Marcel Proust
OL120346A	OL2745528A	OL2338232A	OL24638A	OL22242A	OL19677A	OL26681A	OL28127A	OL18319A	OL21093A	OL32271A	OL12267574A	OL12987021A	OL1745911A	OL11440261A	OL11467733A	OL11528567A	OL11529351A	OL11557647A	OL3524622A	Barrett Harper Clark	Barrett H. Clark	Maxim Lieber	Charles Dickens	Фёдор Михайлович Достоевский	Антон Павлович Чехов	Nathaniel Hawthorne	Edgar Allan Poe	Mark Twain	Ambrose Bierce	Theodore Dreiser	BARRETT H. CLARK	CLARK AND LIEBER	Gerda Charles	Clark, Barrett H.; Lieber, Maxim	Barrett H. & Maxim Lieber Clark	Clark, Barrett H. / Lieber, Maxim	Barrett H. and Maxim Lieber Clark	Clark & Lieber	Barrett Harper Clark
OL1208033A	David Starkey
OL120822A	OL3217014A	Euclides da Cunha	M. M. Kucinski
OL122169A	Erich Maria Remarque
OL123087A	OL2635589A	George C. Kent	Robert K. Carr
OL123122A	John Dos Passos
OL124171A	Albert Camus
OL126919A	Kenneth Clark
OL12823A	Πλάτων
OL12946722A	Planisphere Q
OL129758A	Jean Genet
OL13066A	H. G. Wells
OL13192A	Henrik Ibsen
OL13193A	Johann Wolfgang von Goethe
OL1347493A	Edwin Hardin Sutherland
OL134797A	Saint Bede the Venerable
OL1348213A	Madeleine Korbel Albright
OL135082A	OL2666437A	OL773437A	Marcus Junianus Justinus	Justin	Waldemar Heckel
OL135127A	Isak Dinesen
OL135196A	Iris Murdoch
OL135531A	Robert Musil
OL13627648A	Doug Osness
OL13640A	Ernest Hemingway
OL13723332A	John Poma
OL13748677A	Rob Wheeler
OL138059A	John Meade Falkner
OL13814105A	Alfred W. Maina
OL1385386A	OL7301397A	Lisa Jackson	Joyce Bean
OL138789A	OL10537532A	Georges-Louis Leclerc, comte de Buffon	Georges Louis Leclerc De Buffon
OL1388005A	Doreen Cronin
OL1388341A	Maureen Johnson
OL1389873A	Erin Hunter
OL1391085A	Stephenie Meyer
OL1392395A	Eoin Colfer
OL1392583A	Darren Shan
OL1392722A	Anthony Doerr
OL1393502A	Chimamanda Ngozi Adichie
OL1393795A	David Brooks
OL1394023A	OL2865776A	Gabrielle Zevin	Scott Brick
OL1394231A	John Scalzi
OL1394359A	OL12737091A	Suzanne Collins	Suzanne Collins
