work_key	title	author_keys	subject_keys_str	first_publish_year
/works/OL1418240W	The Gods of Mars	/authors/OL146605A	american_science_fiction;classic_literature;english_science_fiction;fiction;fiction_action_adventure;fiction_science_fiction_action_adventure;fiction_science_fiction_general;historical_fiction;john_carter_fictitious_character;life_on_other_planets;science_fiction;science_fiction_american	1918
/works/OL28570037W	The Wind in the Willows	/authors/OL23761A	adventure_and_adventurers;adventure_and_adventurers_fiction;amiti;animales;animals;animals_fiction;animals_fiction;animals_juvenile_fiction;badgers;belettes;blaireaux;cartoons_and_comics;child_and_youth_fiction;children_grades_3_4;children_kindergarten;children_s_fiction;children_s_stories;children_s_stories_english;children_s_stories_fiction;christmas;classic_literature;classics;comics_graphic_novels_general;community_life_fiction;comportement_autodestructeur;continental_european_drama_dramatic_works_by_one_author;country_life;country_life_fiction;crapauds;d_guisement;disguise;dwellings;england_fiction;english_drama;english_fiction;english_literature;er_tong_dou_wu;escapes;ethics;fairy_tales;fantastic_fiction;fantasy;fantasy_fiction;fiction;fiction_classics;folklore;forests_and_forestry;forests_and_forestry_fiction;friendship;friendship_fiction;friendship_juvenile_fiction;frogs_fiction;general;habitations;han_yu_pin_yin;home;hospitality;humorous_stories;juvenile_fiction;juvenile_fiction_classics;juvenile_literature;juvenile_works;landscapes;large_type_books;legends_and_stories_of_animals;literature_and_fiction_historical_fiction;literature_and_fiction_juvenile;litt_rature_pour_la_jeunesse_anglaise;lost_articles;loutres;moles;moles_animals;moles_animals_fiction;morale;mythical_animals;n_vroses_obsessionnelles;nature_fiction;nature_stories;novela;novela_juvenil;objets_perdus;obsessive_compulsive_disorder;otters;paysages;pictorial_works;picture_books;r_os;rats;rats_fiction;river_life;rivers;rivers_fiction;roman_anglais;romans_nouvelles_etc_pour_la_jeunesse;self_destructive_behavior;spanish_language_materials;specimens;stories;suo_xie;suo_xie;taupes;thieves;toad_of_toad_hall_fictional_character;toad_of_toad_hall_fictitious_character;toads;tong_hua;toy_and_movable_books;translations_into_chinese;vasions;voleurs;voyages;voyages_and_travels;weasels;wen_xue;winds_fiction	1908
/works/OL503589W	Niebla	/authors/OL33442A	chronology;europe_fiction;experimental_fiction;fiction;fiction_general;fiction_historical;niebla_unamuno_miguel_de;novelas_espa_olas;novelas_espan_olas;philosophy;pictorial_works;readers;spain_fiction;spanish_language;unamuno_miguel_de_1864_1936;unrequited_love;unrequited_love_spain_fiction	1914
/works/OL4621060W	Champlain, North-west voyager	/authors/OL947842A	fiction	1946
/works/OL42503175W	Three partners	/authors/OL115231A	fiction;gold_mines_and_mining	1900
/works/OL7973284W	Fantastic Fables	/authors/OL21093A	american_fables;autores_norteamericanos;british_and_irish_fiction_fictional_works_by_one_author;classic_literature;fabulas;fiction	1899
/works/OL7977601W	RED FOX - The Story of His Adventurous Career in the Ringwaak Wilds and of His Final Triumph Over His Enemies	/authors/OL162099A	canadian_fiction_english_cihm;canadian_tales;children_s_fiction;fiction;foxes;foxes_fiction;l_gendes_et_histoires;legends_and_stories;renard_roux;roman_canadien_anglais_icmh	1905
/works/OL39446771W	Monsieur Sylvestre	/authors/OL90211A	fiction	1890
/works/OL496539W	THE NEW TESTAMENT HISTORY	/authors/OL840316A	american_newspapers;bible;children_s_fiction;children_s_stories;clairvoyance;english_newspapers;fiction;fiction_occult_supernatural;ghost_stories;ghosts;history;journalism;juvenile_fiction;new_york_post;newspapers;philadelphia_public_ledger;times_london_england	1890
/works/OL13703062W	Tar heel tales	/authors/OL6556173A	african_americans;fiction	1910
