work_key	edition_count	ocaid_count	ocaid_first
/works/OL8193416W	3012	111	pictureofdoriang00osca_4
/works/OL18417W	2052	79	wizardofoz0000baum_e3z4
/works/OL24034W	1988	291	treasureisland0000stev_u7z4
/works/OL14942956W	1699	107	yexingdehuhuan0000unse_m9i7
/works/OL69612W	1594	89	eljardnsecreto0000burn
/works/OL262496W	1447	58	studyinscarlet0000doyl_v0w7
/works/OL28570037W	1346	93	liulinfengsheng0000gele_l8f5
/works/OL262454W	1308	131	houndofbaskervil0000doyl_b4n6
/works/OL77746W	1299	157	lushanqiangdeni0000jian
/works/OL468431W	1178	48	greatgatsby1995fitz
/works/OL52267W	1146	46	timemachinelevel0000gill
/works/OL1793164W	1133	49	threemeninboatto00jero
/works/OL262421W	1132	77	adventuresofsher0000doyl_q6n9
/works/OL76487W	1105	12	manwhowasthursda0000ches_s3n5
/works/OL17448W	1091	44	kingsolomonsmine0000hagg_q7q9
/works/OL472715W	1091	36	isbn_9781579126223
/works/OL98501W	1000	47	ethanfrome0000unse_q8b8
/works/OL86320W	996	76	dubliners0000joyc_x1j6
/works/OL19842W	990	62	captainscoura00kipl
/works/OL99509W	985	31	railwaychildren0000nesb_i1t5
/works/OL262438W	961	37	signoffour00doyluoft
/works/OL498556W	953	26	metamorphosis0000kafk_m2d2
/works/OL99499W	950	22	fivechildrenit0000unse
/works/OL19908W	934	22	kim0000kipl_i9d4
/works/OL76524W	881	25	thirtyninesteps0000buch
/works/OL77764W	822	35	anneshouseofdrea0005mont
/works/OL77744W	813	73	anneofavonlea0000unse
/works/OL471789W	800	39	secretadversarya0000unse
/works/OL54031W	788	58	connecticutyanke030320mbp
/works/OL262505W	758	35	valleyoffear0000doyl_e5i8
/works/OL53994W	755	84	nybc212969
/works/OL1088770W	752	8	bluefairybook0000lang
/works/OL262460W	747	43	lostworld0000doyl_o8o6
/works/OL18396W	724	21	marvelouslandof000baum
/works/OL64365W	721	93	bwb_S0-DFK-046
/works/OL485504W	705	20	bwb_P9-DTL-848
/works/OL18415W	701	14	ozmaofozpuffinbo00lfra
/works/OL98587W	694	53	houseofmirth0000whar_m0r6
/works/OL88813W	692	30	roomwithview00fors_1
/works/OL10263W	688	38	malenkiiprints0000sain
/works/OL77756W	671	29	rainbowvalleyann0000lucy
/works/OL99522W	653	9	storyoftreasures0000wate
/works/OL85891W	653	4	bramstokersjewel0000bram
/works/OL1168007W	648	38	animalfarm0000unse_k7v0
/works/OL76468W	644	7	manwhoknewtoomuc00ches_1
/works/OL77757W	637	15	isbn_9781461039853
/works/OL30053009W	636	31	swannsway0000unse
/works/OL18409W	634	8	emeraldcityofoz0000baum_c6o9
/works/OL18412W	622	11	dorothywizardino00baum
/works/OL12795W	613	30	opioneers0000cath_i3f6
/works/OL19926W	611	28	secondjungleboo03kiplgoog
/works/OL86318W	611	124	UlyssessShake1930
