openlibrary_work_key	selection_title	selection_author	selected_ol_title	selected_ol_author	selection_title_mismatch	selection_author_mismatch	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	fallback_used
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	The Great Gatsby	F. Scott Fitzgerald	0	0	2	3	1181	1179	590.5	/works/OL35353208W|/works/OL43595009W|/works/OL468431W	0
/works/OL31971259W	Heart of Darkness	Joseph Conrad	Heart of Darkness	Conrad, Joseph	0	0	14	4	1099	1085	78.5	/works/OL31971259W|/works/OL8137762W|/works/OL29000391W|/works/OL38663W	0
/works/OL20172W	Kim	Rudyard Kipling	Kim	Kipling, Rudyard	0	0	65	2	999	934	15.36923076923077	/works/OL20172W|/works/OL19908W	0
/works/OL42236259W	The House of Mirth	Edith Wharton	The house of mirth	Edith Wharton	0	0	1	3	697	696	697.0	/works/OL42236259W|/works/OL32146991W|/works/OL98587W	0
/works/OL35695219W	Ulysses	James Joyce	Ulysses	James Joyce	0	0	71	3	684	613	9.633802816901408	/works/OL35695219W|/works/OL38767940W|/works/OL86318W	0
/works/OL40252771W	The Turn of the Screw	Henry James	Turn of the Screw	Henry James	0	0	8	3	577	569	72.125	/works/OL40252771W|/works/OL276386W|/works/OL41530014W	0
/works/OL43405505W	Lady Chatterley's Lover	D. H. Lawrence	Lady Chatterley's lover	Lawrence, D. H.	0	0	2	2	516	514	258.0	/works/OL43405505W|/works/OL81180W	0
/works/OL39453744W	Jude the Obscure	Thomas Hardy	Jude the obscure	Hardy, Thomas	0	0	1	5	435	434	435.0	/works/OL40623217W|/works/OL39453744W|/works/OL40732923W|/works/OL41547386W|/works/OL44986W	0
/works/OL18561767W	The Story of an African Farm	Olive Schreiner	The story of an African farm	Olive Schreiner	0	0	7	2	58	51	8.285714285714286	/works/OL18561767W|/works/OL890573W	0
/works/OL1154817W	The Crock of Gold	Stephens James	The Crock of Gold	Stephens, James	0	1	155	3	183	28	1.1806451612903226	/works/OL33736178W|/works/OL1154817W|/works/OL38839813W	0
/works/OL24034W	Treasure Island	Robert Louis Stevenson	Treasure Island	Robert Louis Stevenson	0	0	1988	7	2012	24	1.012072434607646	/works/OL24034W|/works/OL29223843W|/works/OL42471516W|/works/OL33137271W|/works/OL44771924W|/works/OL42692984W|/works/OL39458064W	0
/works/OL1418251W	Tarzan of the Apes	Edgar Rice Burroughs	Tarzan of the Apes	Edgar Rice Burroughs	0	0	226	2	245	19	1.084070796460177	/works/OL1418251W|/works/OL1418064W	0
/works/OL44014215W	Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	Strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	0	0	1	4	20	19	20.0	/works/OL24120W|/works/OL44014215W|/works/OL33078608W|/works/OL22708002W	0
