work_key	ocaid
/works/OL44912W	thomashardyselec0000hard_b8j8
/works/OL24439246W	virginianhorsema0000wist_k8r4
/works/OL151452W	albertsnap0000grej
/works/OL106076W	isbn_9782221002339
/works/OL1846074W	quiencuentalases00lowr
/works/OL81277W	kangaroo0000lawr
/works/OL505781W	ofhumanbondage00maug_2
/works/OL68701W	lifeoffrederickm00hann
/works/OL1337085W	billconqueror0000pgwo
/works/OL1878146W	shagganappi00johnrich
/works/OL6722488W	yehoshuanazirjes00hani
/works/OL1188951W	structureofnovel0000edwi
/works/OL4608107W	jalna0000dela_h5h0
/works/OL83244W	lemaladeimaginai0000moli
/works/OL50939W	totameland00lamo_0
/works/OL48489W	dwellingplace0000cook
/works/OL4605862W	runawayplacemayi00eato
/works/OL4429302W	cihm_77622
/works/OL1191826W	greatshortstorie0000unse_n1i5
/works/OL1140206W	undweiterfuhrtde0000buck
/works/OL109846W	oldmanslove0000trol
/works/OL1719792W	littlehouseonpra00wild_2
/works/OL788034W	stories00mans
/works/OL1093208W	cihm_17683
/works/OL1797323W	folksfromdixie01dunbgoog
/works/OL19569333W	cardestiny01willgoog
/works/OL4907595W	ladyjane01jamigoog
/works/OL52239W	joanandpetersto02wellgoog
/works/OL286343W	iwillrepayaroma00orczgoog
/works/OL288732W	bookofshortstori0000gork
/works/OL505944W	razorsedge00maug_1
/works/OL85510W	saviorsofgodspir0000kaza
/works/OL10267W	voldenuit0000sain_f1i2
/works/OL2234946W	ninetailors0000saye_i9k4
/works/OL109135W	cardstoryofadven0000benn_w5v8
/works/OL2459824W	misseelee0000rans_v2q6
/works/OL505926W	merrygoround0000maug_j8z1
/works/OL1208724W	nybc205345
/works/OL53994W	nybc212969
/works/OL7285199W	dianatempest01chol
/works/OL472572W	murderinmesopota0000unse
/works/OL7443863W	pickensexcitings00davi
/works/OL462007W	peterpan0000barr_c1m8
/works/OL472328W	towardszero0001chri
/works/OL1573591W	altneulandroman00herzuoft
/works/OL1796936W	chicagoprincess00barruoft
/works/OL1487980W	romanceoftwowo00core
/works/OL455429W	scarletletterhou00hawtuoft
/works/OL76564W	sirquixoteofmoor00buch
/works/OL5211757W	schoolmasterofhe00martiala
/works/OL7138927W	standardindexofs21hann
/works/OL98582W	talesofmenghosts00whariala
/works/OL4608090W	explorersdawn00rochuoft
/works/OL1794774W	worldsroughhandt00whit
/works/OL54690W	athornypathpera02ebergoog
/works/OL11914036W	westwardhoorvoy02kinggoog
/works/OL1253285W	lemouronrouge17900orczuoft
/works/OL69117W	shadowadream00unkngoog
/works/OL7563514W	cruiseofnoahsark00cory
/works/OL20532W	winningwestvolu00unkngoog
/works/OL20109W	cu31924013493816
/works/OL2341756W	cu31924022011336
/works/OL54705W	sistersromancefr02eber
/works/OL3538188W	laughingboy00lafa
/works/OL51206W	memorialportrait00ishe
/works/OL134642W	shellseekers00pilc
/works/OL74504W	whitefanglond00lond
/works/OL1515173W	dialstonelan00jaco
/works/OL8729667W	hillromanceoffri00vach
/works/OL118986W	germinal02zola
/works/OL4982663W	brothersashkenaz0000sing_u1v8
/works/OL20111W	lifeshandicapb00kipl
/works/OL24166W	kidnappedadventu00stev
/works/OL15718763W	steppinfamily00newe
/works/OL15855333W	forflagfreedom1800kumm
/works/OL240589W	lasthope00scot
/works/OL15944268W	linndicksonconfe00dwig
/works/OL19870W	ellibrodelastier00kipl
/works/OL19842W	captainscoura00kipl
/works/OL16475437W	jewelofcahokia00perr
/works/OL485629W	tappansburroothe01grey
/works/OL69130W	fennelruenovel0000howe
/works/OL39036W	bwb_S0-EKP-051
/works/OL890430W	kirsteenstoryofs0000olip
/works/OL17666469W	sardouscleopatra00hall
/works/OL472715W	isbn_9781579126223
/works/OL262554W	completesherlock00arth
/works/OL17758129W	johnburroughstal00burr
/works/OL2066162W	shelteringsky0000bowl
/works/OL52195W	foodofgods0000well
/works/OL44986W	isbn_9780553211917
/works/OL24656586W	pengcheshaonianb0000warn
/works/OL17990380W	windthatshakesba0000bark_f4n6
/works/OL471940W	poirotinvestigat00chri
/works/OL19908W	kim0000kipl_i9d4
/works/OL1242804W	maigretsfirstcas0000sime_q4d4
/works/OL21247670W	precipice0000macl
/works/OL3923124W	friendslovers0000maci_e9h6
/works/OL3916716W	shanecriticaledi0000scha
/works/OL15176339W	writingsmark21twairich
/works/OL18528475W	shortstoryinengl0000canb
/works/OL4489658W	lesaintanewyork0000char
/works/OL86320W	dubliners0000joyc_x1j6
/works/OL471610W	uncadavredanslab0000chri
/works/OL485697W	mysteriousrider0000grey_b1i9
/works/OL77746W	lushanqiangdeni0000jian
/works/OL20802768W	paranoiacompanym0000find
/works/OL278135W	the_house_with_the_mezzanine_and_other_stories_1309_librivox
/works/OL15061204W	moviestarmystery00warn
/works/OL166952W	whitenights0000dost
/works/OL69032W	riseofsilaslapha00howe_1
/works/OL81180W	ladychatterleysl0000unse_v9z2
/works/OL120601W	twoseriousladies0000bowl_j7l3
/works/OL905626W	perfumedgarden0000sirr_a9n1
/works/OL6096674W	yankeestranger0000than
/works/OL86318W	UlyssessShake1930
/works/OL1217995W	usa142ndparallel00dosp
/works/OL81242W	phoenixiiuncolle0000lawr
/works/OL1253282W	manincorner0000orcz
/works/OL1936642W	beetlecreek0000will_v8h9
/works/OL23791139W	bwb_S0-BHU-961
/works/OL2004214W	deathofghostpeng0000marg
/works/OL20169W	bwb_W7-CFN-099
/works/OL262452W	hislastbow0000unse_z0p5
/works/OL262572W	synapseml_gutenberg_through_the_magic_door_by_arthur_conan_d
/works/OL4912539W	selectivetravell0000brid
/works/OL265984W	bwb_O6-BGA-782
/works/OL5997018W	greenwagons00seid
/works/OL28596W	darkprincessroma0000dubo_n6y2
/works/OL78359W	bwb_W8-BOB-095
/works/OL64440W	bravenewworldbra0000aldo_p9a0
/works/OL1257061W	bwb_O6-CTY-806
/works/OL471767W	agathachristiele0000unse
/works/OL2343165W	ongeneralthomas00thomgoog
/works/OL30027W	mayflowers00alcogoog
/works/OL2530273W	threeyearsinklo00lyncgoog
/works/OL6922389W	littlebrothersto0000flyn
/works/OL25423W	mybookoflittleti00ande
/works/OL471948W	bwb_KT-368-934
/works/OL1202129W	bwb_P9-CTN-017
/works/OL485504W	bwb_P9-DTL-848
/works/OL112003W	bwb_P9-DXW-973
/works/OL100203W	bwb_W9-CLP-013
/works/OL51139W	casstimberlaneno0000sinc_r2z6
/works/OL2848656W	nurmahal0000haro
/works/OL109222W	riceymansteps0000benn_y5l7
/works/OL43359811W	stormalong0000unse
/works/OL474125W	topperribaldadve0000thor
/works/OL7412986W	autumncomestomea0000keel
/works/OL64365W	bwb_S0-DFK-046
/works/OL478214W	bigrockcandymoun0000steg
/works/OL3739412W	alaskananovelofn00curw
/works/OL91876W	deathinquarry00gdhm
/works/OL7637626W	ropeneckties0000unse
/works/OL4970283W	adamofroad00vini_0
/works/OL500583W	bwb_Y0-AQX-369
/works/OL7702250W	b32796985
/works/OL1103997W	underordersstory00munr
/works/OL3468651W	birdschristmasca00wigg_15
/works/OL1381223W	brookkerithasyr03moorgoog
/works/OL22093409W	corneliastoryofb00perk
/works/OL468488W	thissideparadis01fitzgoog
/works/OL16613902W	madlovestrangest00harr
/works/OL3783265W	firstdownkentuck00pain
/works/OL63068W	inourtimestories00hemi_1
/works/OL218057W	myfavoritestory00long
/works/OL7836578W	nehetaleoftimeso00sivi
/works/OL890325W	modernloveandot00meregoog
/works/OL7848751W	findinglistficti00norf
/works/OL464266W	kingsmirrornove00hoperich
/works/OL7856450W	princesstarakano00danirich
/works/OL4754974W	cu31924021992312
/works/OL24257W	whatshisname00mccuuoft
/works/OL220999W	inwakeofwartaleo00peasrich
/works/OL61173W	cloudcastleother00thomuoft
/works/OL4429561W	brownbrethren00macgrich
/works/OL4374192W	adventuresofmaya00bonsiala
/works/OL1145618W	hoosierschoolboy00eggliala
/works/OL52211W	talesofspaceandt00welluoft
/works/OL890327W	lordormonthisami03mere
