work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL505794W	Theatre	1937	William Somerset Maugham	actresses|actresses_fiction|british_and_irish_fiction_(fictional_works_by_one_author)|english_fiction|fiction|fiction_in_english|fiction_psychological|fiction_romance_general|married_women|middle-aged_women|rejection_(psychology)|theater|translations_into_russian|young_men	37		
/works/OL3187139W	The Welsh fairy book	1907	W. Jenkyn Thomas	fairies|fairy_tales|fiction|folklore|folklore_juvenile_literature|folklore_wales|juvenile_literature|mythology_welsh|tales|wales|welsh_mythology	14		
/works/OL1797224W	Black oxen	1923	Gertrude Atherton	années_vingt_(vingtième_siècle)|culture_populaire|femmes|fiction|fiction_general|fiction_science_fiction_general|manners_and_customs|mœurs_et_coutumes|nineteen_twenties|popular_culture|romans_nouvelles|social_life_and_customs|united_states_fiction|upper_class|women	28		
/works/OL1418089W	Tarzan the Invincible (Ace Classic SF, F-189)	1931	Edgar Rice Burroughs|Casper Van Dien|Franke, Henry G., 3rd|Joe Jusko	action|adventure|animals|communists|fantasy|fiction|fiction_action__adventure|fiction_science_fiction_general|forest|jungle|lost_world|pulp|speculative|spies|tarzan_(fictitious_character)|trees|vines|warriors|wild_animals|wilds	66		
/works/OL1245569W	Professor Unrat	1932	Heinrich Mann	american_drama_(dramatic_works_by_one_author)|fiction|high_school_teachers|singers	22		
/works/OL262561W	The Adventure of the Speckled Band	1912	Arthur Conan Doyle	adventure_and_adventurers_fiction|amorality|anglais_(langue)|anglo-saxons|aristocracy|children's_fiction|detective_fiction|drama|english_language|fiction|fiction_crime|fiction_general|fiction_mystery__detective_general|fiction_short_stories_(single_author)|holmes_sherlock_(fictitious_character)_fiction|john_h._watson_(fictitious_character)|juvenile_audience|large_type_books|lectures_et_morceaux_choisis_pour_nouveaux_alphabétisés|locked-room_mysteries|manuel|manuels_pour_allophones|mystery_and_detective_stories|private_investigators|readers|readers_for_new_literates|sherlock_holmes_(fictitious_character)|textbooks_for_foreign_speakers|watson_john_h._(fictitious_character)_fiction	57		
/works/OL6438819W	Behind that curtain	1928	Earl Derr Biggers	chan_charlie_(fictitious_character)_fiction|charlie_chan_(fictitious_character)|fiction|fiction_mystery__detective_general|fiction_mystery__detective_police_procedural|fiction_psychological|hawaii_fiction|honolulu_(hawaii)|married_people_fiction|paris_(france)_fiction|police	94		
/works/OL485562W	Wild Horse Mesa	1924	Zane Grey	american_fiction|fiction|fiction_westerns|frontier_and_pioneer_life|horse_dealers|large_type_books|male_authors|manners_and_customs|mormons|mustang|outlaws|social_life_and_customs|utah_fiction|utah_in_fiction|wild_horses	33		
/works/OL76501W	Greenmantle	1915	John Buchan	classic_literature|english_literature|english_war_stories|fiction|fiction_espionage|fiction_general|fiction_thrillers_espionage|fiction_war__military|great_britain_fiction|guerre_mondiale_1914-1918|hannay_richard_(fictitious_character)_--_fiction|hannay_richard_(fictitious_character)_fiction|intelligence_service|intelligence_service_--_great_britain_--_fiction|large_type_books|literature|long_now_manual_for_civilization|mystery|richard_hannay_(fictitious_character)|romans|romans_nouvelles|récits_de_guerre_anglais|secret_service|spies|spy_stories|war_stories|world_war_1914-1918|world_war_1914-1918_--_fiction|world_war_1914-1918_fiction	520		
/works/OL39360W	Orlando	1928	Virginia Woolf	british_and_irish_fiction_(fictional_works_by_one_author)|characters_and_characteristics_in_literature|characters_and_characteristics_in_literature_in_fiction|collectionname|continental_european_drama_(dramatic_works_by_one_author)|criticism_and_interpretation|england|england_fiction|england_in_fiction|english_literature|english_manuscripts|facsimiles|feminist_literature|ficción|fiction|fiction_fantasy_historical|fiction_general|gender_identity|gender_identity_in_fiction|general_fiction|historia|history|hombres|lgbtq_fiction_before_stonewall|lgbtq_gender_identity|literature|long_now_manual_for_civilization|manuscripts|men|men_in_fiction|mujeres|nobility|nobility_in_fiction|orlando_(woolf_virginia)|roles_sexuales|romans_nouvelles|rôle_selon_le_sexe|sackville-west_v._in_fiction|sex_role|sex_role_in_fiction|sex_roles|textual_criticism|transsexuals|transsexuals_in_fiction|women|women_in_fiction	452		
/works/OL5232182W	For la batalilojn!	1892	Bertha von Suttner|Timothy Holmes	fiction|peace|war	23		
/works/OL14857755W	Door between Devil	1937	Ellery Queen|Ellery Queen Jr. 	detective_and_mystery_stories|fathers_and_sons|fiction|fiction_mystery__detective_general|novelists|police	22		
/works/OL1202093W	A chain of evidence	1912	Carolyn Wells	bachelors|brothers_and_sisters|fiction|fiction_mystery__detective_general|lawyers|legal_stories	32		
/works/OL1418117W	Tarzan Triumphant (Ballantine 21909, #15)	1931	Edgar Rice Burroughs|Robert de Young|Franke, Henry G., 3rd|Joe Jusko	fiction|fiction_action__adventure|fiction_science_fiction_general|tarzan_(fictitious_character)	65		
/works/OL261177W	If I Ran the Zoo	1950	Dr. Seuss	animals_mythical_fiction|children's_fiction|children's_poetry_american|collectionidcaldecotthonor50|fantasy|fantasy_fiction|fiction|humorous_stories|imaginary_animals|imaginary_creatures|imagination|juvenile_fiction|juvenile_fiction__animals__zoos|juvenile_fiction__classics|juvenile_fiction__humorous_stories|juvenile_literature|juvenile_poetry|kids|mythical_animals|nonsense_verses|pictorial_works|picture_books|seuss|stories_in_rhyme|zoos|zoos_fiction	17		
/works/OL176062W	Blind love	1889	Wilkie Collins|Walter Besant|Fanny Le Breton|Hephell|Howard Rubin	conspiracies|english_literature|fiction|fiction_family_life_general|fiction_mystery__detective_traditional|fiction_romance_general|fiction_thrillers_suspense|ireland_fiction|married_people_fiction|married_women|secret_societies	116		
