work_key	title	first_publish_year	author_keys	author_names	subject_keys	edition_count	remove_reasons
/works/OL10416785W	Evgenii Onegin	1919	OL47908A	Александр Сергеевич Пушкин	continental_european_fiction_(fictional_works_by_one_author)|criticism_and_interpretation|dandies|english|fiction|man-woman_relationships|poetry|readers|russian_language|russian_language_books|russian_literature|social_life_and_customs|textbooks_for_foreign_speakers	20	poetry
/works/OL1066525W	Arms and the Man	1898	OL107911A	George Bernard Shaw	aufführung|british_and_irish_drama_(dramatic_works_by_one_author)|british_and_irish_fiction_(fictional_works_by_one_author)|classic_literature|copies_du_souffleur|drama|dramatic_production|england_fiction|english_drama|facsimiles|fiction|geschichte_(1894)|great_britain_social_life_and_customs_fiction|italians|manuscripts|plays|production_dramatique|promptbooks|serbo-bulgarian_war_1885|shaw_bernard_1856-1950|soldiers|theater|woodhouse_emma_(fictitious_character)_fiction|young_women_fiction	129	plays
/works/OL106975W	Flora's feast	1889	OL18092A	Walter Crane	children's_fiction|children's_poetry|fairies|fairies_in_art|fiction|flowers|flowers_fiction|juvenile_poetry|stories_in_rhyme	11	stories_in_rhyme
/works/OL1077888W	Unbeaten tracks in Japan	1880	OL110720A	Isabella L. Bird	biographies|biography|bird_isabella_l._(isabella_lucy)_1831-1904|britanniques|british|description_and_travel|descriptions_et_voyages|fiction|histoire|history|japan|japan_description_and_travel|japan_guidebooks|japan_social_life_and_customs|journeys|nonfiction|social_life_and_customs|travel|travel_literature|voyages_and_travels|voyageuses|women_biography|women_travelers	26	nonfiction
/works/OL107962W	Over the River and Through the Wood	1924	OL2958017A|OL3039404A|OL275314A|OL769474A|OL1652971A	Lydia Maria Child|C. Manson|Nadine Bernard Westcott|Christopher Manson|Brinton Turkle	american_poetry|animals|board_books|chameleons|children's_4-8_-_picturebooks|children's_poetry|children's_poetry_american|children's_songs|children_preschool|color|family_-_general|fiction|holidays__celebrations_-_thanksgiving|holidays__festivals_-_thanksgiving|identity|identity_(philosophical_concept)|juvenile_fiction|juvenile_nonfiction|juvenile_poetry|musical_books|non-classifiable|poetry|poetry_-_general|preschool_nursery_rhymes__poetry|songs|songs_and_music|specimens|texts|thanksgiving_day|toy_and_movable_books	23	poetry
/works/OL108698W	The Tale of the Flopsy Bunnies	1909	OL32541A|OL229963A|OL227339A|OL7678129A	Beatrix Potter|Wendy Rasmussen|Charles Santore|R.F. Gilmor	board_books|children's_fiction|children's_stories_english|easter_fiction|fiction|initial_teaching_alphabet|juvenile_fiction|picture_books|rabbits|rabbits_fiction|toy_and_movable_books	48	picture_books
/works/OL108751W	The pie and the patty-pan	1900	OL32541A	Beatrix Potter	animals|animals_fiction|cats|cats_fiction|cats_in_fiction|children's_fiction|children's_stories|children's_stories_english|dogs|dogs_fiction|dogs_in_fiction|fiction|hund|juvenile_fiction|katze|peter_rabbit_(fictitious_character)_fiction|picture_books|rabbits_fiction|zoology	35	picture_books
/works/OL108767W	The tale of Mrs. Tittlemouse	1910	OL32541A|OL229963A	Beatrix Potter|Wendy Rasmussen	adventure_and_adventurers_fiction|animals|animals_fiction|board_books|children's_fiction|children's_stories|children's_stories_english|ficción_juvenil|fiction|hedgehogs|initial_teaching_alphabet|juvenile_fiction|mice|mice_fiction|mice_in_fiction|orderliness|pictorial_works|picture_books|rabbits_fiction|ratones	48	picture_books
/works/OL108768W	The Tale of Two Bad Mice	1904	OL32541A	Beatrix Potter	behavior|casas_de_muñecas|children's_fiction|coloring_books|creative_activities_and_seat_work|dollhouses|dollhouses_fiction|ficción_juvenil|fiction|juvenile_fiction|mice|mice_fiction|picture_books|picture_books_for_children|ratones|specimens|toy_and_movable_books	67	picture_books
/works/OL108770W	The Tailor of Gloucester	1903	OL32541A|OL9360144A	Beatrix Potter|H y Xiao Phd	animals_fiction|cats|children's_fiction|children's_stories_english|christmas|christmas_fiction|christmas_stories|fairy_tales|ficción_juvenil|fiction|french_language|great_britain_fiction|hausmaus|juvenile_fiction|literature_and_fiction_juvenile|mice|mice_fiction|pictorial_works|picture_books|puss_in_boots_(tale)|rabbits_fiction|ratones|schneider|tailors|tailors_fiction	70	picture_books
/works/OL108771W	The Tale of Mrs. Tiggy-Winkle	1905	OL32541A|OL9360144A|OL3517920A|OL6987430A|OL6983699A	Beatrix Potter|H y Xiao Phd|Sam Thiewes|Anita C. Nelson|Orla Kiely	animals_fiction|children's_fiction|erizos|farm_life_fiction|ficción_juvenil|fiction|hedgehogs|hedgehogs_fiction|juvenile_fiction|picture_books	66	picture_books
/works/OL1089014W	Homer and His Age	1906	OL3152608A	Andrew Lang	ancient__classical|biography|biography__autobiography|civilization_homeric|criticism_and_interpretation|epic_poetry_greek|fiction|greek_epic_poetry|historical|history_and_criticism|homeric_civilization|homes|homes_and_haunts|literary|literary_criticism|mythology	91	biography__autobiography|literary_criticism
/works/OL1098379W	Peacock pie, a book of rhymes	1913	OL113574A	Walter De la Mare	children's_poetry|children's_poetry_english|children_grades_4-6|english_poetry|fiction|poetry|poetry_(poetic_works_by_one_author)	61	poetry
/works/OL1103619W	Salt water ballads and poems	1912	OL113831A	John Masefield	angol_irodalam|ballada|ballads|children's_poetry|english_ballads|english_poetry|fiction|insurance_investigators|juvenile_audience|poetry|ranches|sailing_ships|sea_poetry|sjömans_visor	40	ballads|poetry
/works/OL112822W	The Door in the Wall	1949	OL20520A|OL3572588A|OL38266A|OL12540536A	Marguerite de Angeli|Paul Champanier|Linda Stewart|José Luis Haering	14th_century|agemax11|agemin9|awardnewbery_award|bards_and_bardism|bible|biblical_influences|children|children's_fiction|children_with_disabilities|england_fiction|fiction|fiction_.|folk_singers|grademax6|grademin7|great_britain_fiction|historical_fiction|history|history_of_edward_iii_1327-1377|influence|juvenile_fiction|juvenile_literature|kings_queens_rulers_etc._fiction|lewis_carroll_shelf_award|lexile920|lexile_range901-1000|medieval_civilization|middle_ages|middle_ages_fiction|minstrels|newberry_medal|newbery_medal|newbery_medal_books|overcoming_disabilities|people_with_disabilities|physically_handicapped|poetry|regina_medal|special_education	33	poetry
/works/OL114931W	Let's Be Enemies	1940	OL19013A	Janice May Udry	children's_fiction|fiction|friendship|friendship_fiction|juvenile_fiction|picture_books	12	picture_books
/works/OL11553363W	Tale of Mr. Jeremy Fisher	1906	OL32541A	Beatrix Potter	animals_fiction|cats_fiction|children's_fiction|children's_stories|children's_stories_english|coloring_books|creative_activities_and_seat_work|farm_life_fiction|ficción_juvenil|fiction|fishers|fishes_fiction|fishing|fishing_fiction|fishing_stories|french_language|french_language_textbooks_for_children|frogs|frogs_fiction|frogs_in_fiction|juvenile_fiction|literature_and_fiction_juvenile|minnows|pictorial_works|picture_books|ranas|toy_and_movable_books|trout|weasels_fiction	81	picture_books
/works/OL115674W	Georgie	1920	OL19074A	Robert Bright	children's_fiction|cuentos_de_fantasmas|fiction|ghost_stories|ghosts|ghosts_fiction|haunted_houses|haunted_places|history|juvenile_fiction|picture_books|spanish_language_materials	11	picture_books
/works/OL115719W	Itchy, itchy chicken pox	1948	OL19091A	Grace Maccarone	arabic_language_materials|chicken_pox|chicken_pox_fiction|chickenpox|children's_fiction|cuentos_en_rima|enfermedades|fiction|juvenile_fiction|magic_fiction|novela_infantil|spanish_language_materials|stories_in_rhyme|viruses	11	stories_in_rhyme
/works/OL1196469W	A hope for poetry	1934	OL120803A	Cecil Day-Lewis	bounty_(ship)|english_poetry|english_poetry_history_and_criticism_20th_century|fiction|history_and_criticism|poetry	22	poetry
/works/OL1198482W	Sonnets from the Portuguese	1896	OL4278548A	Elizabeth Barrett Browning	correspondence|elston_press|english_love_poetry|english_poetry|english_poets|english_sonnets|english_women_poets|fiction|love-letters|miniature_books|poetry|poetry_(poetic_works_by_one_author)|specimens	55	poetry
/works/OL1202223W	The Technique of the Mystery Story	1913	OL121323A	Carolyn Wells	authorship|creative_writing|detective_and_mystery_stories|fiction|nonfiction|technique	182	nonfiction
/works/OL121255W	The adventures of Jimmy Skunk	1918	OL19164A	Thornton W. Burgess	animals|animals_fiction|children's_fiction|children's_stories|fiction|juvenile_fiction|picture_books|picture_books_for_children|shunks|skunks|skunks_fiction	17	picture_books
/works/OL1259810W	Alcools	1920	OL127193A	Guillaume Apollinaire	classic_literature|collections|english_poetry|fiction|french_poetry|philosophy_ancient|poetry|poetry_(poetic_works_by_one_author)|translations_from_french|translations_into_english	53	poetry
/works/OL138064W	Alice's Adventures in Wonderland / Through the Looking-Glass / The Hunting of the Snark	1924	OL22098A	Lewis Carroll	adventure_and_adventurers|adventure_and_adventurers_fiction|adventure_stories|adventure_travel|alice_(fictitious_character__carroll)|alice_(fictitious_character__carroll)_fiction|animals|anthropomorphism|artists'_illustrated_books|books_and_reading|british_and_irish_fiction_(fictional_works_by_one_author)|child_and_youth_fiction|children|children's_fiction|children's_literature|children's_literature_english|children's_stories|children's_stories_english|classic_literature|classics|criticism_and_interpretation|croquet|curiosity|curiosity_in_children|english|english_adventure_stories|english_fantastic_fiction|english_fantasy_fiction|english_fantasy_literature|english_humorous_poetry|english_language|english_literature|english_nonsense_verses|fairy_tales|fantasy|fantasy__magic|fantasy_fiction|fantasy_in_fiction|fantasy_literature_english|fiction|fiction_fantasy_general|friendship|girls|girls_fiction|history|history_and_criticism|hookahs|humor|humorous_stories|hunting_fiction|illustrations|imaginary_places|imagination__play|juvenile_audience|juvenile_fiction|juvenile_literature|legends|literary_nonsense|logic|mythical_animals|nonsense_verses|playing_cards|rabbits|readers|reading_materials|short_novel|tea|texts|translations_into_spanish	30	nonsense_verses
/works/OL14857159W	Many Moons	1943	OL20903A	James Thurber	awardcaldecott_award|caldecott_medal|children's_fiction|collectionidcaldecott40|fairy_tales|fiction|illustration|juvenile_fiction|moon_fiction|picture_books|princesses|unicorns	17	picture_books
