work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL1517886W	The Law of The Four Just Men	1931	Edgar Wallace	adventure|detective_and_mystery_stories_english|english_detective_and_mystery_stories|fiction|justice|romans_nouvelles|shorts	51		
/works/OL788067W	In a German Pension	1911	Katherine Mansfield	british_and_irish_fiction_(fictional_works_by_one_author)|classic_literature|fiction|germany_fiction|germany_in_fiction|literature|manners_and_customs|new_zealand_short_stories|social_life_and_customs	39		
/works/OL5476154W	Paul Bunyan	1924	Esther Shephard	children's_fiction|folk-lore|folklore|juvenile_fiction|juvenile_literature|legends|paul_bunyan_(legendary_character)|short_stories|tall_tales	14		
/works/OL52195W	The food of the gods and how it came to earth	1900	H. G. Wells	agriculture|artificial_foods|british_and_irish_fiction_(fictional_works_by_one_author)|english_fiction|english_literature|english_science_fiction|experimentation|fiction|fiction_science_fiction_general|food_supply|giants|giants_--_fiction|growth_factors|science_fiction|scientists	194		
/works/OL12100652W	Joy street	1950	Frances Parkinson Keyes	1930s|adult|american|boston_(mass.)_fiction|e-book|faith|fiction|fiction_historical_general|fiction_in_english|fidelity|frances_parkinson_keyes|hardcover|historical|history|legal_stories|marriage|n.y.times_bestseller|novel|paperback|pensacola|romance|saga|wwii	17		
/works/OL108761W	The tale of Pigling Bland	1913	Beatrix Potter	children's_fiction|children's_stories_english|fiction|juvenile_fiction|piglets|pigs|pigs_fiction|swine	21		
/works/OL29332W	The fashionable adventures of Joshua Craig	1909	David Graham Phillips	fiction|fiction_action__adventure|fiction_historical_general|new_york_(n.y.)_fiction|washington_(d.c.)_fiction	17		
/works/OL4470514W	Mystery at Geneva	1922	Rose Macaulay	fiction|fiction_historical_general|fiction_political|world_war_1914-1918_fiction	20		
/works/OL1417975W	Llana of Gathol (Mars #10)	1948	Edgar Rice Burroughs	american_science_fiction|barsoom_(imaginary_place)_fiction|carter_john_(fictitious_character)_fiction|extraterrestrial_beings|fiction|fiction_science_fiction_action__adventure|john_carter_(fictitious_character)|science_fiction	62		
/works/OL47897W	The Mark on the Door	1934	Franklin W. Dixon	children's_fiction|collectionidhbms1|fiction|fiction_mystery__detective_general|hardy_boys_(fictitious_characters)_fiction|juvenile_fiction|mystery|mystery_and_detective_stories|serieshardyboys	17		
/works/OL4315764W	The Heavenly Twins	1893	Sarah Grand	england_fiction|fiction|fiction_general|fiction_historical_general|fiction_in_english|syphilis|women	17		
/works/OL14857811W	The tragedy of X	1932	Ellery Queen	detective|detective_and_mystery_stories|drury_lane_(fictitious_character)|fiction|fiction_mystery__detective_general	13		
/works/OL1418214W	Carson of Venus	1939	Edgar Rice Burroughs	american_science_fiction|carson_napier_(fictitious_character)|extraterrestrial_beings|fiction|fiction_science_fiction_general	11		
/works/OL619317W	The Haunted Bookshop	1919	Christopher Morley	booksellers_and_bookselling|booksellers_and_bookselling_fiction|bookstores|classic_literature|detective_and_mystery_stories|fiction|fiction_general|fiction_horror|fiction_mystery__detective_general|haunted_places|mystery_and_detective_stories|new_york_(n.y.)_fiction	69		
/works/OL27185879W	Descent into the Maelström	1936	Edgar Allan Poe	fiction|illustrations|sea_in_art|whirlpools	55		
/works/OL1155999W	Minty Alley	1936	C. L. R. James|Bernardine Evaristo	biography|businessmen|caribbean_literature_(english)|dun_and_bradstreet_inc|english_literature|fiction|fiction_short_stories_(single_author)|littérature_antillaise_(anglaise)|social_classes|social_life_and_customs|west_indies_fiction	8		
/works/OL273560W	The Works of Edgar Allan Poe in Five Volumes (The Raven Edition)	1903	Edgar Allan Poe	19th_century_american_fiction|american_horror_tales|fantasy_fiction|short_stories	16		
/works/OL5303720W	South Riding	1936	Winifred Holtby	england_fiction|fiction|fiction_general	14		
/works/OL2646773W	One basket	1947	Edna Ferber	fiction|social_life_and_customs	21		
/works/OL2994088W	They Shoot Horses, Don't They?	1935	Horace McCoy	classics|dance|dance_marathons|depressions|fiction|fiction_general|social_life_and_customs|united_states_social_life_and_customs_fiction	15		
/works/OL98031W	The city and the pillar	1948	Gore Vidal	american_fiction_(fictional_works_by_one_author)|ficción|fiction|fiction_short_stories_(single_author)|gay_couples|gay_male_couples|gay_male_couples_in_fiction|gay_men|gay_men_fiction|gay_men_in_fiction|gays|hombres_gays|homosexualidad_masculina|identity|lgbtq_fiction_before_stonewall|male__homosexuality_in_fiction|male_homosexuality|male_homosexuality_in_fiction|romance_norte_americano	51		
/works/OL2239457W	L'oblat	1900	Joris-Karl Huysmans	catholic_converts|classic_literature|fiction|fiction_general|french_fiction|modern_art	23		
/works/OL17524W	Moon of Israel	1918	H. Rider Haggard	egypt_fiction|fiction|fiction_action__adventure|fiction_christian_historical|fiction_fantasy_general|fiction_religious|the_exodus	133		
/works/OL78545W	The middle Moffat	1942	Eleanor Estes|Louis Slobodkin	children's_fiction|connecticut|connecticut_fiction|families|family|family_life|family_life_fiction|fiction|household_moving|juvenile_fiction|newbery_honor	17		
/works/OL69113W	Mrs. Farrell	1921	William Dean Howells	american_fiction|fiction|hotels|hôtels|roman_américain|romans_nouvelles|veuves|widows	16		
/works/OL5185935W	Constant Nymph	1924	Margaret Kennedy	composers|composers_fiction|fiction|fiction_general|fiction_romance_general	33		
/works/OL2340353W	Stephen	1896	Florence Morse Kingsley	biography|fiction|fiction_historical_general|fiction_religious|martyrs|saints	14		
/works/OL50231W	The Invention of Hugo Cabret	1920	Brian Selznick	agemax11|agemin8|awardcaldecott_award|children's_fiction|collectionidcaldecott00|estaciones|ferrocarriles|ficción_juvenil|fiction|grademax7|grademin4|historia|historical_fiction|history|huérfanos|juvenile_fiction|lexile820|lexile_range801-900|new_york_times_bestseller|new_york_times_reviewed|nytchapter_books2010-03-13|orphans|orphans_fiction|paris_(france)_history_fiction|railroad_stations|railroads_fiction|robots|robots_fiction|spanish_language_materials	15		
/works/OL1249517W	Memoirs of a Fox-Hunting Man	1928	Siegfried Sassoon	biographies_amp_autobiographies|biography|british_and_irish_fiction_(fictional_works_by_one_author)|curwen_press._1977|english_authors|fiction|fiction_biographical|fiction_general|fiction_war__military|fox_hunting|fox_hunting_in_fiction|literary|world_war_1914-1918	69		
/works/OL103118W	Dandelion Wine	1946	Ray Bradbury	american_fantasy_fiction|american_science_fiction|bildungsromans|boys|city_and_town_life|english_fiction|fiction|fiction_coming_of_age|illinois_fiction|science_fiction_american|translations_into_russian	61		
/works/OL1797199W	Ancestors	1907	Gertrude Atherton	aristocracy_(social_class)|fiction|frontier_and_pioneer_life|nature_and_nurture|voyages_and_travels|women	24		
/works/OL1825431W	The river	1946	Rumer Godden	children|english|families|fiction|fiction_general|girls|india_fiction|large_type_books|manners_and_customs|rivers|social_life_and_customs	28		
/works/OL8265836W	The Trail of Cthulhu	1945	August Derleth	cthulhu_(fictitious_character)|fiction|fiction_horror|fiction_science_fiction_general|horror_tales	8		
/works/OL15396387W	Cherry Ames, Veterans' Nurse	1946	Helen Wells	children's_fiction|fiction|nurses|nurses_fiction	2		
/works/OL93830W	Original Short Stories	1925	Guy de Maupassant	classic_literature|fiction	26		
/works/OL5721545W	Helena	1950	Evelyn Waugh	british_and_irish_fiction_(fictional_works_by_one_author)|christian_women_saints|fiction	8		
/works/OL167168W	4th of July	1947	James Patterson|Maxine Paetro	adventure__thriller|amistad_entre_mujeres|asesinatos_en_serie|california|california_fiction|collectionidwmc|comics__graphic_novels_east_asian_style_manga_science_fiction|computers_-_languages__programming|crime__mystery|female_friendship|fiction|fiction_-_mystery_detective|fiction__general|fiction_mystery__detective_police_procedural|fiction_mystery__detective_women_sleuths|fiction_thrillers_general|general|half_moon_bay_(calif.)|lindsay_boxer_(fictitious_character)|mujeres_detectives|mystery__detective_-_general|mystery__detective_-_police_procedural|mystery_and_suspense_fiction|mysterysuspense|novela|open_library_staff_picks|police|police_shootings|policewomen|policewomen_fiction|policia|policiacas|procesos_de_delitos_policiacos|serial_murders|serial_murders_fiction|spanish_adult_fiction|tiroteos_policiales|trials_(police_misconduct)|women's_murder_club_(imaginary_organization)|women's_murder_club_(imaginary_organization)_fiction|women_detectives	51		
/works/OL2700548W	Ancient Sorceries	1906	Algernon Blackwood	english_fantasy_fiction|english_horror_tales|english_short_stories|fantasy|fantasy_fiction_english|fiction|fiction_fantasy_general|fiction_horror|horror|horror_tales|horror_tales_english|large_type_books|literature|short_stories	20		
/works/OL4126365W	Death Is No Sportsman	1938	Cyril Hare	detective_and_mystery_stories|england_fiction|fiction|fiction_mystery__detective_general|fly_fishing|inspector_mallett_(fictitious_character)|mallett_inspector_(fictitious_character)_fiction|mystery_and_detective_stories|police	11		
/works/OL6585786W	The Eagle's Shadow	1904	James Branch Cabell	fiction|fiction_fantasy_general|fiction_fantasy_historical|middle_ages|poictesme_(imaginary_place)_fiction	30		
/works/OL1797197W	The Woman Who Did	1895	Grant Allen	england_fiction|feminism|feminists|fiction|fiction_family_life_general|fiction_general|fiction_historical_general|fiction_romance_general|mothers_and_daughters|mothers_and_daughters_fiction|women	41		
